context: Happily, painfully... You're shining. response:	Glittering, shimmering...
context: Happily, painfully... You're shining.\Glittering, shimmering... response:	Is she analyzing the Gullfinger wavelength of the stars?
context: Happily, painfully... You're shining.\Glittering, shimmering...\Is she analyzing the Gullfinger wavelength of the stars? response:	Hoshimi-sama, who usually doesn't say anything, spoke.
context: Happily, painfully... You're shining.\Glittering, shimmering...\Is she analyzing the Gullfinger wavelength of the stars?\Hoshimi-sama, who usually doesn't say anything, spoke. response:	That in itself says volumes about the situation.
context: Happily, painfully... You're shining.\Glittering, shimmering...\Is she analyzing the Gullfinger wavelength of the stars?\Hoshimi-sama, who usually doesn't say anything, spoke.\That in itself says volumes about the situation. response:	Indignation, compassion... Where are you going?
context: Happily, painfully... You're shining.\Glittering, shimmering...\Is she analyzing the Gullfinger wavelength of the stars?\Hoshimi-sama, who usually doesn't say anything, spoke.\That in itself says volumes about the situation.\Indignation, compassion... Where are you going? response:	Abnormal behavior exhibited by the astronomer in charge of special duties was also observed five years ago,
context: Happily, painfully... You're shining.\Glittering, shimmering...\Is she analyzing the Gullfinger wavelength of the stars?\Hoshimi-sama, who usually doesn't say anything, spoke.\That in itself says volumes about the situation.\Indignation, compassion... Where are you going?\Abnormal behavior exhibited by the astronomer in charge of special duties was also observed five years ago, response:	prior to the disappearance of South America.
context: Happily, painfully... You're shining.\Glittering, shimmering...\Is she analyzing the Gullfinger wavelength of the stars?\Hoshimi-sama, who usually doesn't say anything, spoke.\That in itself says volumes about the situation.\Indignation, compassion... Where are you going?\Abnormal behavior exhibited by the astronomer in charge of special duties was also observed five years ago,\prior to the disappearance of South America. response:	Various intelligence agencies within the city have also taken the serial bombings into consideration and are at full alert.
context: Glittering, shimmering...\Is she analyzing the Gullfinger wavelength of the stars?\Hoshimi-sama, who usually doesn't say anything, spoke.\That in itself says volumes about the situation.\Indignation, compassion... Where are you going?\Abnormal behavior exhibited by the astronomer in charge of special duties was also observed five years ago,\prior to the disappearance of South America.\Various intelligence agencies within the city have also taken the serial bombings into consideration and are at full alert. response:	Since these events have occurred before the upcoming solar maximum,
context: Is she analyzing the Gullfinger wavelength of the stars?\Hoshimi-sama, who usually doesn't say anything, spoke.\That in itself says volumes about the situation.\Indignation, compassion... Where are you going?\Abnormal behavior exhibited by the astronomer in charge of special duties was also observed five years ago,\prior to the disappearance of South America.\Various intelligence agencies within the city have also taken the serial bombings into consideration and are at full alert.\Since these events have occurred before the upcoming solar maximum, response:	one could say that the current situation may be the prelude to a tragic scenario.
context: Hoshimi-sama, who usually doesn't say anything, spoke.\That in itself says volumes about the situation.\Indignation, compassion... Where are you going?\Abnormal behavior exhibited by the astronomer in charge of special duties was also observed five years ago,\prior to the disappearance of South America.\Various intelligence agencies within the city have also taken the serial bombings into consideration and are at full alert.\Since these events have occurred before the upcoming solar maximum,\one could say that the current situation may be the prelude to a tragic scenario. response:	As of 5 P.M. today, the Tokyo Metropolitan government has issued special security measures,
context: That in itself says volumes about the situation.\Indignation, compassion... Where are you going?\Abnormal behavior exhibited by the astronomer in charge of special duties was also observed five years ago,\prior to the disappearance of South America.\Various intelligence agencies within the city have also taken the serial bombings into consideration and are at full alert.\Since these events have occurred before the upcoming solar maximum,\one could say that the current situation may be the prelude to a tragic scenario.\As of 5 P.M. today, the Tokyo Metropolitan government has issued special security measures, response:	including the implementation of a night curfew, for residents living in certain areas of the city.
context: Indignation, compassion... Where are you going?\Abnormal behavior exhibited by the astronomer in charge of special duties was also observed five years ago,\prior to the disappearance of South America.\Various intelligence agencies within the city have also taken the serial bombings into consideration and are at full alert.\Since these events have occurred before the upcoming solar maximum,\one could say that the current situation may be the prelude to a tragic scenario.\As of 5 P.M. today, the Tokyo Metropolitan government has issued special security measures,\including the implementation of a night curfew, for residents living in certain areas of the city. response:	These measures are to ensure the safety of the city's residents in light of the recent terrorist attacks.
context: Abnormal behavior exhibited by the astronomer in charge of special duties was also observed five years ago,\prior to the disappearance of South America.\Various intelligence agencies within the city have also taken the serial bombings into consideration and are at full alert.\Since these events have occurred before the upcoming solar maximum,\one could say that the current situation may be the prelude to a tragic scenario.\As of 5 P.M. today, the Tokyo Metropolitan government has issued special security measures,\including the implementation of a night curfew, for residents living in certain areas of the city.\These measures are to ensure the safety of the city's residents in light of the recent terrorist attacks. response:	Areas subject to these...
context: prior to the disappearance of South America.\Various intelligence agencies within the city have also taken the serial bombings into consideration and are at full alert.\Since these events have occurred before the upcoming solar maximum,\one could say that the current situation may be the prelude to a tragic scenario.\As of 5 P.M. today, the Tokyo Metropolitan government has issued special security measures,\including the implementation of a night curfew, for residents living in certain areas of the city.\These measures are to ensure the safety of the city's residents in light of the recent terrorist attacks.\Areas subject to these... response:	Your sleeping face is cute.
context: Various intelligence agencies within the city have also taken the serial bombings into consideration and are at full alert.\Since these events have occurred before the upcoming solar maximum,\one could say that the current situation may be the prelude to a tragic scenario.\As of 5 P.M. today, the Tokyo Metropolitan government has issued special security measures,\including the implementation of a night curfew, for residents living in certain areas of the city.\These measures are to ensure the safety of the city's residents in light of the recent terrorist attacks.\Areas subject to these...\Your sleeping face is cute. response:	I've been trying to get Yin to locate Amber, but I lost contact with her.
context: Since these events have occurred before the upcoming solar maximum,\one could say that the current situation may be the prelude to a tragic scenario.\As of 5 P.M. today, the Tokyo Metropolitan government has issued special security measures,\including the implementation of a night curfew, for residents living in certain areas of the city.\These measures are to ensure the safety of the city's residents in light of the recent terrorist attacks.\Areas subject to these...\Your sleeping face is cute.\I've been trying to get Yin to locate Amber, but I lost contact with her. response:	When I came here to check things out...
context: one could say that the current situation may be the prelude to a tragic scenario.\As of 5 P.M. today, the Tokyo Metropolitan government has issued special security measures,\including the implementation of a night curfew, for residents living in certain areas of the city.\These measures are to ensure the safety of the city's residents in light of the recent terrorist attacks.\Areas subject to these...\Your sleeping face is cute.\I've been trying to get Yin to locate Amber, but I lost contact with her.\When I came here to check things out... response:	What's wrong?
context: As of 5 P.M. today, the Tokyo Metropolitan government has issued special security measures,\including the implementation of a night curfew, for residents living in certain areas of the city.\These measures are to ensure the safety of the city's residents in light of the recent terrorist attacks.\Areas subject to these...\Your sleeping face is cute.\I've been trying to get Yin to locate Amber, but I lost contact with her.\When I came here to check things out...\What's wrong? response:	Amber!
context: including the implementation of a night curfew, for residents living in certain areas of the city.\These measures are to ensure the safety of the city's residents in light of the recent terrorist attacks.\Areas subject to these...\Your sleeping face is cute.\I've been trying to get Yin to locate Amber, but I lost contact with her.\When I came here to check things out...\What's wrong?\Amber! response:	Hei!
context: These measures are to ensure the safety of the city's residents in light of the recent terrorist attacks.\Areas subject to these...\Your sleeping face is cute.\I've been trying to get Yin to locate Amber, but I lost contact with her.\When I came here to check things out...\What's wrong?\Amber!\Hei! response:	Hop in. You're in a rush, aren't you?
context: Areas subject to these...\Your sleeping face is cute.\I've been trying to get Yin to locate Amber, but I lost contact with her.\When I came here to check things out...\What's wrong?\Amber!\Hei!\Hop in. You're in a rush, aren't you? response:	Hoshimi-sama?
context: Your sleeping face is cute.\I've been trying to get Yin to locate Amber, but I lost contact with her.\When I came here to check things out...\What's wrong?\Amber!\Hei!\Hop in. You're in a rush, aren't you?\Hoshimi-sama? response:	Although a gag order's in effect,
context: I've been trying to get Yin to locate Amber, but I lost contact with her.\When I came here to check things out...\What's wrong?\Amber!\Hei!\Hop in. You're in a rush, aren't you?\Hoshimi-sama?\Although a gag order's in effect, response:	I wanted you to know, Misaki.
context: When I came here to check things out...\What's wrong?\Amber!\Hei!\Hop in. You're in a rush, aren't you?\Hoshimi-sama?\Although a gag order's in effect,\I wanted you to know, Misaki. response:	I sent you a list of the stars that were active during the explosions.
context: What's wrong?\Amber!\Hei!\Hop in. You're in a rush, aren't you?\Hoshimi-sama?\Although a gag order's in effect,\I wanted you to know, Misaki.\I sent you a list of the stars that were active during the explosions. response:	Were contractors involved?
context: Amber!\Hei!\Hop in. You're in a rush, aren't you?\Hoshimi-sama?\Although a gag order's in effect,\I wanted you to know, Misaki.\I sent you a list of the stars that were active during the explosions.\Were contractors involved? response:	Wasn't it a series of retaliatory attacks between intelligence agencies?
context: Hei!\Hop in. You're in a rush, aren't you?\Hoshimi-sama?\Although a gag order's in effect,\I wanted you to know, Misaki.\I sent you a list of the stars that were active during the explosions.\Were contractors involved?\Wasn't it a series of retaliatory attacks between intelligence agencies? response:	Information was leaked down to us.
context: Hop in. You're in a rush, aren't you?\Hoshimi-sama?\Although a gag order's in effect,\I wanted you to know, Misaki.\I sent you a list of the stars that were active during the explosions.\Were contractors involved?\Wasn't it a series of retaliatory attacks between intelligence agencies?\Information was leaked down to us. response:	I don't believe that people who make their living in the underworld would resort to such a conspicuous method.
context: Hoshimi-sama?\Although a gag order's in effect,\I wanted you to know, Misaki.\I sent you a list of the stars that were active during the explosions.\Were contractors involved?\Wasn't it a series of retaliatory attacks between intelligence agencies?\Information was leaked down to us.\I don't believe that people who make their living in the underworld would resort to such a conspicuous method. response:	Could it be...
context: Although a gag order's in effect,\I wanted you to know, Misaki.\I sent you a list of the stars that were active during the explosions.\Were contractors involved?\Wasn't it a series of retaliatory attacks between intelligence agencies?\Information was leaked down to us.\I don't believe that people who make their living in the underworld would resort to such a conspicuous method.\Could it be... response:	Why did Amber take Yin?
