context: Mari, where do you think you're going? response:	You promised you'd be quiet at home for a while.
context: Mari, where do you think you're going?\You promised you'd be quiet at home for a while. response:	How's your summer homework going?
context: Mari, where do you think you're going?\You promised you'd be quiet at home for a while.\How's your summer homework going? response:	I'm working on it!
context: Mari, where do you think you're going?\You promised you'd be quiet at home for a while.\How's your summer homework going?\I'm working on it! response:	I just have my reading essay and free research assignment,
context: Mari, where do you think you're going?\You promised you'd be quiet at home for a while.\How's your summer homework going?\I'm working on it!\I just have my reading essay and free research assignment, response:	and half of my English and Japanese work, and my art poster left!
context: Mari, where do you think you're going?\You promised you'd be quiet at home for a while.\How's your summer homework going?\I'm working on it!\I just have my reading essay and free research assignment,\and half of my English and Japanese work, and my art poster left! response:	That's a lot.
context: Mari, where do you think you're going?\You promised you'd be quiet at home for a while.\How's your summer homework going?\I'm working on it!\I just have my reading essay and free research assignment,\and half of my English and Japanese work, and my art poster left!\That's a lot. response:	But I still have lots of summer vacation!
context: Mari, where do you think you're going?\You promised you'd be quiet at home for a while.\How's your summer homework going?\I'm working on it!\I just have my reading essay and free research assignment,\and half of my English and Japanese work, and my art poster left!\That's a lot.\But I still have lots of summer vacation! response:	And I really am worried about Papa!
context: You promised you'd be quiet at home for a while.\How's your summer homework going?\I'm working on it!\I just have my reading essay and free research assignment,\and half of my English and Japanese work, and my art poster left!\That's a lot.\But I still have lots of summer vacation!\And I really am worried about Papa! response:	I'm sure he's fine. He seemed entirely well.
context: How's your summer homework going?\I'm working on it!\I just have my reading essay and free research assignment,\and half of my English and Japanese work, and my art poster left!\That's a lot.\But I still have lots of summer vacation!\And I really am worried about Papa!\I'm sure he's fine. He seemed entirely well. response:	But that was him from three years ago, and he hasn't been back since!
context: I'm working on it!\I just have my reading essay and free research assignment,\and half of my English and Japanese work, and my art poster left!\That's a lot.\But I still have lots of summer vacation!\And I really am worried about Papa!\I'm sure he's fine. He seemed entirely well.\But that was him from three years ago, and he hasn't been back since! response:	What if something happened to him in the world of the past?
context: I just have my reading essay and free research assignment,\and half of my English and Japanese work, and my art poster left!\That's a lot.\But I still have lots of summer vacation!\And I really am worried about Papa!\I'm sure he's fine. He seemed entirely well.\But that was him from three years ago, and he hasn't been back since!\What if something happened to him in the world of the past? response:	Even so, that's no reason for you to throw yourself into danger.
context: and half of my English and Japanese work, and my art poster left!\That's a lot.\But I still have lots of summer vacation!\And I really am worried about Papa!\I'm sure he's fine. He seemed entirely well.\But that was him from three years ago, and he hasn't been back since!\What if something happened to him in the world of the past?\Even so, that's no reason for you to throw yourself into danger. response:	Then you're not going to do anything at all?
context: That's a lot.\But I still have lots of summer vacation!\And I really am worried about Papa!\I'm sure he's fine. He seemed entirely well.\But that was him from three years ago, and he hasn't been back since!\What if something happened to him in the world of the past?\Even so, that's no reason for you to throw yourself into danger.\Then you're not going to do anything at all? response:	I'll worry about Papa.
context: But I still have lots of summer vacation!\And I really am worried about Papa!\I'm sure he's fine. He seemed entirely well.\But that was him from three years ago, and he hasn't been back since!\What if something happened to him in the world of the past?\Even so, that's no reason for you to throw yourself into danger.\Then you're not going to do anything at all?\I'll worry about Papa. response:	So no more dangerous-
context: And I really am worried about Papa!\I'm sure he's fine. He seemed entirely well.\But that was him from three years ago, and he hasn't been back since!\What if something happened to him in the world of the past?\Even so, that's no reason for you to throw yourself into danger.\Then you're not going to do anything at all?\I'll worry about Papa.\So no more dangerous- response:	Hello?
context: I'm sure he's fine. He seemed entirely well.\But that was him from three years ago, and he hasn't been back since!\What if something happened to him in the world of the past?\Even so, that's no reason for you to throw yourself into danger.\Then you're not going to do anything at all?\I'll worry about Papa.\So no more dangerous-\Hello? response:	Oh, yes.
context: But that was him from three years ago, and he hasn't been back since!\What if something happened to him in the world of the past?\Even so, that's no reason for you to throw yourself into danger.\Then you're not going to do anything at all?\I'll worry about Papa.\So no more dangerous-\Hello?\Oh, yes. response:	What?
context: What if something happened to him in the world of the past?\Even so, that's no reason for you to throw yourself into danger.\Then you're not going to do anything at all?\I'll worry about Papa.\So no more dangerous-\Hello?\Oh, yes.\What? response:	What does that mean?
context: Even so, that's no reason for you to throw yourself into danger.\Then you're not going to do anything at all?\I'll worry about Papa.\So no more dangerous-\Hello?\Oh, yes.\What?\What does that mean? response:	Wait! Hello? Hello?!
context: Then you're not going to do anything at all?\I'll worry about Papa.\So no more dangerous-\Hello?\Oh, yes.\What?\What does that mean?\Wait! Hello? Hello?! response:	Mari, watch the house.
