context: Be kind! Kindness saves the world! Pinky Phakchi! response:	Take this, bad guys! Vegetable fire!
context: Be kind! Kindness saves the world! Pinky Phakchi!\Take this, bad guys! Vegetable fire! response:	Eat veggies and be kind!
context: Be kind! Kindness saves the world! Pinky Phakchi!\Take this, bad guys! Vegetable fire!\Eat veggies and be kind! response:	Dad, I want that toy!
context: Be kind! Kindness saves the world! Pinky Phakchi!\Take this, bad guys! Vegetable fire!\Eat veggies and be kind!\Dad, I want that toy! response:	Fine, I'll buy it.
context: Be kind! Kindness saves the world! Pinky Phakchi!\Take this, bad guys! Vegetable fire!\Eat veggies and be kind!\Dad, I want that toy!\Fine, I'll buy it. response:	Awesome!
context: Be kind! Kindness saves the world! Pinky Phakchi!\Take this, bad guys! Vegetable fire!\Eat veggies and be kind!\Dad, I want that toy!\Fine, I'll buy it.\Awesome! response:	The real one!
context: Be kind! Kindness saves the world! Pinky Phakchi!\Take this, bad guys! Vegetable fire!\Eat veggies and be kind!\Dad, I want that toy!\Fine, I'll buy it.\Awesome!\The real one! response:	Touka, let's hurry up.
context: Be kind! Kindness saves the world! Pinky Phakchi!\Take this, bad guys! Vegetable fire!\Eat veggies and be kind!\Dad, I want that toy!\Fine, I'll buy it.\Awesome!\The real one!\Touka, let's hurry up. response:	Mom and Dad are waiting in the car at the intersection.
context: Take this, bad guys! Vegetable fire!\Eat veggies and be kind!\Dad, I want that toy!\Fine, I'll buy it.\Awesome!\The real one!\Touka, let's hurry up.\Mom and Dad are waiting in the car at the intersection. response:	It's Pinky Phakchi!
context: Eat veggies and be kind!\Dad, I want that toy!\Fine, I'll buy it.\Awesome!\The real one!\Touka, let's hurry up.\Mom and Dad are waiting in the car at the intersection.\It's Pinky Phakchi! response:	That magic staff is amazing, Sister.
context: Dad, I want that toy!\Fine, I'll buy it.\Awesome!\The real one!\Touka, let's hurry up.\Mom and Dad are waiting in the car at the intersection.\It's Pinky Phakchi!\That magic staff is amazing, Sister. response:	Silly, it's just a toy.
context: Fine, I'll buy it.\Awesome!\The real one!\Touka, let's hurry up.\Mom and Dad are waiting in the car at the intersection.\It's Pinky Phakchi!\That magic staff is amazing, Sister.\Silly, it's just a toy. response:	What? What is it?
context: Awesome!\The real one!\Touka, let's hurry up.\Mom and Dad are waiting in the car at the intersection.\It's Pinky Phakchi!\That magic staff is amazing, Sister.\Silly, it's just a toy.\What? What is it? response:	Touka, run!
context: The real one!\Touka, let's hurry up.\Mom and Dad are waiting in the car at the intersection.\It's Pinky Phakchi!\That magic staff is amazing, Sister.\Silly, it's just a toy.\What? What is it?\Touka, run! response:	Dad! Mom!
context: Touka, let's hurry up.\Mom and Dad are waiting in the car at the intersection.\It's Pinky Phakchi!\That magic staff is amazing, Sister.\Silly, it's just a toy.\What? What is it?\Touka, run!\Dad! Mom! response:	I'm scared.
context: Mom and Dad are waiting in the car at the intersection.\It's Pinky Phakchi!\That magic staff is amazing, Sister.\Silly, it's just a toy.\What? What is it?\Touka, run!\Dad! Mom!\I'm scared. response:	I will correct the wrong orders the humans have given.
context: It's Pinky Phakchi!\That magic staff is amazing, Sister.\Silly, it's just a toy.\What? What is it?\Touka, run!\Dad! Mom!\I'm scared.\I will correct the wrong orders the humans have given. response:	I will build a beautiful society.
context: That magic staff is amazing, Sister.\Silly, it's just a toy.\What? What is it?\Touka, run!\Dad! Mom!\I'm scared.\I will correct the wrong orders the humans have given.\I will build a beautiful society. response:	All operational pods online.
context: Silly, it's just a toy.\What? What is it?\Touka, run!\Dad! Mom!\I'm scared.\I will correct the wrong orders the humans have given.\I will build a beautiful society.\All operational pods online. response:	Enter commands to all the pods in deployment.
context: What? What is it?\Touka, run!\Dad! Mom!\I'm scared.\I will correct the wrong orders the humans have given.\I will build a beautiful society.\All operational pods online.\Enter commands to all the pods in deployment. response:	All troops, let's take out the trash.
context: Touka, run!\Dad! Mom!\I'm scared.\I will correct the wrong orders the humans have given.\I will build a beautiful society.\All operational pods online.\Enter commands to all the pods in deployment.\All troops, let's take out the trash. response:	Go!
context: Dad! Mom!\I'm scared.\I will correct the wrong orders the humans have given.\I will build a beautiful society.\All operational pods online.\Enter commands to all the pods in deployment.\All troops, let's take out the trash.\Go! response:	Touka! This way!
context: I'm scared.\I will correct the wrong orders the humans have given.\I will build a beautiful society.\All operational pods online.\Enter commands to all the pods in deployment.\All troops, let's take out the trash.\Go!\Touka! This way! response:	Touka, are you all right?
context: I will correct the wrong orders the humans have given.\I will build a beautiful society.\All operational pods online.\Enter commands to all the pods in deployment.\All troops, let's take out the trash.\Go!\Touka! This way!\Touka, are you all right? response:	Are you crying, Sis?
context: I will build a beautiful society.\All operational pods online.\Enter commands to all the pods in deployment.\All troops, let's take out the trash.\Go!\Touka! This way!\Touka, are you all right?\Are you crying, Sis? response:	Of course not.
context: All operational pods online.\Enter commands to all the pods in deployment.\All troops, let's take out the trash.\Go!\Touka! This way!\Touka, are you all right?\Are you crying, Sis?\Of course not. response:	Don't worry.
context: Enter commands to all the pods in deployment.\All troops, let's take out the trash.\Go!\Touka! This way!\Touka, are you all right?\Are you crying, Sis?\Of course not.\Don't worry. response:	Sister, stop crying, please.
context: All troops, let's take out the trash.\Go!\Touka! This way!\Touka, are you all right?\Are you crying, Sis?\Of course not.\Don't worry.\Sister, stop crying, please. response:	I will beat those bad guys with my magic stick!
context: Go!\Touka! This way!\Touka, are you all right?\Are you crying, Sis?\Of course not.\Don't worry.\Sister, stop crying, please.\I will beat those bad guys with my magic stick! response:	What? Wait!
context: Touka! This way!\Touka, are you all right?\Are you crying, Sis?\Of course not.\Don't worry.\Sister, stop crying, please.\I will beat those bad guys with my magic stick!\What? Wait! response:	Stop, Touka!
context: Touka, are you all right?\Are you crying, Sis?\Of course not.\Don't worry.\Sister, stop crying, please.\I will beat those bad guys with my magic stick!\What? Wait!\Stop, Touka! response:	Come right back! It's dangerous!
context: Are you crying, Sis?\Of course not.\Don't worry.\Sister, stop crying, please.\I will beat those bad guys with my magic stick!\What? Wait!\Stop, Touka!\Come right back! It's dangerous! response:	That's just a toy. Don't you understand?
context: Of course not.\Don't worry.\Sister, stop crying, please.\I will beat those bad guys with my magic stick!\What? Wait!\Stop, Touka!\Come right back! It's dangerous!\That's just a toy. Don't you understand? response:	Please stop...
context: Don't worry.\Sister, stop crying, please.\I will beat those bad guys with my magic stick!\What? Wait!\Stop, Touka!\Come right back! It's dangerous!\That's just a toy. Don't you understand?\Please stop... response:	You bad guys who torment the people...
context: Sister, stop crying, please.\I will beat those bad guys with my magic stick!\What? Wait!\Stop, Touka!\Come right back! It's dangerous!\That's just a toy. Don't you understand?\Please stop...\You bad guys who torment the people... response:	This Pinky Phakchi will give you...
context: I will beat those bad guys with my magic stick!\What? Wait!\Stop, Touka!\Come right back! It's dangerous!\That's just a toy. Don't you understand?\Please stop...\You bad guys who torment the people...\This Pinky Phakchi will give you... response:	A hard punishment!
context: What? Wait!\Stop, Touka!\Come right back! It's dangerous!\That's just a toy. Don't you understand?\Please stop...\You bad guys who torment the people...\This Pinky Phakchi will give you...\A hard punishment! response:	Pod 28 is in contact with humans matching data bank records.
context: Stop, Touka!\Come right back! It's dangerous!\That's just a toy. Don't you understand?\Please stop...\You bad guys who torment the people...\This Pinky Phakchi will give you...\A hard punishment!\Pod 28 is in contact with humans matching data bank records. response:	Verifying data.
context: Come right back! It's dangerous!\That's just a toy. Don't you understand?\Please stop...\You bad guys who torment the people...\This Pinky Phakchi will give you...\A hard punishment!\Pod 28 is in contact with humans matching data bank records.\Verifying data. response:	Displaying pod visual.
context: That's just a toy. Don't you understand?\Please stop...\You bad guys who torment the people...\This Pinky Phakchi will give you...\A hard punishment!\Pod 28 is in contact with humans matching data bank records.\Verifying data.\Displaying pod visual. response:	Matching visual found in data banks.
context: Please stop...\You bad guys who torment the people...\This Pinky Phakchi will give you...\A hard punishment!\Pod 28 is in contact with humans matching data bank records.\Verifying data.\Displaying pod visual.\Matching visual found in data banks. response:	Displaying visual data.
context: You bad guys who torment the people...\This Pinky Phakchi will give you...\A hard punishment!\Pod 28 is in contact with humans matching data bank records.\Verifying data.\Displaying pod visual.\Matching visual found in data banks.\Displaying visual data. response:	Radio connection degrading. Pod 28 offline.
context: This Pinky Phakchi will give you...\A hard punishment!\Pod 28 is in contact with humans matching data bank records.\Verifying data.\Displaying pod visual.\Matching visual found in data banks.\Displaying visual data.\Radio connection degrading. Pod 28 offline. response:	Resuming operation in autonomous mode.
context: A hard punishment!\Pod 28 is in contact with humans matching data bank records.\Verifying data.\Displaying pod visual.\Matching visual found in data banks.\Displaying visual data.\Radio connection degrading. Pod 28 offline.\Resuming operation in autonomous mode. response:	Here goes, Vegetable Fire!
context: Pod 28 is in contact with humans matching data bank records.\Verifying data.\Displaying pod visual.\Matching visual found in data banks.\Displaying visual data.\Radio connection degrading. Pod 28 offline.\Resuming operation in autonomous mode.\Here goes, Vegetable Fire! response:	Abort! That girl is
context: Verifying data.\Displaying pod visual.\Matching visual found in data banks.\Displaying visual data.\Radio connection degrading. Pod 28 offline.\Resuming operation in autonomous mode.\Here goes, Vegetable Fire!\Abort! That girl is response:	Stop!
context: Displaying pod visual.\Matching visual found in data banks.\Displaying visual data.\Radio connection degrading. Pod 28 offline.\Resuming operation in autonomous mode.\Here goes, Vegetable Fire!\Abort! That girl is\Stop! response:	Sister...
context: Matching visual found in data banks.\Displaying visual data.\Radio connection degrading. Pod 28 offline.\Resuming operation in autonomous mode.\Here goes, Vegetable Fire!\Abort! That girl is\Stop!\Sister... response:	I can't believe this.
context: Displaying visual data.\Radio connection degrading. Pod 28 offline.\Resuming operation in autonomous mode.\Here goes, Vegetable Fire!\Abort! That girl is\Stop!\Sister...\I can't believe this. response:	I can't believe this!
context: Radio connection degrading. Pod 28 offline.\Resuming operation in autonomous mode.\Here goes, Vegetable Fire!\Abort! That girl is\Stop!\Sister...\I can't believe this.\I can't believe this! response:	This isn't right.
context: Resuming operation in autonomous mode.\Here goes, Vegetable Fire!\Abort! That girl is\Stop!\Sister...\I can't believe this.\I can't believe this!\This isn't right. response:	This isn't right!
context: Here goes, Vegetable Fire!\Abort! That girl is\Stop!\Sister...\I can't believe this.\I can't believe this!\This isn't right.\This isn't right! response:	I killed my friend!
context: Abort! That girl is\Stop!\Sister...\I can't believe this.\I can't believe this!\This isn't right.\This isn't right!\I killed my friend! response:	We are to take out the trash. Ready!
context: Stop!\Sister...\I can't believe this.\I can't believe this!\This isn't right.\This isn't right!\I killed my friend!\We are to take out the trash. Ready! response:	Clean up!
context: Sister...\I can't believe this.\I can't believe this!\This isn't right.\This isn't right!\I killed my friend!\We are to take out the trash. Ready!\Clean up! response:	Stop!
context: I can't believe this.\I can't believe this!\This isn't right.\This isn't right!\I killed my friend!\We are to take out the trash. Ready!\Clean up!\Stop! response:	Ah, what is this?
context: I can't believe this!\This isn't right.\This isn't right!\I killed my friend!\We are to take out the trash. Ready!\Clean up!\Stop!\Ah, what is this? response:	Oh, the paint is peeling off.
context: This isn't right.\This isn't right!\I killed my friend!\We are to take out the trash. Ready!\Clean up!\Stop!\Ah, what is this?\Oh, the paint is peeling off. response:	Hot!
