context: -Goddamned corpse! -Stay down, damn it! response:	Why are you getting in my way?
context: -Goddamned corpse! -Stay down, damn it!\Why are you getting in my way? response:	-We're going after him! -You stay here!
context: -Goddamned corpse! -Stay down, damn it!\Why are you getting in my way?\-We're going after him! -You stay here! response:	No, I'll take him down!
context: -Goddamned corpse! -Stay down, damn it!\Why are you getting in my way?\-We're going after him! -You stay here!\No, I'll take him down! response:	Just stay put!
context: -Goddamned corpse! -Stay down, damn it!\Why are you getting in my way?\-We're going after him! -You stay here!\No, I'll take him down!\Just stay put! response:	You idiot! Hide!
context: -Goddamned corpse! -Stay down, damn it!\Why are you getting in my way?\-We're going after him! -You stay here!\No, I'll take him down!\Just stay put!\You idiot! Hide! response:	Kariaena Island. The city of San-Teresa.
context: -Goddamned corpse! -Stay down, damn it!\Why are you getting in my way?\-We're going after him! -You stay here!\No, I'll take him down!\Just stay put!\You idiot! Hide!\Kariaena Island. The city of San-Teresa. response:	This city is the front door separating the Earth and a strange other world.
context: -Goddamned corpse! -Stay down, damn it!\Why are you getting in my way?\-We're going after him! -You stay here!\No, I'll take him down!\Just stay put!\You idiot! Hide!\Kariaena Island. The city of San-Teresa.\This city is the front door separating the Earth and a strange other world. response:	A mixture of different races and diverse cultures, haves and have-nots...
context: Why are you getting in my way?\-We're going after him! -You stay here!\No, I'll take him down!\Just stay put!\You idiot! Hide!\Kariaena Island. The city of San-Teresa.\This city is the front door separating the Earth and a strange other world.\A mixture of different races and diverse cultures, haves and have-nots... response:	But in the shadows of all this chaos lurked countless crimes.
context: -We're going after him! -You stay here!\No, I'll take him down!\Just stay put!\You idiot! Hide!\Kariaena Island. The city of San-Teresa.\This city is the front door separating the Earth and a strange other world.\A mixture of different races and diverse cultures, haves and have-nots...\But in the shadows of all this chaos lurked countless crimes. response:	The San-Teresa Metropolitan Police maintained
context: No, I'll take him down!\Just stay put!\You idiot! Hide!\Kariaena Island. The city of San-Teresa.\This city is the front door separating the Earth and a strange other world.\A mixture of different races and diverse cultures, haves and have-nots...\But in the shadows of all this chaos lurked countless crimes.\The San-Teresa Metropolitan Police maintained response:	a special unit to deal with these crimes.
context: Just stay put!\You idiot! Hide!\Kariaena Island. The city of San-Teresa.\This city is the front door separating the Earth and a strange other world.\A mixture of different races and diverse cultures, haves and have-nots...\But in the shadows of all this chaos lurked countless crimes.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes. response:	I can't believe you just sliced him open alone, Miss Don Quixote.
context: You idiot! Hide!\Kariaena Island. The city of San-Teresa.\This city is the front door separating the Earth and a strange other world.\A mixture of different races and diverse cultures, haves and have-nots...\But in the shadows of all this chaos lurked countless crimes.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\I can't believe you just sliced him open alone, Miss Don Quixote. response:	It didn't occur to you to arrest him so we could question him?
context: Kariaena Island. The city of San-Teresa.\This city is the front door separating the Earth and a strange other world.\A mixture of different races and diverse cultures, haves and have-nots...\But in the shadows of all this chaos lurked countless crimes.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\I can't believe you just sliced him open alone, Miss Don Quixote.\It didn't occur to you to arrest him so we could question him? response:	Say something!
context: This city is the front door separating the Earth and a strange other world.\A mixture of different races and diverse cultures, haves and have-nots...\But in the shadows of all this chaos lurked countless crimes.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\I can't believe you just sliced him open alone, Miss Don Quixote.\It didn't occur to you to arrest him so we could question him?\Say something! response:	He was being controlled via mildey.
context: A mixture of different races and diverse cultures, haves and have-nots...\But in the shadows of all this chaos lurked countless crimes.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\I can't believe you just sliced him open alone, Miss Don Quixote.\It didn't occur to you to arrest him so we could question him?\Say something!\He was being controlled via mildey. response:	Even if we did capture him, we wouldn't have been able to learn anything.
context: But in the shadows of all this chaos lurked countless crimes.\The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\I can't believe you just sliced him open alone, Miss Don Quixote.\It didn't occur to you to arrest him so we could question him?\Say something!\He was being controlled via mildey.\Even if we did capture him, we wouldn't have been able to learn anything. response:	Mildey?
context: The San-Teresa Metropolitan Police maintained\a special unit to deal with these crimes.\I can't believe you just sliced him open alone, Miss Don Quixote.\It didn't occur to you to arrest him so we could question him?\Say something!\He was being controlled via mildey.\Even if we did capture him, we wouldn't have been able to learn anything.\Mildey? response:	Magic. Magic to control the dead, in this case.
context: a special unit to deal with these crimes.\I can't believe you just sliced him open alone, Miss Don Quixote.\It didn't occur to you to arrest him so we could question him?\Say something!\He was being controlled via mildey.\Even if we did capture him, we wouldn't have been able to learn anything.\Mildey?\Magic. Magic to control the dead, in this case. response:	He was devoured by evil latena and turned into a living corpse.
context: I can't believe you just sliced him open alone, Miss Don Quixote.\It didn't occur to you to arrest him so we could question him?\Say something!\He was being controlled via mildey.\Even if we did capture him, we wouldn't have been able to learn anything.\Mildey?\Magic. Magic to control the dead, in this case.\He was devoured by evil latena and turned into a living corpse. response:	So you're trying to talk your way out of this by blaming some weird spell?
context: It didn't occur to you to arrest him so we could question him?\Say something!\He was being controlled via mildey.\Even if we did capture him, we wouldn't have been able to learn anything.\Mildey?\Magic. Magic to control the dead, in this case.\He was devoured by evil latena and turned into a living corpse.\So you're trying to talk your way out of this by blaming some weird spell? response:	What?
context: Say something!\He was being controlled via mildey.\Even if we did capture him, we wouldn't have been able to learn anything.\Mildey?\Magic. Magic to control the dead, in this case.\He was devoured by evil latena and turned into a living corpse.\So you're trying to talk your way out of this by blaming some weird spell?\What? response:	You're interfering with the investigation.
context: He was being controlled via mildey.\Even if we did capture him, we wouldn't have been able to learn anything.\Mildey?\Magic. Magic to control the dead, in this case.\He was devoured by evil latena and turned into a living corpse.\So you're trying to talk your way out of this by blaming some weird spell?\What?\You're interfering with the investigation. response:	Let me guess. Somebody doesn't want us finding out the deal with this fairy,
context: Even if we did capture him, we wouldn't have been able to learn anything.\Mildey?\Magic. Magic to control the dead, in this case.\He was devoured by evil latena and turned into a living corpse.\So you're trying to talk your way out of this by blaming some weird spell?\What?\You're interfering with the investigation.\Let me guess. Somebody doesn't want us finding out the deal with this fairy, response:	and they sent you to get in the way.
context: Mildey?\Magic. Magic to control the dead, in this case.\He was devoured by evil latena and turned into a living corpse.\So you're trying to talk your way out of this by blaming some weird spell?\What?\You're interfering with the investigation.\Let me guess. Somebody doesn't want us finding out the deal with this fairy,\and they sent you to get in the way. response:	What are you implying?
context: Magic. Magic to control the dead, in this case.\He was devoured by evil latena and turned into a living corpse.\So you're trying to talk your way out of this by blaming some weird spell?\What?\You're interfering with the investigation.\Let me guess. Somebody doesn't want us finding out the deal with this fairy,\and they sent you to get in the way.\What are you implying? response:	What I just said.
