context: Would you go with him, response:	and see what's happening in the conductor's compartment for me?
context: Would you go with him,\and see what's happening in the conductor's compartment for me? response:	This is bad! This is bad!
context: Would you go with him,\and see what's happening in the conductor's compartment for me?\This is bad! This is bad! response:	Barnes was apparently successful in getting two bottles
context: Would you go with him,\and see what's happening in the conductor's compartment for me?\This is bad! This is bad!\Barnes was apparently successful in getting two bottles response:	of the finished product out from the site of the fire.
context: Would you go with him,\and see what's happening in the conductor's compartment for me?\This is bad! This is bad!\Barnes was apparently successful in getting two bottles\of the finished product out from the site of the fire. response:	Where is your daughter?
context: Would you go with him,\and see what's happening in the conductor's compartment for me?\This is bad! This is bad!\Barnes was apparently successful in getting two bottles\of the finished product out from the site of the fire.\Where is your daughter? response:	She's been taken away,
context: Would you go with him,\and see what's happening in the conductor's compartment for me?\This is bad! This is bad!\Barnes was apparently successful in getting two bottles\of the finished product out from the site of the fire.\Where is your daughter?\She's been taken away, response:	by those men in the white suits.
context: Would you go with him,\and see what's happening in the conductor's compartment for me?\This is bad! This is bad!\Barnes was apparently successful in getting two bottles\of the finished product out from the site of the fire.\Where is your daughter?\She's been taken away,\by those men in the white suits. response:	You were threatened, and couldn't help it?
context: and see what's happening in the conductor's compartment for me?\This is bad! This is bad!\Barnes was apparently successful in getting two bottles\of the finished product out from the site of the fire.\Where is your daughter?\She's been taken away,\by those men in the white suits.\You were threatened, and couldn't help it? response:	Yes, sir. Gustavo Baggetta's monstrous strength is most extraordinary,
context: This is bad! This is bad!\Barnes was apparently successful in getting two bottles\of the finished product out from the site of the fire.\Where is your daughter?\She's been taken away,\by those men in the white suits.\You were threatened, and couldn't help it?\Yes, sir. Gustavo Baggetta's monstrous strength is most extraordinary, response:	and thinking that I was about to be killed, it just happened.
context: Barnes was apparently successful in getting two bottles\of the finished product out from the site of the fire.\Where is your daughter?\She's been taken away,\by those men in the white suits.\You were threatened, and couldn't help it?\Yes, sir. Gustavo Baggetta's monstrous strength is most extraordinary,\and thinking that I was about to be killed, it just happened. response:	I told you, don't say anything that will put Eve- chan in danger!
context: of the finished product out from the site of the fire.\Where is your daughter?\She's been taken away,\by those men in the white suits.\You were threatened, and couldn't help it?\Yes, sir. Gustavo Baggetta's monstrous strength is most extraordinary,\and thinking that I was about to be killed, it just happened.\I told you, don't say anything that will put Eve- chan in danger! response:	Yeah, sorry about that. I've taken all measures.
context: Where is your daughter?\She's been taken away,\by those men in the white suits.\You were threatened, and couldn't help it?\Yes, sir. Gustavo Baggetta's monstrous strength is most extraordinary,\and thinking that I was about to be killed, it just happened.\I told you, don't say anything that will put Eve- chan in danger!\Yeah, sorry about that. I've taken all measures. response:	Even if you were in fear for your life,
context: She's been taken away,\by those men in the white suits.\You were threatened, and couldn't help it?\Yes, sir. Gustavo Baggetta's monstrous strength is most extraordinary,\and thinking that I was about to be killed, it just happened.\I told you, don't say anything that will put Eve- chan in danger!\Yeah, sorry about that. I've taken all measures.\Even if you were in fear for your life, response:	as with Elean- kun, I don't think much of you using
context: by those men in the white suits.\You were threatened, and couldn't help it?\Yes, sir. Gustavo Baggetta's monstrous strength is most extraordinary,\and thinking that I was about to be killed, it just happened.\I told you, don't say anything that will put Eve- chan in danger!\Yeah, sorry about that. I've taken all measures.\Even if you were in fear for your life,\as with Elean- kun, I don't think much of you using response:	that sweet girl as an excuse.
context: You were threatened, and couldn't help it?\Yes, sir. Gustavo Baggetta's monstrous strength is most extraordinary,\and thinking that I was about to be killed, it just happened.\I told you, don't say anything that will put Eve- chan in danger!\Yeah, sorry about that. I've taken all measures.\Even if you were in fear for your life,\as with Elean- kun, I don't think much of you using\that sweet girl as an excuse. response:	Nicholas- kun, you ultimately bear personal responsibility for this incident.
context: Yes, sir. Gustavo Baggetta's monstrous strength is most extraordinary,\and thinking that I was about to be killed, it just happened.\I told you, don't say anything that will put Eve- chan in danger!\Yeah, sorry about that. I've taken all measures.\Even if you were in fear for your life,\as with Elean- kun, I don't think much of you using\that sweet girl as an excuse.\Nicholas- kun, you ultimately bear personal responsibility for this incident. response:	See to it that you are more careful.
context: and thinking that I was about to be killed, it just happened.\I told you, don't say anything that will put Eve- chan in danger!\Yeah, sorry about that. I've taken all measures.\Even if you were in fear for your life,\as with Elean- kun, I don't think much of you using\that sweet girl as an excuse.\Nicholas- kun, you ultimately bear personal responsibility for this incident.\See to it that you are more careful. response:	Understand?
context: I told you, don't say anything that will put Eve- chan in danger!\Yeah, sorry about that. I've taken all measures.\Even if you were in fear for your life,\as with Elean- kun, I don't think much of you using\that sweet girl as an excuse.\Nicholas- kun, you ultimately bear personal responsibility for this incident.\See to it that you are more careful.\Understand? response:	Very well.
context: Yeah, sorry about that. I've taken all measures.\Even if you were in fear for your life,\as with Elean- kun, I don't think much of you using\that sweet girl as an excuse.\Nicholas- kun, you ultimately bear personal responsibility for this incident.\See to it that you are more careful.\Understand?\Very well. response:	Any word?
context: Even if you were in fear for your life,\as with Elean- kun, I don't think much of you using\that sweet girl as an excuse.\Nicholas- kun, you ultimately bear personal responsibility for this incident.\See to it that you are more careful.\Understand?\Very well.\Any word? response:	None. They don't appear to have moved yet.
context: as with Elean- kun, I don't think much of you using\that sweet girl as an excuse.\Nicholas- kun, you ultimately bear personal responsibility for this incident.\See to it that you are more careful.\Understand?\Very well.\Any word?\None. They don't appear to have moved yet. response:	Let me know if there is even the slightest action.
context: that sweet girl as an excuse.\Nicholas- kun, you ultimately bear personal responsibility for this incident.\See to it that you are more careful.\Understand?\Very well.\Any word?\None. They don't appear to have moved yet.\Let me know if there is even the slightest action. response:	If Gustavo and the Gandors get into an argument over Dallas,
context: Nicholas- kun, you ultimately bear personal responsibility for this incident.\See to it that you are more careful.\Understand?\Very well.\Any word?\None. They don't appear to have moved yet.\Let me know if there is even the slightest action.\If Gustavo and the Gandors get into an argument over Dallas, response:	a piece or two of detailed information should turn up.
context: See to it that you are more careful.\Understand?\Very well.\Any word?\None. They don't appear to have moved yet.\Let me know if there is even the slightest action.\If Gustavo and the Gandors get into an argument over Dallas,\a piece or two of detailed information should turn up. response:	Tell me what it is, and don't leak anything.
context: Understand?\Very well.\Any word?\None. They don't appear to have moved yet.\Let me know if there is even the slightest action.\If Gustavo and the Gandors get into an argument over Dallas,\a piece or two of detailed information should turn up.\Tell me what it is, and don't leak anything. response:	Understood.
context: Very well.\Any word?\None. They don't appear to have moved yet.\Let me know if there is even the slightest action.\If Gustavo and the Gandors get into an argument over Dallas,\a piece or two of detailed information should turn up.\Tell me what it is, and don't leak anything.\Understood. response:	H-Help me! This is the freight hold! This is the freight hold!
context: Any word?\None. They don't appear to have moved yet.\Let me know if there is even the slightest action.\If Gustavo and the Gandors get into an argument over Dallas,\a piece or two of detailed information should turn up.\Tell me what it is, and don't leak anything.\Understood.\H-Help me! This is the freight hold! This is the freight hold! response:	This is Spike. What's going on?
context: None. They don't appear to have moved yet.\Let me know if there is even the slightest action.\If Gustavo and the Gandors get into an argument over Dallas,\a piece or two of detailed information should turn up.\Tell me what it is, and don't leak anything.\Understood.\H-Help me! This is the freight hold! This is the freight hold!\This is Spike. What's going on? response:	They're gone! They've both disappeared!
context: Let me know if there is even the slightest action.\If Gustavo and the Gandors get into an argument over Dallas,\a piece or two of detailed information should turn up.\Tell me what it is, and don't leak anything.\Understood.\H-Help me! This is the freight hold! This is the freight hold!\This is Spike. What's going on?\They're gone! They've both disappeared! response:	Send backup! Send backup immediately!
