context: If you do not resist, I can make your death painless. response:	Why are you doing this?
context: If you do not resist, I can make your death painless.\Why are you doing this? response:	That's a cliche, but do you mind my asking?
context: If you do not resist, I can make your death painless.\Why are you doing this?\That's a cliche, but do you mind my asking? response:	If someone seems suspicious, punish them.
context: If you do not resist, I can make your death painless.\Why are you doing this?\That's a cliche, but do you mind my asking?\If someone seems suspicious, punish them. response:	This is the rule of maids.
context: If you do not resist, I can make your death painless.\Why are you doing this?\That's a cliche, but do you mind my asking?\If someone seems suspicious, punish them.\This is the rule of maids. response:	Does Ram know?
context: If you do not resist, I can make your death painless.\Why are you doing this?\That's a cliche, but do you mind my asking?\If someone seems suspicious, punish them.\This is the rule of maids.\Does Ram know? response:	I intend to finish this before my sister sees anything.
context: If you do not resist, I can make your death painless.\Why are you doing this?\That's a cliche, but do you mind my asking?\If someone seems suspicious, punish them.\This is the rule of maids.\Does Ram know?\I intend to finish this before my sister sees anything. response:	Is that how little you trusted me?
context: If you do not resist, I can make your death painless.\Why are you doing this?\That's a cliche, but do you mind my asking?\If someone seems suspicious, punish them.\This is the rule of maids.\Does Ram know?\I intend to finish this before my sister sees anything.\Is that how little you trusted me? response:	Yes.
context: Why are you doing this?\That's a cliche, but do you mind my asking?\If someone seems suspicious, punish them.\This is the rule of maids.\Does Ram know?\I intend to finish this before my sister sees anything.\Is that how little you trusted me?\Yes. response:	Damn, I'm pathetic...
context: That's a cliche, but do you mind my asking?\If someone seems suspicious, punish them.\This is the rule of maids.\Does Ram know?\I intend to finish this before my sister sees anything.\Is that how little you trusted me?\Yes.\Damn, I'm pathetic... response:	I was so sure we were getting along well.
context: If someone seems suspicious, punish them.\This is the rule of maids.\Does Ram know?\I intend to finish this before my sister sees anything.\Is that how little you trusted me?\Yes.\Damn, I'm pathetic...\I was so sure we were getting along well. response:	My sister
context: This is the rule of maids.\Does Ram know?\I intend to finish this before my sister sees anything.\Is that how little you trusted me?\Yes.\Damn, I'm pathetic...\I was so sure we were getting along well.\My sister response:	I don't wanna hear it!
context: Does Ram know?\I intend to finish this before my sister sees anything.\Is that how little you trusted me?\Yes.\Damn, I'm pathetic...\I was so sure we were getting along well.\My sister\I don't wanna hear it! response:	Take this!
