context: It's here! response:	It's here! Here! Here! Here! Here!
context: It's here!\It's here! Here! Here! Here! Here! response:	It's here! Here! Here!
context: It's here!\It's here! Here! Here! Here! Here!\It's here! Here! Here! response:	So much for my day off...
context: It's here!\It's here! Here! Here! Here! Here!\It's here! Here! Here!\So much for my day off... response:	I'm beat after spending the whole day baby-sitting!
context: It's here!\It's here! Here! Here! Here! Here!\It's here! Here! Here!\So much for my day off...\I'm beat after spending the whole day baby-sitting! response:	Did you have fun baby-sitting?
context: It's here!\It's here! Here! Here! Here! Here!\It's here! Here! Here!\So much for my day off...\I'm beat after spending the whole day baby-sitting!\Did you have fun baby-sitting? response:	No, not at all!
context: It's here!\It's here! Here! Here! Here! Here!\It's here! Here! Here!\So much for my day off...\I'm beat after spending the whole day baby-sitting!\Did you have fun baby-sitting?\No, not at all! response:	It wasn't the least bit fun.
context: It's here!\It's here! Here! Here! Here! Here!\It's here! Here! Here!\So much for my day off...\I'm beat after spending the whole day baby-sitting!\Did you have fun baby-sitting?\No, not at all!\It wasn't the least bit fun. response:	I'm exhausted as well.
context: It's here! Here! Here! Here! Here!\It's here! Here! Here!\So much for my day off...\I'm beat after spending the whole day baby-sitting!\Did you have fun baby-sitting?\No, not at all!\It wasn't the least bit fun.\I'm exhausted as well. response:	Yeah. Kei, didn't you two have work lined up?
context: It's here! Here! Here!\So much for my day off...\I'm beat after spending the whole day baby-sitting!\Did you have fun baby-sitting?\No, not at all!\It wasn't the least bit fun.\I'm exhausted as well.\Yeah. Kei, didn't you two have work lined up? response:	Next time you and Izuru can do it!
context: So much for my day off...\I'm beat after spending the whole day baby-sitting!\Did you have fun baby-sitting?\No, not at all!\It wasn't the least bit fun.\I'm exhausted as well.\Yeah. Kei, didn't you two have work lined up?\Next time you and Izuru can do it! response:	Police Chief for 1 Day
context: I'm beat after spending the whole day baby-sitting!\Did you have fun baby-sitting?\No, not at all!\It wasn't the least bit fun.\I'm exhausted as well.\Yeah. Kei, didn't you two have work lined up?\Next time you and Izuru can do it!\Police Chief for 1 Day response:	You can be chiefs for a day,
context: Did you have fun baby-sitting?\No, not at all!\It wasn't the least bit fun.\I'm exhausted as well.\Yeah. Kei, didn't you two have work lined up?\Next time you and Izuru can do it!\Police Chief for 1 Day\You can be chiefs for a day, response:	play with kids,
context: No, not at all!\It wasn't the least bit fun.\I'm exhausted as well.\Yeah. Kei, didn't you two have work lined up?\Next time you and Izuru can do it!\Police Chief for 1 Day\You can be chiefs for a day,\play with kids, response:	and get your pictures taken in swim trunks!
context: It wasn't the least bit fun.\I'm exhausted as well.\Yeah. Kei, didn't you two have work lined up?\Next time you and Izuru can do it!\Police Chief for 1 Day\You can be chiefs for a day,\play with kids,\and get your pictures taken in swim trunks! response:	Not another word!
context: I'm exhausted as well.\Yeah. Kei, didn't you two have work lined up?\Next time you and Izuru can do it!\Police Chief for 1 Day\You can be chiefs for a day,\play with kids,\and get your pictures taken in swim trunks!\Not another word! response:	Izuru, what were you up to?
context: Yeah. Kei, didn't you two have work lined up?\Next time you and Izuru can do it!\Police Chief for 1 Day\You can be chiefs for a day,\play with kids,\and get your pictures taken in swim trunks!\Not another word!\Izuru, what were you up to? response:	I was-
context: Next time you and Izuru can do it!\Police Chief for 1 Day\You can be chiefs for a day,\play with kids,\and get your pictures taken in swim trunks!\Not another word!\Izuru, what were you up to?\I was- response:	It's here! It's here! It's here!
context: Police Chief for 1 Day\You can be chiefs for a day,\play with kids,\and get your pictures taken in swim trunks!\Not another word!\Izuru, what were you up to?\I was-\It's here! It's here! It's here! response:	Oh, Suruga.
context: You can be chiefs for a day,\play with kids,\and get your pictures taken in swim trunks!\Not another word!\Izuru, what were you up to?\I was-\It's here! It's here! It's here!\Oh, Suruga. response:	Tell us later.
context: play with kids,\and get your pictures taken in swim trunks!\Not another word!\Izuru, what were you up to?\I was-\It's here! It's here! It's here!\Oh, Suruga.\Tell us later. response:	IT'S HERE!
context: and get your pictures taken in swim trunks!\Not another word!\Izuru, what were you up to?\I was-\It's here! It's here! It's here!\Oh, Suruga.\Tell us later.\IT'S HERE! response:	What is?
context: Not another word!\Izuru, what were you up to?\I was-\It's here! It's here! It's here!\Oh, Suruga.\Tell us later.\IT'S HERE!\What is? response:	The new one!
context: Izuru, what were you up to?\I was-\It's here! It's here! It's here!\Oh, Suruga.\Tell us later.\IT'S HERE!\What is?\The new one! response:	New dried sea-ear wrapped around squid?
context: I was-\It's here! It's here! It's here!\Oh, Suruga.\Tell us later.\IT'S HERE!\What is?\The new one!\New dried sea-ear wrapped around squid? response:	NO! It's a new AHSMB!
context: It's here! It's here! It's here!\Oh, Suruga.\Tell us later.\IT'S HERE!\What is?\The new one!\New dried sea-ear wrapped around squid?\NO! It's a new AHSMB! response:	It's the new AHSMB model!
