context: He's inside... that. response:	He's inside... that.
context: He's inside... that.\He's inside... that. response:	There's no time...
context: He's inside... that.\He's inside... that.\There's no time... response:	I have to quickly defeat Medusa and hurry to where the Kishin is...
context: He's inside... that.\He's inside... that.\There's no time...\I have to quickly defeat Medusa and hurry to where the Kishin is... response:	Take that!
context: He's inside... that.\He's inside... that.\There's no time...\I have to quickly defeat Medusa and hurry to where the Kishin is...\Take that! response:	Stein!
context: He's inside... that.\He's inside... that.\There's no time...\I have to quickly defeat Medusa and hurry to where the Kishin is...\Take that!\Stein! response:	No matter how many techniques I use,
context: He's inside... that.\He's inside... that.\There's no time...\I have to quickly defeat Medusa and hurry to where the Kishin is...\Take that!\Stein!\No matter how many techniques I use, response:	This woman has no openings.
context: He's inside... that.\He's inside... that.\There's no time...\I have to quickly defeat Medusa and hurry to where the Kishin is...\Take that!\Stein!\No matter how many techniques I use,\This woman has no openings. response:	What should I do?
context: He's inside... that.\There's no time...\I have to quickly defeat Medusa and hurry to where the Kishin is...\Take that!\Stein!\No matter how many techniques I use,\This woman has no openings.\What should I do? response:	From the beginning, Medusa hasn't been trying to finish this battle.
context: There's no time...\I have to quickly defeat Medusa and hurry to where the Kishin is...\Take that!\Stein!\No matter how many techniques I use,\This woman has no openings.\What should I do?\From the beginning, Medusa hasn't been trying to finish this battle. response:	She's only been trying to earn more time.
context: I have to quickly defeat Medusa and hurry to where the Kishin is...\Take that!\Stein!\No matter how many techniques I use,\This woman has no openings.\What should I do?\From the beginning, Medusa hasn't been trying to finish this battle.\She's only been trying to earn more time. response:	I should have known from the beginning, right?
context: Take that!\Stein!\No matter how many techniques I use,\This woman has no openings.\What should I do?\From the beginning, Medusa hasn't been trying to finish this battle.\She's only been trying to earn more time.\I should have known from the beginning, right? response:	If I get troublesome thoughts, there's no way anyone can win.
context: Stein!\No matter how many techniques I use,\This woman has no openings.\What should I do?\From the beginning, Medusa hasn't been trying to finish this battle.\She's only been trying to earn more time.\I should have known from the beginning, right?\If I get troublesome thoughts, there's no way anyone can win. response:	Stein, did you blank out?
