context: Metamorphie Vocias! response:	Metamorphie Vocias.
context: Metamorphie Vocias!\Metamorphie Vocias. response:	Metamorphie Vocias!
context: Metamorphie Vocias!\Metamorphie Vocias.\Metamorphie Vocias! response:	With this, I can mark that everyone has mastered metamorphosis magic...
context: Metamorphie Vocias!\Metamorphie Vocias.\Metamorphie Vocias!\With this, I can mark that everyone has mastered metamorphosis magic... response:	Kagari has yet to give it a go.
context: Metamorphie Vocias!\Metamorphie Vocias.\Metamorphie Vocias!\With this, I can mark that everyone has mastered metamorphosis magic...\Kagari has yet to give it a go. response:	Kagari has yet to go.
context: Metamorphie Vocias!\Metamorphie Vocias.\Metamorphie Vocias!\With this, I can mark that everyone has mastered metamorphosis magic...\Kagari has yet to give it a go.\Kagari has yet to go. response:	Oh... You're right!
context: Metamorphie Vocias!\Metamorphie Vocias.\Metamorphie Vocias!\With this, I can mark that everyone has mastered metamorphosis magic...\Kagari has yet to give it a go.\Kagari has yet to go.\Oh... You're right! response:	You're right.
context: Metamorphie Vocias!\Metamorphie Vocias.\Metamorphie Vocias!\With this, I can mark that everyone has mastered metamorphosis magic...\Kagari has yet to give it a go.\Kagari has yet to go.\Oh... You're right!\You're right. response:	Metamorphie Vocias!
context: Metamorphie Vocias.\Metamorphie Vocias!\With this, I can mark that everyone has mastered metamorphosis magic...\Kagari has yet to give it a go.\Kagari has yet to go.\Oh... You're right!\You're right.\Metamorphie Vocias! response:	You are to master it today!
context: Metamorphie Vocias!\With this, I can mark that everyone has mastered metamorphosis magic...\Kagari has yet to give it a go.\Kagari has yet to go.\Oh... You're right!\You're right.\Metamorphie Vocias!\You are to master it today! response:	His son will be accompanying him too.
context: With this, I can mark that everyone has mastered metamorphosis magic...\Kagari has yet to give it a go.\Kagari has yet to go.\Oh... You're right!\You're right.\Metamorphie Vocias!\You are to master it today!\His son will be accompanying him too. response:	Yes, Master Andrew is renowned as the young noble of Appleton.
context: Kagari has yet to give it a go.\Kagari has yet to go.\Oh... You're right!\You're right.\Metamorphie Vocias!\You are to master it today!\His son will be accompanying him too.\Yes, Master Andrew is renowned as the young noble of Appleton. response:	Not only is he a prodigy, but he's quite handsome as well.
context: Kagari has yet to go.\Oh... You're right!\You're right.\Metamorphie Vocias!\You are to master it today!\His son will be accompanying him too.\Yes, Master Andrew is renowned as the young noble of Appleton.\Not only is he a prodigy, but he's quite handsome as well. response:	You will not go! You are to stay in your room until you master basic metamorphosis magic.
context: Oh... You're right!\You're right.\Metamorphie Vocias!\You are to master it today!\His son will be accompanying him too.\Yes, Master Andrew is renowned as the young noble of Appleton.\Not only is he a prodigy, but he's quite handsome as well.\You will not go! You are to stay in your room until you master basic metamorphosis magic. response:	You are forbidden! Stay in your room until you master basic metamorphosis magic.
context: You're right.\Metamorphie Vocias!\You are to master it today!\His son will be accompanying him too.\Yes, Master Andrew is renowned as the young noble of Appleton.\Not only is he a prodigy, but he's quite handsome as well.\You will not go! You are to stay in your room until you master basic metamorphosis magic.\You are forbidden! Stay in your room until you master basic metamorphosis magic. response:	Am I clear?
context: Metamorphie Vocias!\You are to master it today!\His son will be accompanying him too.\Yes, Master Andrew is renowned as the young noble of Appleton.\Not only is he a prodigy, but he's quite handsome as well.\You will not go! You are to stay in your room until you master basic metamorphosis magic.\You are forbidden! Stay in your room until you master basic metamorphosis magic.\Am I clear? response:	Count Hanbridge is our country's Minister of State.
context: You are to master it today!\His son will be accompanying him too.\Yes, Master Andrew is renowned as the young noble of Appleton.\Not only is he a prodigy, but he's quite handsome as well.\You will not go! You are to stay in your room until you master basic metamorphosis magic.\You are forbidden! Stay in your room until you master basic metamorphosis magic.\Am I clear?\Count Hanbridge is our country's Minister of State. response:	Take all precautions not to offend him.
context: His son will be accompanying him too.\Yes, Master Andrew is renowned as the young noble of Appleton.\Not only is he a prodigy, but he's quite handsome as well.\You will not go! You are to stay in your room until you master basic metamorphosis magic.\You are forbidden! Stay in your room until you master basic metamorphosis magic.\Am I clear?\Count Hanbridge is our country's Minister of State.\Take all precautions not to offend him. response:	They are here!
context: Yes, Master Andrew is renowned as the young noble of Appleton.\Not only is he a prodigy, but he's quite handsome as well.\You will not go! You are to stay in your room until you master basic metamorphosis magic.\You are forbidden! Stay in your room until you master basic metamorphosis magic.\Am I clear?\Count Hanbridge is our country's Minister of State.\Take all precautions not to offend him.\They are here! response:	Whoa, this marinated dogma mushroom is the best.
context: Not only is he a prodigy, but he's quite handsome as well.\You will not go! You are to stay in your room until you master basic metamorphosis magic.\You are forbidden! Stay in your room until you master basic metamorphosis magic.\Am I clear?\Count Hanbridge is our country's Minister of State.\Take all precautions not to offend him.\They are here!\Whoa, this marinated dogma mushroom is the best. response:	Begin by firmly evoking an image of the desired outcome.
context: You will not go! You are to stay in your room until you master basic metamorphosis magic.\You are forbidden! Stay in your room until you master basic metamorphosis magic.\Am I clear?\Count Hanbridge is our country's Minister of State.\Take all precautions not to offend him.\They are here!\Whoa, this marinated dogma mushroom is the best.\Begin by firmly evoking an image of the desired outcome. response:	An image, an image...
context: You are forbidden! Stay in your room until you master basic metamorphosis magic.\Am I clear?\Count Hanbridge is our country's Minister of State.\Take all precautions not to offend him.\They are here!\Whoa, this marinated dogma mushroom is the best.\Begin by firmly evoking an image of the desired outcome.\An image, an image... response:	Metamorphie Vocias!
context: Am I clear?\Count Hanbridge is our country's Minister of State.\Take all precautions not to offend him.\They are here!\Whoa, this marinated dogma mushroom is the best.\Begin by firmly evoking an image of the desired outcome.\An image, an image...\Metamorphie Vocias! response:	How are you enjoying this, Mister Hanbridge?
context: Count Hanbridge is our country's Minister of State.\Take all precautions not to offend him.\They are here!\Whoa, this marinated dogma mushroom is the best.\Begin by firmly evoking an image of the desired outcome.\An image, an image...\Metamorphie Vocias!\How are you enjoying this, Mister Hanbridge? response:	Is it not the most entrancing dance you have ever seen?
context: Take all precautions not to offend him.\They are here!\Whoa, this marinated dogma mushroom is the best.\Begin by firmly evoking an image of the desired outcome.\An image, an image...\Metamorphie Vocias!\How are you enjoying this, Mister Hanbridge?\Is it not the most entrancing dance you have ever seen? response:	In particular, I've got my eye on Lady Diana from the distinguished Cavendish family.
context: They are here!\Whoa, this marinated dogma mushroom is the best.\Begin by firmly evoking an image of the desired outcome.\An image, an image...\Metamorphie Vocias!\How are you enjoying this, Mister Hanbridge?\Is it not the most entrancing dance you have ever seen?\In particular, I've got my eye on Lady Diana from the distinguished Cavendish family. response:	Her beauty seems to emanate and overshadow the rest!
context: Whoa, this marinated dogma mushroom is the best.\Begin by firmly evoking an image of the desired outcome.\An image, an image...\Metamorphie Vocias!\How are you enjoying this, Mister Hanbridge?\Is it not the most entrancing dance you have ever seen?\In particular, I've got my eye on Lady Diana from the distinguished Cavendish family.\Her beauty seems to emanate and overshadow the rest! response:	Is she really that famous?
context: Begin by firmly evoking an image of the desired outcome.\An image, an image...\Metamorphie Vocias!\How are you enjoying this, Mister Hanbridge?\Is it not the most entrancing dance you have ever seen?\In particular, I've got my eye on Lady Diana from the distinguished Cavendish family.\Her beauty seems to emanate and overshadow the rest!\Is she really that famous? response:	Come on, man. I know you don't care about magic, but even you should've heard of Lady Diana.
context: An image, an image...\Metamorphie Vocias!\How are you enjoying this, Mister Hanbridge?\Is it not the most entrancing dance you have ever seen?\In particular, I've got my eye on Lady Diana from the distinguished Cavendish family.\Her beauty seems to emanate and overshadow the rest!\Is she really that famous?\Come on, man. I know you don't care about magic, but even you should've heard of Lady Diana. response:	Come on, man. I know how apathetic you are about magic, but you've gotta know Lady Diana.
context: Metamorphie Vocias!\How are you enjoying this, Mister Hanbridge?\Is it not the most entrancing dance you have ever seen?\In particular, I've got my eye on Lady Diana from the distinguished Cavendish family.\Her beauty seems to emanate and overshadow the rest!\Is she really that famous?\Come on, man. I know you don't care about magic, but even you should've heard of Lady Diana.\Come on, man. I know how apathetic you are about magic, but you've gotta know Lady Diana. response:	Please enjoy the feast we have prepared after the show. Our cooks have made seadragon steak for you.
context: How are you enjoying this, Mister Hanbridge?\Is it not the most entrancing dance you have ever seen?\In particular, I've got my eye on Lady Diana from the distinguished Cavendish family.\Her beauty seems to emanate and overshadow the rest!\Is she really that famous?\Come on, man. I know you don't care about magic, but even you should've heard of Lady Diana.\Come on, man. I know how apathetic you are about magic, but you've gotta know Lady Diana.\Please enjoy the feast we have prepared after the show. Our cooks have made seadragon steak for you. response:	Give Master Andrew a tour of the academy.
context: Is it not the most entrancing dance you have ever seen?\In particular, I've got my eye on Lady Diana from the distinguished Cavendish family.\Her beauty seems to emanate and overshadow the rest!\Is she really that famous?\Come on, man. I know you don't care about magic, but even you should've heard of Lady Diana.\Come on, man. I know how apathetic you are about magic, but you've gotta know Lady Diana.\Please enjoy the feast we have prepared after the show. Our cooks have made seadragon steak for you.\Give Master Andrew a tour of the academy. response:	It is a pleasure to make your acquaintance. My name is Diana.
context: In particular, I've got my eye on Lady Diana from the distinguished Cavendish family.\Her beauty seems to emanate and overshadow the rest!\Is she really that famous?\Come on, man. I know you don't care about magic, but even you should've heard of Lady Diana.\Come on, man. I know how apathetic you are about magic, but you've gotta know Lady Diana.\Please enjoy the feast we have prepared after the show. Our cooks have made seadragon steak for you.\Give Master Andrew a tour of the academy.\It is a pleasure to make your acquaintance. My name is Diana. response:	Metamorphie Vocias!
context: Her beauty seems to emanate and overshadow the rest!\Is she really that famous?\Come on, man. I know you don't care about magic, but even you should've heard of Lady Diana.\Come on, man. I know how apathetic you are about magic, but you've gotta know Lady Diana.\Please enjoy the feast we have prepared after the show. Our cooks have made seadragon steak for you.\Give Master Andrew a tour of the academy.\It is a pleasure to make your acquaintance. My name is Diana.\Metamorphie Vocias! response:	Metamorphie Vocias!
context: Is she really that famous?\Come on, man. I know you don't care about magic, but even you should've heard of Lady Diana.\Come on, man. I know how apathetic you are about magic, but you've gotta know Lady Diana.\Please enjoy the feast we have prepared after the show. Our cooks have made seadragon steak for you.\Give Master Andrew a tour of the academy.\It is a pleasure to make your acquaintance. My name is Diana.\Metamorphie Vocias!\Metamorphie Vocias! response:	At that time, I did get my hopes up a little.
context: Come on, man. I know you don't care about magic, but even you should've heard of Lady Diana.\Come on, man. I know how apathetic you are about magic, but you've gotta know Lady Diana.\Please enjoy the feast we have prepared after the show. Our cooks have made seadragon steak for you.\Give Master Andrew a tour of the academy.\It is a pleasure to make your acquaintance. My name is Diana.\Metamorphie Vocias!\Metamorphie Vocias!\At that time, I did get my hopes up a little. response:	I thought that I really was a great witch, but my powers were just dormant inside me.
context: Come on, man. I know how apathetic you are about magic, but you've gotta know Lady Diana.\Please enjoy the feast we have prepared after the show. Our cooks have made seadragon steak for you.\Give Master Andrew a tour of the academy.\It is a pleasure to make your acquaintance. My name is Diana.\Metamorphie Vocias!\Metamorphie Vocias!\At that time, I did get my hopes up a little.\I thought that I really was a great witch, but my powers were just dormant inside me. response:	Couldn't someone come and tell me whether I have talent or not already?
context: Please enjoy the feast we have prepared after the show. Our cooks have made seadragon steak for you.\Give Master Andrew a tour of the academy.\It is a pleasure to make your acquaintance. My name is Diana.\Metamorphie Vocias!\Metamorphie Vocias!\At that time, I did get my hopes up a little.\I thought that I really was a great witch, but my powers were just dormant inside me.\Couldn't someone come and tell me whether I have talent or not already? response:	Those who seek the Fountain must reach the end of the north school building.
context: Give Master Andrew a tour of the academy.\It is a pleasure to make your acquaintance. My name is Diana.\Metamorphie Vocias!\Metamorphie Vocias!\At that time, I did get my hopes up a little.\I thought that I really was a great witch, but my powers were just dormant inside me.\Couldn't someone come and tell me whether I have talent or not already?\Those who seek the Fountain must reach the end of the north school building. response:	There you will find the Big Dipper Arch.
context: It is a pleasure to make your acquaintance. My name is Diana.\Metamorphie Vocias!\Metamorphie Vocias!\At that time, I did get my hopes up a little.\I thought that I really was a great witch, but my powers were just dormant inside me.\Couldn't someone come and tell me whether I have talent or not already?\Those who seek the Fountain must reach the end of the north school building.\There you will find the Big Dipper Arch. response:	It's usually off-limits, but the security should be weak because of the party.
context: Metamorphie Vocias!\Metamorphie Vocias!\At that time, I did get my hopes up a little.\I thought that I really was a great witch, but my powers were just dormant inside me.\Couldn't someone come and tell me whether I have talent or not already?\Those who seek the Fountain must reach the end of the north school building.\There you will find the Big Dipper Arch.\It's usually off-limits, but the security should be weak because of the party. response:	We were merely exchanging pleasantries at our summer residences as children.
context: Metamorphie Vocias!\At that time, I did get my hopes up a little.\I thought that I really was a great witch, but my powers were just dormant inside me.\Couldn't someone come and tell me whether I have talent or not already?\Those who seek the Fountain must reach the end of the north school building.\There you will find the Big Dipper Arch.\It's usually off-limits, but the security should be weak because of the party.\We were merely exchanging pleasantries at our summer residences as children. response:	We simply spoke occasionally at our summer villas as children.
context: At that time, I did get my hopes up a little.\I thought that I really was a great witch, but my powers were just dormant inside me.\Couldn't someone come and tell me whether I have talent or not already?\Those who seek the Fountain must reach the end of the north school building.\There you will find the Big Dipper Arch.\It's usually off-limits, but the security should be weak because of the party.\We were merely exchanging pleasantries at our summer residences as children.\We simply spoke occasionally at our summer villas as children. response:	As I recall, you were preoccupied by some strange magic throughout the season.
context: I thought that I really was a great witch, but my powers were just dormant inside me.\Couldn't someone come and tell me whether I have talent or not already?\Those who seek the Fountain must reach the end of the north school building.\There you will find the Big Dipper Arch.\It's usually off-limits, but the security should be weak because of the party.\We were merely exchanging pleasantries at our summer residences as children.\We simply spoke occasionally at our summer villas as children.\As I recall, you were preoccupied by some strange magic throughout the season. response:	The others found it repulsive and stayed far away.
context: Couldn't someone come and tell me whether I have talent or not already?\Those who seek the Fountain must reach the end of the north school building.\There you will find the Big Dipper Arch.\It's usually off-limits, but the security should be weak because of the party.\We were merely exchanging pleasantries at our summer residences as children.\We simply spoke occasionally at our summer villas as children.\As I recall, you were preoccupied by some strange magic throughout the season.\The others found it repulsive and stayed far away. response:	Perhaps you were too busy being swarmed by girls that you were unable to notice.
context: Those who seek the Fountain must reach the end of the north school building.\There you will find the Big Dipper Arch.\It's usually off-limits, but the security should be weak because of the party.\We were merely exchanging pleasantries at our summer residences as children.\We simply spoke occasionally at our summer villas as children.\As I recall, you were preoccupied by some strange magic throughout the season.\The others found it repulsive and stayed far away.\Perhaps you were too busy being swarmed by girls that you were unable to notice. response:	I didn't have the slightest interest in things that belong in the last century like magic.
context: There you will find the Big Dipper Arch.\It's usually off-limits, but the security should be weak because of the party.\We were merely exchanging pleasantries at our summer residences as children.\We simply spoke occasionally at our summer villas as children.\As I recall, you were preoccupied by some strange magic throughout the season.\The others found it repulsive and stayed far away.\Perhaps you were too busy being swarmed by girls that you were unable to notice.\I didn't have the slightest interest in things that belong in the last century like magic. response:	Come to think of it, I believe we have had this futile conversation many times in the past.
context: It's usually off-limits, but the security should be weak because of the party.\We were merely exchanging pleasantries at our summer residences as children.\We simply spoke occasionally at our summer villas as children.\As I recall, you were preoccupied by some strange magic throughout the season.\The others found it repulsive and stayed far away.\Perhaps you were too busy being swarmed by girls that you were unable to notice.\I didn't have the slightest interest in things that belong in the last century like magic.\Come to think of it, I believe we have had this futile conversation many times in the past. response:	Really, Frank? There is no value in things that have been rendered obsolete.
context: We were merely exchanging pleasantries at our summer residences as children.\We simply spoke occasionally at our summer villas as children.\As I recall, you were preoccupied by some strange magic throughout the season.\The others found it repulsive and stayed far away.\Perhaps you were too busy being swarmed by girls that you were unable to notice.\I didn't have the slightest interest in things that belong in the last century like magic.\Come to think of it, I believe we have had this futile conversation many times in the past.\Really, Frank? There is no value in things that have been rendered obsolete. response:	It's only natural that Luna Nova's financial situation has worsened.
context: We simply spoke occasionally at our summer villas as children.\As I recall, you were preoccupied by some strange magic throughout the season.\The others found it repulsive and stayed far away.\Perhaps you were too busy being swarmed by girls that you were unable to notice.\I didn't have the slightest interest in things that belong in the last century like magic.\Come to think of it, I believe we have had this futile conversation many times in the past.\Really, Frank? There is no value in things that have been rendered obsolete.\It's only natural that Luna Nova's financial situation has worsened. response:	You're as drastic as ever, Andrew.
context: As I recall, you were preoccupied by some strange magic throughout the season.\The others found it repulsive and stayed far away.\Perhaps you were too busy being swarmed by girls that you were unable to notice.\I didn't have the slightest interest in things that belong in the last century like magic.\Come to think of it, I believe we have had this futile conversation many times in the past.\Really, Frank? There is no value in things that have been rendered obsolete.\It's only natural that Luna Nova's financial situation has worsened.\You're as drastic as ever, Andrew. response:	There's no need to be so extreme in your beliefs.
