context: I'm heading out. response:	It's been a week since Hiromi moved out to live alone in an apartment.
context: I'm heading out.\It's been a week since Hiromi moved out to live alone in an apartment. response:	After her suspension ended, Hiromi started going to school again.
context: I'm heading out.\It's been a week since Hiromi moved out to live alone in an apartment.\After her suspension ended, Hiromi started going to school again. response:	As for me,
context: I'm heading out.\It's been a week since Hiromi moved out to live alone in an apartment.\After her suspension ended, Hiromi started going to school again.\As for me, response:	things aren't going very well.
context: I'm heading out.\It's been a week since Hiromi moved out to live alone in an apartment.\After her suspension ended, Hiromi started going to school again.\As for me,\things aren't going very well. response:	I haven't seen Noe since that time.
context: I'm heading out.\It's been a week since Hiromi moved out to live alone in an apartment.\After her suspension ended, Hiromi started going to school again.\As for me,\things aren't going very well.\I haven't seen Noe since that time. response:	Yes, thank you very much.
context: I'm heading out.\It's been a week since Hiromi moved out to live alone in an apartment.\After her suspension ended, Hiromi started going to school again.\As for me,\things aren't going very well.\I haven't seen Noe since that time.\Yes, thank you very much. response:	Yup, we will prepare three dozen right away.
context: I'm heading out.\It's been a week since Hiromi moved out to live alone in an apartment.\After her suspension ended, Hiromi started going to school again.\As for me,\things aren't going very well.\I haven't seen Noe since that time.\Yes, thank you very much.\Yup, we will prepare three dozen right away. response:	Yes, thank you.
context: It's been a week since Hiromi moved out to live alone in an apartment.\After her suspension ended, Hiromi started going to school again.\As for me,\things aren't going very well.\I haven't seen Noe since that time.\Yes, thank you very much.\Yup, we will prepare three dozen right away.\Yes, thank you. response:	Boss, how many cases of Mugiha wine did we have again?
context: After her suspension ended, Hiromi started going to school again.\As for me,\things aren't going very well.\I haven't seen Noe since that time.\Yes, thank you very much.\Yup, we will prepare three dozen right away.\Yes, thank you.\Boss, how many cases of Mugiha wine did we have again? response:	We have four cases.
context: As for me,\things aren't going very well.\I haven't seen Noe since that time.\Yes, thank you very much.\Yup, we will prepare three dozen right away.\Yes, thank you.\Boss, how many cases of Mugiha wine did we have again?\We have four cases. response:	Got it!
context: things aren't going very well.\I haven't seen Noe since that time.\Yes, thank you very much.\Yup, we will prepare three dozen right away.\Yes, thank you.\Boss, how many cases of Mugiha wine did we have again?\We have four cases.\Got it! response:	Doesn't it seem like demand is pretty good this year?
context: I haven't seen Noe since that time.\Yes, thank you very much.\Yup, we will prepare three dozen right away.\Yes, thank you.\Boss, how many cases of Mugiha wine did we have again?\We have four cases.\Got it!\Doesn't it seem like demand is pretty good this year? response:	Yeah, we've made around 20 more sales compared to last year's festival.
context: Yes, thank you very much.\Yup, we will prepare three dozen right away.\Yes, thank you.\Boss, how many cases of Mugiha wine did we have again?\We have four cases.\Got it!\Doesn't it seem like demand is pretty good this year?\Yeah, we've made around 20 more sales compared to last year's festival. response:	What do you think? It's quite a nice room, right?
context: Yup, we will prepare three dozen right away.\Yes, thank you.\Boss, how many cases of Mugiha wine did we have again?\We have four cases.\Got it!\Doesn't it seem like demand is pretty good this year?\Yeah, we've made around 20 more sales compared to last year's festival.\What do you think? It's quite a nice room, right? response:	Yeah. It's close to my house too, isn't that nice?
context: Yes, thank you.\Boss, how many cases of Mugiha wine did we have again?\We have four cases.\Got it!\Doesn't it seem like demand is pretty good this year?\Yeah, we've made around 20 more sales compared to last year's festival.\What do you think? It's quite a nice room, right?\Yeah. It's close to my house too, isn't that nice? response:	Yup.
context: Boss, how many cases of Mugiha wine did we have again?\We have four cases.\Got it!\Doesn't it seem like demand is pretty good this year?\Yeah, we've made around 20 more sales compared to last year's festival.\What do you think? It's quite a nice room, right?\Yeah. It's close to my house too, isn't that nice?\Yup. response:	The festival's in three days.
context: We have four cases.\Got it!\Doesn't it seem like demand is pretty good this year?\Yeah, we've made around 20 more sales compared to last year's festival.\What do you think? It's quite a nice room, right?\Yeah. It's close to my house too, isn't that nice?\Yup.\The festival's in three days. response:	Are you really going to have the inter-school match?
context: Got it!\Doesn't it seem like demand is pretty good this year?\Yeah, we've made around 20 more sales compared to last year's festival.\What do you think? It's quite a nice room, right?\Yeah. It's close to my house too, isn't that nice?\Yup.\The festival's in three days.\Are you really going to have the inter-school match? response:	They said we should play a game to show the rookies.
