context: Yay! Yay! response:	You seem to be enjoying yourself, Sakura-chan.
context: Yay! Yay!\You seem to be enjoying yourself, Sakura-chan. response:	Yeah.
context: Yay! Yay!\You seem to be enjoying yourself, Sakura-chan.\Yeah. response:	What is this?
context: Yay! Yay!\You seem to be enjoying yourself, Sakura-chan.\Yeah.\What is this? response:	Seijou high
context: Yay! Yay!\You seem to be enjoying yourself, Sakura-chan.\Yeah.\What is this?\Seijou high response:	is having its culture fair this Sunday.
context: Yay! Yay!\You seem to be enjoying yourself, Sakura-chan.\Yeah.\What is this?\Seijou high\is having its culture fair this Sunday. response:	Oh yeah,
context: Yay! Yay!\You seem to be enjoying yourself, Sakura-chan.\Yeah.\What is this?\Seijou high\is having its culture fair this Sunday.\Oh yeah, response:	big brother has been home late recently because of preparations.
context: Yay! Yay!\You seem to be enjoying yourself, Sakura-chan.\Yeah.\What is this?\Seijou high\is having its culture fair this Sunday.\Oh yeah,\big brother has been home late recently because of preparations. response:	Why don't you come along with a friend?
context: You seem to be enjoying yourself, Sakura-chan.\Yeah.\What is this?\Seijou high\is having its culture fair this Sunday.\Oh yeah,\big brother has been home late recently because of preparations.\Why don't you come along with a friend? response:	Eh!
context: Yeah.\What is this?\Seijou high\is having its culture fair this Sunday.\Oh yeah,\big brother has been home late recently because of preparations.\Why don't you come along with a friend?\Eh! response:	Perhaps you already got one from Touya.
context: What is this?\Seijou high\is having its culture fair this Sunday.\Oh yeah,\big brother has been home late recently because of preparations.\Why don't you come along with a friend?\Eh!\Perhaps you already got one from Touya. response:	No,
context: Seijou high\is having its culture fair this Sunday.\Oh yeah,\big brother has been home late recently because of preparations.\Why don't you come along with a friend?\Eh!\Perhaps you already got one from Touya.\No, response:	last year he gave me one, but not yet this year.
context: is having its culture fair this Sunday.\Oh yeah,\big brother has been home late recently because of preparations.\Why don't you come along with a friend?\Eh!\Perhaps you already got one from Touya.\No,\last year he gave me one, but not yet this year. response:	Perhaps he is worried about the play.
context: Oh yeah,\big brother has been home late recently because of preparations.\Why don't you come along with a friend?\Eh!\Perhaps you already got one from Touya.\No,\last year he gave me one, but not yet this year.\Perhaps he is worried about the play. response:	Play?
context: big brother has been home late recently because of preparations.\Why don't you come along with a friend?\Eh!\Perhaps you already got one from Touya.\No,\last year he gave me one, but not yet this year.\Perhaps he is worried about the play.\Play? response:	Here.
context: Why don't you come along with a friend?\Eh!\Perhaps you already got one from Touya.\No,\last year he gave me one, but not yet this year.\Perhaps he is worried about the play.\Play?\Here. response:	With this you can eat what ever you want at the stands.
context: Eh!\Perhaps you already got one from Touya.\No,\last year he gave me one, but not yet this year.\Perhaps he is worried about the play.\Play?\Here.\With this you can eat what ever you want at the stands. response:	Thank you.
context: Perhaps you already got one from Touya.\No,\last year he gave me one, but not yet this year.\Perhaps he is worried about the play.\Play?\Here.\With this you can eat what ever you want at the stands.\Thank you. response:	Tomoyo-chan!
context: No,\last year he gave me one, but not yet this year.\Perhaps he is worried about the play.\Play?\Here.\With this you can eat what ever you want at the stands.\Thank you.\Tomoyo-chan! response:	Sakura, you were just so cute
context: last year he gave me one, but not yet this year.\Perhaps he is worried about the play.\Play?\Here.\With this you can eat what ever you want at the stands.\Thank you.\Tomoyo-chan!\Sakura, you were just so cute response:	as you were lost in memory'
context: Perhaps he is worried about the play.\Play?\Here.\With this you can eat what ever you want at the stands.\Thank you.\Tomoyo-chan!\Sakura, you were just so cute\as you were lost in memory' response:	Hurry,
context: Play?\Here.\With this you can eat what ever you want at the stands.\Thank you.\Tomoyo-chan!\Sakura, you were just so cute\as you were lost in memory'\Hurry, response:	it's almost show time.
context: Here.\With this you can eat what ever you want at the stands.\Thank you.\Tomoyo-chan!\Sakura, you were just so cute\as you were lost in memory'\Hurry,\it's almost show time. response:	Kinomoto,
context: With this you can eat what ever you want at the stands.\Thank you.\Tomoyo-chan!\Sakura, you were just so cute\as you were lost in memory'\Hurry,\it's almost show time.\Kinomoto, response:	the shoes are broken.
context: Thank you.\Tomoyo-chan!\Sakura, you were just so cute\as you were lost in memory'\Hurry,\it's almost show time.\Kinomoto,\the shoes are broken. response:	Try and do something about it.
context: Tomoyo-chan!\Sakura, you were just so cute\as you were lost in memory'\Hurry,\it's almost show time.\Kinomoto,\the shoes are broken.\Try and do something about it. response:	Kinomoto-kun, you're good.
context: Sakura, you were just so cute\as you were lost in memory'\Hurry,\it's almost show time.\Kinomoto,\the shoes are broken.\Try and do something about it.\Kinomoto-kun, you're good. response:	Are you good at things like this?
context: as you were lost in memory'\Hurry,\it's almost show time.\Kinomoto,\the shoes are broken.\Try and do something about it.\Kinomoto-kun, you're good.\Are you good at things like this? response:	Sorta.
context: Hurry,\it's almost show time.\Kinomoto,\the shoes are broken.\Try and do something about it.\Kinomoto-kun, you're good.\Are you good at things like this?\Sorta. response:	You'll make a good husband.
context: it's almost show time.\Kinomoto,\the shoes are broken.\Try and do something about it.\Kinomoto-kun, you're good.\Are you good at things like this?\Sorta.\You'll make a good husband. response:	Really, really.
context: Kinomoto,\the shoes are broken.\Try and do something about it.\Kinomoto-kun, you're good.\Are you good at things like this?\Sorta.\You'll make a good husband.\Really, really. response:	Kero-chan would be jealous.
context: the shoes are broken.\Try and do something about it.\Kinomoto-kun, you're good.\Are you good at things like this?\Sorta.\You'll make a good husband.\Really, really.\Kero-chan would be jealous. response:	Oh yeah.
context: Try and do something about it.\Kinomoto-kun, you're good.\Are you good at things like this?\Sorta.\You'll make a good husband.\Really, really.\Kero-chan would be jealous.\Oh yeah. response:	Eh!
context: Kinomoto-kun, you're good.\Are you good at things like this?\Sorta.\You'll make a good husband.\Really, really.\Kero-chan would be jealous.\Oh yeah.\Eh! response:	Kero-chan asked me to get a souvenir.
context: Are you good at things like this?\Sorta.\You'll make a good husband.\Really, really.\Kero-chan would be jealous.\Oh yeah.\Eh!\Kero-chan asked me to get a souvenir. response:	Oh!
context: Sorta.\You'll make a good husband.\Really, really.\Kero-chan would be jealous.\Oh yeah.\Eh!\Kero-chan asked me to get a souvenir.\Oh! response:	Hi.
context: You'll make a good husband.\Really, really.\Kero-chan would be jealous.\Oh yeah.\Eh!\Kero-chan asked me to get a souvenir.\Oh!\Hi. response:	Yukito-san, good afternoon.
context: Really, really.\Kero-chan would be jealous.\Oh yeah.\Eh!\Kero-chan asked me to get a souvenir.\Oh!\Hi.\Yukito-san, good afternoon. response:	A kimono.
context: Kero-chan would be jealous.\Oh yeah.\Eh!\Kero-chan asked me to get a souvenir.\Oh!\Hi.\Yukito-san, good afternoon.\A kimono. response:	Our class's shop
context: Oh yeah.\Eh!\Kero-chan asked me to get a souvenir.\Oh!\Hi.\Yukito-san, good afternoon.\A kimono.\Our class's shop response:	is selling sweets,
context: Eh!\Kero-chan asked me to get a souvenir.\Oh!\Hi.\Yukito-san, good afternoon.\A kimono.\Our class's shop\is selling sweets, response:	so we did it Japanese style.
context: Kero-chan asked me to get a souvenir.\Oh!\Hi.\Yukito-san, good afternoon.\A kimono.\Our class's shop\is selling sweets,\so we did it Japanese style. response:	So, come in.
context: Oh!\Hi.\Yukito-san, good afternoon.\A kimono.\Our class's shop\is selling sweets,\so we did it Japanese style.\So, come in. response:	Eh!
context: Hi.\Yukito-san, good afternoon.\A kimono.\Our class's shop\is selling sweets,\so we did it Japanese style.\So, come in.\Eh! response:	What do you want?
context: Yukito-san, good afternoon.\A kimono.\Our class's shop\is selling sweets,\so we did it Japanese style.\So, come in.\Eh!\What do you want? response:	We have lemonade and hiyashiame.
context: A kimono.\Our class's shop\is selling sweets,\so we did it Japanese style.\So, come in.\Eh!\What do you want?\We have lemonade and hiyashiame. response:	Then I will have hiyashiame.
context: Our class's shop\is selling sweets,\so we did it Japanese style.\So, come in.\Eh!\What do you want?\We have lemonade and hiyashiame.\Then I will have hiyashiame. response:	Umm, I'll have lemonade.
context: is selling sweets,\so we did it Japanese style.\So, come in.\Eh!\What do you want?\We have lemonade and hiyashiame.\Then I will have hiyashiame.\Umm, I'll have lemonade. response:	OK, wait one moment.
context: so we did it Japanese style.\So, come in.\Eh!\What do you want?\We have lemonade and hiyashiame.\Then I will have hiyashiame.\Umm, I'll have lemonade.\OK, wait one moment. response:	Yukito-san.
context: So, come in.\Eh!\What do you want?\We have lemonade and hiyashiame.\Then I will have hiyashiame.\Umm, I'll have lemonade.\OK, wait one moment.\Yukito-san. response:	Sorry to keep you waiting.
context: Eh!\What do you want?\We have lemonade and hiyashiame.\Then I will have hiyashiame.\Umm, I'll have lemonade.\OK, wait one moment.\Yukito-san.\Sorry to keep you waiting. response:	Delicious.
context: What do you want?\We have lemonade and hiyashiame.\Then I will have hiyashiame.\Umm, I'll have lemonade.\OK, wait one moment.\Yukito-san.\Sorry to keep you waiting.\Delicious. response:	What is it?
context: We have lemonade and hiyashiame.\Then I will have hiyashiame.\Umm, I'll have lemonade.\OK, wait one moment.\Yukito-san.\Sorry to keep you waiting.\Delicious.\What is it? response:	I feel like somebody is looking at me.
context: Then I will have hiyashiame.\Umm, I'll have lemonade.\OK, wait one moment.\Yukito-san.\Sorry to keep you waiting.\Delicious.\What is it?\I feel like somebody is looking at me. response:	Huh?
context: Umm, I'll have lemonade.\OK, wait one moment.\Yukito-san.\Sorry to keep you waiting.\Delicious.\What is it?\I feel like somebody is looking at me.\Huh? response:	Would you like another?
context: OK, wait one moment.\Yukito-san.\Sorry to keep you waiting.\Delicious.\What is it?\I feel like somebody is looking at me.\Huh?\Would you like another? response:	Yeah.
context: Yukito-san.\Sorry to keep you waiting.\Delicious.\What is it?\I feel like somebody is looking at me.\Huh?\Would you like another?\Yeah. response:	It seems like he has been in here for quite some time.
context: Sorry to keep you waiting.\Delicious.\What is it?\I feel like somebody is looking at me.\Huh?\Would you like another?\Yeah.\It seems like he has been in here for quite some time. response:	Eh?
context: Delicious.\What is it?\I feel like somebody is looking at me.\Huh?\Would you like another?\Yeah.\It seems like he has been in here for quite some time.\Eh? response:	Here.
context: What is it?\I feel like somebody is looking at me.\Huh?\Would you like another?\Yeah.\It seems like he has been in here for quite some time.\Eh?\Here. response:	My shift is over.
context: I feel like somebody is looking at me.\Huh?\Would you like another?\Yeah.\It seems like he has been in here for quite some time.\Eh?\Here.\My shift is over. response:	Shall I show you around?
context: Huh?\Would you like another?\Yeah.\It seems like he has been in here for quite some time.\Eh?\Here.\My shift is over.\Shall I show you around? response:	Will you?
context: Would you like another?\Yeah.\It seems like he has been in here for quite some time.\Eh?\Here.\My shift is over.\Shall I show you around?\Will you? response:	That's heavy.
context: Yeah.\It seems like he has been in here for quite some time.\Eh?\Here.\My shift is over.\Shall I show you around?\Will you?\That's heavy. response:	Really?
