context: Target silent. Mission complete. response:	Damage report.
context: Target silent. Mission complete.\Damage report. response:	Rosalie, minor damage to right thruster.
context: Target silent. Mission complete.\Damage report.\Rosalie, minor damage to right thruster. response:	Still flight-capable.
context: Target silent. Mission complete.\Damage report.\Rosalie, minor damage to right thruster.\Still flight-capable. response:	Ersha, right shoulder damaged. Still flight-capable.
context: Target silent. Mission complete.\Damage report.\Rosalie, minor damage to right thruster.\Still flight-capable.\Ersha, right shoulder damaged. Still flight-capable. response:	Ange, lost.
context: Target silent. Mission complete.\Damage report.\Rosalie, minor damage to right thruster.\Still flight-capable.\Ersha, right shoulder damaged. Still flight-capable.\Ange, lost. response:	Good work.
context: Target silent. Mission complete.\Damage report.\Rosalie, minor damage to right thruster.\Still flight-capable.\Ersha, right shoulder damaged. Still flight-capable.\Ange, lost.\Good work. response:	All units, return.
context: Target silent. Mission complete.\Damage report.\Rosalie, minor damage to right thruster.\Still flight-capable.\Ersha, right shoulder damaged. Still flight-capable.\Ange, lost.\Good work.\All units, return. response:	Um
context: Damage report.\Rosalie, minor damage to right thruster.\Still flight-capable.\Ersha, right shoulder damaged. Still flight-capable.\Ange, lost.\Good work.\All units, return.\Um response:	The Vill
context: Rosalie, minor damage to right thruster.\Still flight-capable.\Ersha, right shoulder damaged. Still flight-capable.\Ange, lost.\Good work.\All units, return.\Um\The Vill response:	Ange's unit has not necessarily been destroyed.
context: Still flight-capable.\Ersha, right shoulder damaged. Still flight-capable.\Ange, lost.\Good work.\All units, return.\Um\The Vill\Ange's unit has not necessarily been destroyed. response:	We should search for and retrieve it immediately.
context: Ersha, right shoulder damaged. Still flight-capable.\Ange, lost.\Good work.\All units, return.\Um\The Vill\Ange's unit has not necessarily been destroyed.\We should search for and retrieve it immediately. response:	You're kidding.
context: Ange, lost.\Good work.\All units, return.\Um\The Vill\Ange's unit has not necessarily been destroyed.\We should search for and retrieve it immediately.\You're kidding. response:	We're exhausted from the fight. We have no fuel.
context: Good work.\All units, return.\Um\The Vill\Ange's unit has not necessarily been destroyed.\We should search for and retrieve it immediately.\You're kidding.\We're exhausted from the fight. We have no fuel. response:	And you're telling us to find the Burn Princess and that cruddy machine, Captain?
