context: I like your eyes the most. response:	Your Majesty, don't make fun of me.
context: I like your eyes the most.\Your Majesty, don't make fun of me. response:	Tell me.
context: I like your eyes the most.\Your Majesty, don't make fun of me.\Tell me. response:	Where are you?
context: I like your eyes the most.\Your Majesty, don't make fun of me.\Tell me.\Where are you? response:	Aren't I in your arms?
context: I like your eyes the most.\Your Majesty, don't make fun of me.\Tell me.\Where are you?\Aren't I in your arms? response:	Were you off searching for Li Yuan again?
context: I like your eyes the most.\Your Majesty, don't make fun of me.\Tell me.\Where are you?\Aren't I in your arms?\Were you off searching for Li Yuan again? response:	Have you found anything?
context: I like your eyes the most.\Your Majesty, don't make fun of me.\Tell me.\Where are you?\Aren't I in your arms?\Were you off searching for Li Yuan again?\Have you found anything? response:	No clues at all.
context: I like your eyes the most.\Your Majesty, don't make fun of me.\Tell me.\Where are you?\Aren't I in your arms?\Were you off searching for Li Yuan again?\Have you found anything?\No clues at all. response:	You may all go.
context: Your Majesty, don't make fun of me.\Tell me.\Where are you?\Aren't I in your arms?\Were you off searching for Li Yuan again?\Have you found anything?\No clues at all.\You may all go. response:	I want to speak with the princess.
context: Tell me.\Where are you?\Aren't I in your arms?\Were you off searching for Li Yuan again?\Have you found anything?\No clues at all.\You may all go.\I want to speak with the princess. response:	- Yes. - Yes.
context: Where are you?\Aren't I in your arms?\Were you off searching for Li Yuan again?\Have you found anything?\No clues at all.\You may all go.\I want to speak with the princess.\- Yes. - Yes. response:	It's been 70,000 years.
context: Aren't I in your arms?\Were you off searching for Li Yuan again?\Have you found anything?\No clues at all.\You may all go.\I want to speak with the princess.\- Yes. - Yes.\It's been 70,000 years. response:	You should let it go.
context: Were you off searching for Li Yuan again?\Have you found anything?\No clues at all.\You may all go.\I want to speak with the princess.\- Yes. - Yes.\It's been 70,000 years.\You should let it go. response:	Father has already left me.
context: Have you found anything?\No clues at all.\You may all go.\I want to speak with the princess.\- Yes. - Yes.\It's been 70,000 years.\You should let it go.\Father has already left me. response:	And Li Yuan's whereabouts are unknown.
context: No clues at all.\You may all go.\I want to speak with the princess.\- Yes. - Yes.\It's been 70,000 years.\You should let it go.\Father has already left me.\And Li Yuan's whereabouts are unknown. response:	If I let it go, I might be left with nothing.
context: You may all go.\I want to speak with the princess.\- Yes. - Yes.\It's been 70,000 years.\You should let it go.\Father has already left me.\And Li Yuan's whereabouts are unknown.\If I let it go, I might be left with nothing. response:	You still have me.
context: I want to speak with the princess.\- Yes. - Yes.\It's been 70,000 years.\You should let it go.\Father has already left me.\And Li Yuan's whereabouts are unknown.\If I let it go, I might be left with nothing.\You still have me. response:	Yes, I still have you.
context: - Yes. - Yes.\It's been 70,000 years.\You should let it go.\Father has already left me.\And Li Yuan's whereabouts are unknown.\If I let it go, I might be left with nothing.\You still have me.\Yes, I still have you. response:	Ever since I was young, you were the one who treated me best.
context: It's been 70,000 years.\You should let it go.\Father has already left me.\And Li Yuan's whereabouts are unknown.\If I let it go, I might be left with nothing.\You still have me.\Yes, I still have you.\Ever since I was young, you were the one who treated me best. response:	You were even nicer to me than Father.
context: You should let it go.\Father has already left me.\And Li Yuan's whereabouts are unknown.\If I let it go, I might be left with nothing.\You still have me.\Yes, I still have you.\Ever since I was young, you were the one who treated me best.\You were even nicer to me than Father. response:	Li Jing.
context: Father has already left me.\And Li Yuan's whereabouts are unknown.\If I let it go, I might be left with nothing.\You still have me.\Yes, I still have you.\Ever since I was young, you were the one who treated me best.\You were even nicer to me than Father.\Li Jing. response:	Lately, I've been thinking about our childhood.
context: And Li Yuan's whereabouts are unknown.\If I let it go, I might be left with nothing.\You still have me.\Yes, I still have you.\Ever since I was young, you were the one who treated me best.\You were even nicer to me than Father.\Li Jing.\Lately, I've been thinking about our childhood. response:	You, me, and Li Yuan, and the lively days we had.
context: If I let it go, I might be left with nothing.\You still have me.\Yes, I still have you.\Ever since I was young, you were the one who treated me best.\You were even nicer to me than Father.\Li Jing.\Lately, I've been thinking about our childhood.\You, me, and Li Yuan, and the lively days we had. response:	If not for the great war against the Celestial Tribe
context: You still have me.\Yes, I still have you.\Ever since I was young, you were the one who treated me best.\You were even nicer to me than Father.\Li Jing.\Lately, I've been thinking about our childhood.\You, me, and Li Yuan, and the lively days we had.\If not for the great war against the Celestial Tribe response:	you and Li Yuan could have-
context: Yes, I still have you.\Ever since I was young, you were the one who treated me best.\You were even nicer to me than Father.\Li Jing.\Lately, I've been thinking about our childhood.\You, me, and Li Yuan, and the lively days we had.\If not for the great war against the Celestial Tribe\you and Li Yuan could have- response:	Don't mention him to me.
context: Ever since I was young, you were the one who treated me best.\You were even nicer to me than Father.\Li Jing.\Lately, I've been thinking about our childhood.\You, me, and Li Yuan, and the lively days we had.\If not for the great war against the Celestial Tribe\you and Li Yuan could have-\Don't mention him to me. response:	Do you not miss him?
context: You were even nicer to me than Father.\Li Jing.\Lately, I've been thinking about our childhood.\You, me, and Li Yuan, and the lively days we had.\If not for the great war against the Celestial Tribe\you and Li Yuan could have-\Don't mention him to me.\Do you not miss him? response:	After all... we are siblings.
context: Li Jing.\Lately, I've been thinking about our childhood.\You, me, and Li Yuan, and the lively days we had.\If not for the great war against the Celestial Tribe\you and Li Yuan could have-\Don't mention him to me.\Do you not miss him?\After all... we are siblings. response:	Siblings?
context: Lately, I've been thinking about our childhood.\You, me, and Li Yuan, and the lively days we had.\If not for the great war against the Celestial Tribe\you and Li Yuan could have-\Don't mention him to me.\Do you not miss him?\After all... we are siblings.\Siblings? response:	He and you were born from the same mother.
context: You, me, and Li Yuan, and the lively days we had.\If not for the great war against the Celestial Tribe\you and Li Yuan could have-\Don't mention him to me.\Do you not miss him?\After all... we are siblings.\Siblings?\He and you were born from the same mother. response:	I was not.
context: If not for the great war against the Celestial Tribe\you and Li Yuan could have-\Don't mention him to me.\Do you not miss him?\After all... we are siblings.\Siblings?\He and you were born from the same mother.\I was not. response:	- Li Jing! - That's enough.
context: you and Li Yuan could have-\Don't mention him to me.\Do you not miss him?\After all... we are siblings.\Siblings?\He and you were born from the same mother.\I was not.\- Li Jing! - That's enough. response:	You are you. He is Li Yuan.
context: Don't mention him to me.\Do you not miss him?\After all... we are siblings.\Siblings?\He and you were born from the same mother.\I was not.\- Li Jing! - That's enough.\You are you. He is Li Yuan. response:	The relationship you have with him has nothing to do with me.
context: Do you not miss him?\After all... we are siblings.\Siblings?\He and you were born from the same mother.\I was not.\- Li Jing! - That's enough.\You are you. He is Li Yuan.\The relationship you have with him has nothing to do with me. response:	In this lifetime... I only have you, my only sister.
context: After all... we are siblings.\Siblings?\He and you were born from the same mother.\I was not.\- Li Jing! - That's enough.\You are you. He is Li Yuan.\The relationship you have with him has nothing to do with me.\In this lifetime... I only have you, my only sister. response:	Yan Zhi.
context: Siblings?\He and you were born from the same mother.\I was not.\- Li Jing! - That's enough.\You are you. He is Li Yuan.\The relationship you have with him has nothing to do with me.\In this lifetime... I only have you, my only sister.\Yan Zhi. response:	Don't mention him to me again.
context: He and you were born from the same mother.\I was not.\- Li Jing! - That's enough.\You are you. He is Li Yuan.\The relationship you have with him has nothing to do with me.\In this lifetime... I only have you, my only sister.\Yan Zhi.\Don't mention him to me again. response:	Is it not possible for you two to reconcile?
context: I was not.\- Li Jing! - That's enough.\You are you. He is Li Yuan.\The relationship you have with him has nothing to do with me.\In this lifetime... I only have you, my only sister.\Yan Zhi.\Don't mention him to me again.\Is it not possible for you two to reconcile? response:	Reconcile?
context: - Li Jing! - That's enough.\You are you. He is Li Yuan.\The relationship you have with him has nothing to do with me.\In this lifetime... I only have you, my only sister.\Yan Zhi.\Don't mention him to me again.\Is it not possible for you two to reconcile?\Reconcile? response:	All right, Li Jing, do not be angry.
context: You are you. He is Li Yuan.\The relationship you have with him has nothing to do with me.\In this lifetime... I only have you, my only sister.\Yan Zhi.\Don't mention him to me again.\Is it not possible for you two to reconcile?\Reconcile?\All right, Li Jing, do not be angry. response:	I just never thought that in this big Grand Ziming Palace
context: The relationship you have with him has nothing to do with me.\In this lifetime... I only have you, my only sister.\Yan Zhi.\Don't mention him to me again.\Is it not possible for you two to reconcile?\Reconcile?\All right, Li Jing, do not be angry.\I just never thought that in this big Grand Ziming Palace response:	only you and I would be left..
context: In this lifetime... I only have you, my only sister.\Yan Zhi.\Don't mention him to me again.\Is it not possible for you two to reconcile?\Reconcile?\All right, Li Jing, do not be angry.\I just never thought that in this big Grand Ziming Palace\only you and I would be left.. response:	Oh, yes, Li Jing.
context: Yan Zhi.\Don't mention him to me again.\Is it not possible for you two to reconcile?\Reconcile?\All right, Li Jing, do not be angry.\I just never thought that in this big Grand Ziming Palace\only you and I would be left..\Oh, yes, Li Jing. response:	Look, I found this in the mortal realm.
context: Don't mention him to me again.\Is it not possible for you two to reconcile?\Reconcile?\All right, Li Jing, do not be angry.\I just never thought that in this big Grand Ziming Palace\only you and I would be left..\Oh, yes, Li Jing.\Look, I found this in the mortal realm. response:	The Jade Purity Fan of Kunlun?
context: Is it not possible for you two to reconcile?\Reconcile?\All right, Li Jing, do not be angry.\I just never thought that in this big Grand Ziming Palace\only you and I would be left..\Oh, yes, Li Jing.\Look, I found this in the mortal realm.\The Jade Purity Fan of Kunlun? response:	A-Yin's artifact?
context: Reconcile?\All right, Li Jing, do not be angry.\I just never thought that in this big Grand Ziming Palace\only you and I would be left..\Oh, yes, Li Jing.\Look, I found this in the mortal realm.\The Jade Purity Fan of Kunlun?\A-Yin's artifact? response:	Where did you find it?
context: All right, Li Jing, do not be angry.\I just never thought that in this big Grand Ziming Palace\only you and I would be left..\Oh, yes, Li Jing.\Look, I found this in the mortal realm.\The Jade Purity Fan of Kunlun?\A-Yin's artifact?\Where did you find it? response:	Did you see him?
context: I just never thought that in this big Grand Ziming Palace\only you and I would be left..\Oh, yes, Li Jing.\Look, I found this in the mortal realm.\The Jade Purity Fan of Kunlun?\A-Yin's artifact?\Where did you find it?\Did you see him? response:	Let me explain first.
context: only you and I would be left..\Oh, yes, Li Jing.\Look, I found this in the mortal realm.\The Jade Purity Fan of Kunlun?\A-Yin's artifact?\Where did you find it?\Did you see him?\Let me explain first. response:	Where exactly did you find him?
context: Oh, yes, Li Jing.\Look, I found this in the mortal realm.\The Jade Purity Fan of Kunlun?\A-Yin's artifact?\Where did you find it?\Did you see him?\Let me explain first.\Where exactly did you find him? response:	I did not find him.
context: Look, I found this in the mortal realm.\The Jade Purity Fan of Kunlun?\A-Yin's artifact?\Where did you find it?\Did you see him?\Let me explain first.\Where exactly did you find him?\I did not find him. response:	I only met a mortal woman in Zhong Rong State
context: The Jade Purity Fan of Kunlun?\A-Yin's artifact?\Where did you find it?\Did you see him?\Let me explain first.\Where exactly did you find him?\I did not find him.\I only met a mortal woman in Zhong Rong State response:	at the foot of Mount Junji of the Far East.
