context: Hey! We need more over here. response:	Right away!
context: Hey! We need more over here.\Right away! response:	Where's that bonbori?
context: Hey! We need more over here.\Right away!\Where's that bonbori? response:	It's coming!
context: Hey! We need more over here.\Right away!\Where's that bonbori?\It's coming! response:	Thanks.
context: Hey! We need more over here.\Right away!\Where's that bonbori?\It's coming!\Thanks. response:	Ohana, are you done over there?
context: Hey! We need more over here.\Right away!\Where's that bonbori?\It's coming!\Thanks.\Ohana, are you done over there? response:	Um... yes.
context: Hey! We need more over here.\Right away!\Where's that bonbori?\It's coming!\Thanks.\Ohana, are you done over there?\Um... yes. response:	Man, it's such a shame when you're getting so many reservations.
context: Hey! We need more over here.\Right away!\Where's that bonbori?\It's coming!\Thanks.\Ohana, are you done over there?\Um... yes.\Man, it's such a shame when you're getting so many reservations. response:	Yeah...
context: Right away!\Where's that bonbori?\It's coming!\Thanks.\Ohana, are you done over there?\Um... yes.\Man, it's such a shame when you're getting so many reservations.\Yeah... response:	Oh! What are you going to write on your wishing plaque?
context: Where's that bonbori?\It's coming!\Thanks.\Ohana, are you done over there?\Um... yes.\Man, it's such a shame when you're getting so many reservations.\Yeah...\Oh! What are you going to write on your wishing plaque? response:	I haven't really thought about it.
context: It's coming!\Thanks.\Ohana, are you done over there?\Um... yes.\Man, it's such a shame when you're getting so many reservations.\Yeah...\Oh! What are you going to write on your wishing plaque?\I haven't really thought about it. response:	What? You should get on that.
context: Thanks.\Ohana, are you done over there?\Um... yes.\Man, it's such a shame when you're getting so many reservations.\Yeah...\Oh! What are you going to write on your wishing plaque?\I haven't really thought about it.\What? You should get on that. response:	I heard it really works.
context: Ohana, are you done over there?\Um... yes.\Man, it's such a shame when you're getting so many reservations.\Yeah...\Oh! What are you going to write on your wishing plaque?\I haven't really thought about it.\What? You should get on that.\I heard it really works. response:	Makes dreams and ambitions come true.
context: Um... yes.\Man, it's such a shame when you're getting so many reservations.\Yeah...\Oh! What are you going to write on your wishing plaque?\I haven't really thought about it.\What? You should get on that.\I heard it really works.\Makes dreams and ambitions come true. response:	Dreams...
context: Man, it's such a shame when you're getting so many reservations.\Yeah...\Oh! What are you going to write on your wishing plaque?\I haven't really thought about it.\What? You should get on that.\I heard it really works.\Makes dreams and ambitions come true.\Dreams... response:	Me?
context: Yeah...\Oh! What are you going to write on your wishing plaque?\I haven't really thought about it.\What? You should get on that.\I heard it really works.\Makes dreams and ambitions come true.\Dreams...\Me? response:	I want to study abroad.
context: Oh! What are you going to write on your wishing plaque?\I haven't really thought about it.\What? You should get on that.\I heard it really works.\Makes dreams and ambitions come true.\Dreams...\Me?\I want to study abroad. response:	I want to learn about the hotel situation overseas.
context: I haven't really thought about it.\What? You should get on that.\I heard it really works.\Makes dreams and ambitions come true.\Dreams...\Me?\I want to study abroad.\I want to learn about the hotel situation overseas. response:	And...
context: What? You should get on that.\I heard it really works.\Makes dreams and ambitions come true.\Dreams...\Me?\I want to study abroad.\I want to learn about the hotel situation overseas.\And... response:	A goddess takes everyone's wishes to the sky
context: I heard it really works.\Makes dreams and ambitions come true.\Dreams...\Me?\I want to study abroad.\I want to learn about the hotel situation overseas.\And...\A goddess takes everyone's wishes to the sky response:	as thanks for lighting her up with bonbori...
context: Makes dreams and ambitions come true.\Dreams...\Me?\I want to study abroad.\I want to learn about the hotel situation overseas.\And...\A goddess takes everyone's wishes to the sky\as thanks for lighting her up with bonbori... response:	When I came to Yunosagi, I felt like I wanted to shine.
context: Dreams...\Me?\I want to study abroad.\I want to learn about the hotel situation overseas.\And...\A goddess takes everyone's wishes to the sky\as thanks for lighting her up with bonbori...\When I came to Yunosagi, I felt like I wanted to shine. response:	Then the days flew by, and I came to like my work and Kissuiso.
context: Me?\I want to study abroad.\I want to learn about the hotel situation overseas.\And...\A goddess takes everyone's wishes to the sky\as thanks for lighting her up with bonbori...\When I came to Yunosagi, I felt like I wanted to shine.\Then the days flew by, and I came to like my work and Kissuiso. response:	But what's my dream...?
context: I want to study abroad.\I want to learn about the hotel situation overseas.\And...\A goddess takes everyone's wishes to the sky\as thanks for lighting her up with bonbori...\When I came to Yunosagi, I felt like I wanted to shine.\Then the days flew by, and I came to like my work and Kissuiso.\But what's my dream...? response:	What's the matter?
context: I want to learn about the hotel situation overseas.\And...\A goddess takes everyone's wishes to the sky\as thanks for lighting her up with bonbori...\When I came to Yunosagi, I felt like I wanted to shine.\Then the days flew by, and I came to like my work and Kissuiso.\But what's my dream...?\What's the matter? response:	Uh... pardon?
context: And...\A goddess takes everyone's wishes to the sky\as thanks for lighting her up with bonbori...\When I came to Yunosagi, I felt like I wanted to shine.\Then the days flew by, and I came to like my work and Kissuiso.\But what's my dream...?\What's the matter?\Uh... pardon? response:	Almost forgot, Ohana!
context: A goddess takes everyone's wishes to the sky\as thanks for lighting her up with bonbori...\When I came to Yunosagi, I felt like I wanted to shine.\Then the days flew by, and I came to like my work and Kissuiso.\But what's my dream...?\What's the matter?\Uh... pardon?\Almost forgot, Ohana! response:	Here!
