context: Milika-san is living in my yard. response:	She declared that she's going to become my third girlfriend.
context: Milika-san is living in my yard.\She declared that she's going to become my third girlfriend. response:	She weathers the cold, the bugs, and the stench of her own sweat,
context: Milika-san is living in my yard.\She declared that she's going to become my third girlfriend.\She weathers the cold, the bugs, and the stench of her own sweat, response:	resolved to stay until I fall for her.
context: Milika-san is living in my yard.\She declared that she's going to become my third girlfriend.\She weathers the cold, the bugs, and the stench of her own sweat,\resolved to stay until I fall for her. response:	I have to do something in order to protect my two-timing life.
context: Milika-san is living in my yard.\She declared that she's going to become my third girlfriend.\She weathers the cold, the bugs, and the stench of her own sweat,\resolved to stay until I fall for her.\I have to do something in order to protect my two-timing life. response:	Saki-chan, Minase-san...
context: Milika-san is living in my yard.\She declared that she's going to become my third girlfriend.\She weathers the cold, the bugs, and the stench of her own sweat,\resolved to stay until I fall for her.\I have to do something in order to protect my two-timing life.\Saki-chan, Minase-san... response:	I'm sorry for worrying you.
context: Milika-san is living in my yard.\She declared that she's going to become my third girlfriend.\She weathers the cold, the bugs, and the stench of her own sweat,\resolved to stay until I fall for her.\I have to do something in order to protect my two-timing life.\Saki-chan, Minase-san...\I'm sorry for worrying you. response:	Hang in there.
context: Milika-san is living in my yard.\She declared that she's going to become my third girlfriend.\She weathers the cold, the bugs, and the stench of her own sweat,\resolved to stay until I fall for her.\I have to do something in order to protect my two-timing life.\Saki-chan, Minase-san...\I'm sorry for worrying you.\Hang in there. response:	I'll make sure Milika-san gives up!
context: She declared that she's going to become my third girlfriend.\She weathers the cold, the bugs, and the stench of her own sweat,\resolved to stay until I fall for her.\I have to do something in order to protect my two-timing life.\Saki-chan, Minase-san...\I'm sorry for worrying you.\Hang in there.\I'll make sure Milika-san gives up! response:	She's completely gotten into tent life.
context: She weathers the cold, the bugs, and the stench of her own sweat,\resolved to stay until I fall for her.\I have to do something in order to protect my two-timing life.\Saki-chan, Minase-san...\I'm sorry for worrying you.\Hang in there.\I'll make sure Milika-san gives up!\She's completely gotten into tent life. response:	M-Milika's got tenacity.
context: resolved to stay until I fall for her.\I have to do something in order to protect my two-timing life.\Saki-chan, Minase-san...\I'm sorry for worrying you.\Hang in there.\I'll make sure Milika-san gives up!\She's completely gotten into tent life.\M-Milika's got tenacity. response:	I have to do something about her.
context: I have to do something in order to protect my two-timing life.\Saki-chan, Minase-san...\I'm sorry for worrying you.\Hang in there.\I'll make sure Milika-san gives up!\She's completely gotten into tent life.\M-Milika's got tenacity.\I have to do something about her. response:	Oh, Naoya! Want some meat?
context: Saki-chan, Minase-san...\I'm sorry for worrying you.\Hang in there.\I'll make sure Milika-san gives up!\She's completely gotten into tent life.\M-Milika's got tenacity.\I have to do something about her.\Oh, Naoya! Want some meat? response:	Milika-san...
context: I'm sorry for worrying you.\Hang in there.\I'll make sure Milika-san gives up!\She's completely gotten into tent life.\M-Milika's got tenacity.\I have to do something about her.\Oh, Naoya! Want some meat?\Milika-san... response:	Please, go home.
