context: So, Sir Trillram. response:	My Landing Castle is about to take its meal,
context: So, Sir Trillram.\My Landing Castle is about to take its meal, response:	so this laser transmission will be terminated soon.
context: So, Sir Trillram.\My Landing Castle is about to take its meal,\so this laser transmission will be terminated soon. response:	Let's wrap this up quickly, shall we? What is the status of our rat extermination?
context: So, Sir Trillram.\My Landing Castle is about to take its meal,\so this laser transmission will be terminated soon.\Let's wrap this up quickly, shall we? What is the status of our rat extermination? response:	Are we awake?
context: So, Sir Trillram.\My Landing Castle is about to take its meal,\so this laser transmission will be terminated soon.\Let's wrap this up quickly, shall we? What is the status of our rat extermination?\Are we awake? response:	Oh, no you don't. You need to stay in bed.
context: So, Sir Trillram.\My Landing Castle is about to take its meal,\so this laser transmission will be terminated soon.\Let's wrap this up quickly, shall we? What is the status of our rat extermination?\Are we awake?\Oh, no you don't. You need to stay in bed. response:	Where am I?
context: So, Sir Trillram.\My Landing Castle is about to take its meal,\so this laser transmission will be terminated soon.\Let's wrap this up quickly, shall we? What is the status of our rat extermination?\Are we awake?\Oh, no you don't. You need to stay in bed.\Where am I? response:	The school. The enemy hasn't figured out we're here yet.
context: So, Sir Trillram.\My Landing Castle is about to take its meal,\so this laser transmission will be terminated soon.\Let's wrap this up quickly, shall we? What is the status of our rat extermination?\Are we awake?\Oh, no you don't. You need to stay in bed.\Where am I?\The school. The enemy hasn't figured out we're here yet. response:	We've managed to give them the slip for the time being.
context: My Landing Castle is about to take its meal,\so this laser transmission will be terminated soon.\Let's wrap this up quickly, shall we? What is the status of our rat extermination?\Are we awake?\Oh, no you don't. You need to stay in bed.\Where am I?\The school. The enemy hasn't figured out we're here yet.\We've managed to give them the slip for the time being. response:	What about the others?
context: so this laser transmission will be terminated soon.\Let's wrap this up quickly, shall we? What is the status of our rat extermination?\Are we awake?\Oh, no you don't. You need to stay in bed.\Where am I?\The school. The enemy hasn't figured out we're here yet.\We've managed to give them the slip for the time being.\What about the others? response:	Inaho and his friends, you mean?
context: Let's wrap this up quickly, shall we? What is the status of our rat extermination?\Are we awake?\Oh, no you don't. You need to stay in bed.\Where am I?\The school. The enemy hasn't figured out we're here yet.\We've managed to give them the slip for the time being.\What about the others?\Inaho and his friends, you mean? response:	They say they're going to fight.
context: Are we awake?\Oh, no you don't. You need to stay in bed.\Where am I?\The school. The enemy hasn't figured out we're here yet.\We've managed to give them the slip for the time being.\What about the others?\Inaho and his friends, you mean?\They say they're going to fight. response:	Using the equipment here.
context: Oh, no you don't. You need to stay in bed.\Where am I?\The school. The enemy hasn't figured out we're here yet.\We've managed to give them the slip for the time being.\What about the others?\Inaho and his friends, you mean?\They say they're going to fight.\Using the equipment here. response:	Against that Martian Kataphrakt.
context: Where am I?\The school. The enemy hasn't figured out we're here yet.\We've managed to give them the slip for the time being.\What about the others?\Inaho and his friends, you mean?\They say they're going to fight.\Using the equipment here.\Against that Martian Kataphrakt. response:	Hey! What's the deal with this?!
context: The school. The enemy hasn't figured out we're here yet.\We've managed to give them the slip for the time being.\What about the others?\Inaho and his friends, you mean?\They say they're going to fight.\Using the equipment here.\Against that Martian Kataphrakt.\Hey! What's the deal with this?! response:	Orders from HQ, sir.
context: We've managed to give them the slip for the time being.\What about the others?\Inaho and his friends, you mean?\They say they're going to fight.\Using the equipment here.\Against that Martian Kataphrakt.\Hey! What's the deal with this?!\Orders from HQ, sir. response:	As soon as the citizens are evacuated, we're to abandon this base and pull out.
context: What about the others?\Inaho and his friends, you mean?\They say they're going to fight.\Using the equipment here.\Against that Martian Kataphrakt.\Hey! What's the deal with this?!\Orders from HQ, sir.\As soon as the citizens are evacuated, we're to abandon this base and pull out. response:	We have someone still fighting out there!
context: Inaho and his friends, you mean?\They say they're going to fight.\Using the equipment here.\Against that Martian Kataphrakt.\Hey! What's the deal with this?!\Orders from HQ, sir.\As soon as the citizens are evacuated, we're to abandon this base and pull out.\We have someone still fighting out there! response:	You're the only one left.
context: They say they're going to fight.\Using the equipment here.\Against that Martian Kataphrakt.\Hey! What's the deal with this?!\Orders from HQ, sir.\As soon as the citizens are evacuated, we're to abandon this base and pull out.\We have someone still fighting out there!\You're the only one left. response:	Lt. Koichiro Marito.
context: Using the equipment here.\Against that Martian Kataphrakt.\Hey! What's the deal with this?!\Orders from HQ, sir.\As soon as the citizens are evacuated, we're to abandon this base and pull out.\We have someone still fighting out there!\You're the only one left.\Lt. Koichiro Marito. response:	And you are?
context: Against that Martian Kataphrakt.\Hey! What's the deal with this?!\Orders from HQ, sir.\As soon as the citizens are evacuated, we're to abandon this base and pull out.\We have someone still fighting out there!\You're the only one left.\Lt. Koichiro Marito.\And you are? response:	Darzana Magbaredge.
context: Hey! What's the deal with this?!\Orders from HQ, sir.\As soon as the citizens are evacuated, we're to abandon this base and pull out.\We have someone still fighting out there!\You're the only one left.\Lt. Koichiro Marito.\And you are?\Darzana Magbaredge. response:	Captain of the amphibious assault ship Wadatsumi, 4th Fleet Escort Force.
