context: The Black Lizard... response:	The Black Lizard...
context: The Black Lizard...\The Black Lizard... response:	The Armed Detective Agency
context: The Black Lizard...\The Black Lizard...\The Armed Detective Agency response:	was attacked by the Port Mafia's military squad, the Black Lizard.
context: The Black Lizard...\The Black Lizard...\The Armed Detective Agency\was attacked by the Port Mafia's military squad, the Black Lizard. response:	But Kunikida-san, Yosano-san, and Kenji-kun
context: The Black Lizard...\The Black Lizard...\The Armed Detective Agency\was attacked by the Port Mafia's military squad, the Black Lizard.\But Kunikida-san, Yosano-san, and Kenji-kun response:	crushed the entire team with ease.
context: The Black Lizard...\The Black Lizard...\The Armed Detective Agency\was attacked by the Port Mafia's military squad, the Black Lizard.\But Kunikida-san, Yosano-san, and Kenji-kun\crushed the entire team with ease. response:	Such is the might of the Armed Detective Agency.
context: The Black Lizard...\The Black Lizard...\The Armed Detective Agency\was attacked by the Port Mafia's military squad, the Black Lizard.\But Kunikida-san, Yosano-san, and Kenji-kun\crushed the entire team with ease.\Such is the might of the Armed Detective Agency. response:	Hey, hey, Harunocchi.
context: The Black Lizard...\The Black Lizard...\The Armed Detective Agency\was attacked by the Port Mafia's military squad, the Black Lizard.\But Kunikida-san, Yosano-san, and Kenji-kun\crushed the entire team with ease.\Such is the might of the Armed Detective Agency.\Hey, hey, Harunocchi. response:	Can you take the marble out of this bottle?
context: The Black Lizard...\The Armed Detective Agency\was attacked by the Port Mafia's military squad, the Black Lizard.\But Kunikida-san, Yosano-san, and Kenji-kun\crushed the entire team with ease.\Such is the might of the Armed Detective Agency.\Hey, hey, Harunocchi.\Can you take the marble out of this bottle? response:	Sure, right away.
context: The Armed Detective Agency\was attacked by the Port Mafia's military squad, the Black Lizard.\But Kunikida-san, Yosano-san, and Kenji-kun\crushed the entire team with ease.\Such is the might of the Armed Detective Agency.\Hey, hey, Harunocchi.\Can you take the marble out of this bottle?\Sure, right away. response:	A marble?
context: was attacked by the Port Mafia's military squad, the Black Lizard.\But Kunikida-san, Yosano-san, and Kenji-kun\crushed the entire team with ease.\Such is the might of the Armed Detective Agency.\Hey, hey, Harunocchi.\Can you take the marble out of this bottle?\Sure, right away.\A marble? response:	Is this what you wanted, Rampo-san?
context: But Kunikida-san, Yosano-san, and Kenji-kun\crushed the entire team with ease.\Such is the might of the Armed Detective Agency.\Hey, hey, Harunocchi.\Can you take the marble out of this bottle?\Sure, right away.\A marble?\Is this what you wanted, Rampo-san? response:	Yes.
context: crushed the entire team with ease.\Such is the might of the Armed Detective Agency.\Hey, hey, Harunocchi.\Can you take the marble out of this bottle?\Sure, right away.\A marble?\Is this what you wanted, Rampo-san?\Yes. response:	Marbles are nice, aren't they?
context: Such is the might of the Armed Detective Agency.\Hey, hey, Harunocchi.\Can you take the marble out of this bottle?\Sure, right away.\A marble?\Is this what you wanted, Rampo-san?\Yes.\Marbles are nice, aren't they? response:	Yes, marbles are nice.
context: Hey, hey, Harunocchi.\Can you take the marble out of this bottle?\Sure, right away.\A marble?\Is this what you wanted, Rampo-san?\Yes.\Marbles are nice, aren't they?\Yes, marbles are nice. response:	Um, isn't Rampo-san going to help?
context: Can you take the marble out of this bottle?\Sure, right away.\A marble?\Is this what you wanted, Rampo-san?\Yes.\Marbles are nice, aren't they?\Yes, marbles are nice.\Um, isn't Rampo-san going to help? response:	Kunikida-kun.
