context: Loss response:	You're reassigning me as an instructor?
context: Loss\You're reassigning me as an instructor? response:	That's right.
context: Loss\You're reassigning me as an instructor?\That's right. response:	You have two weeks to prepare.
context: Loss\You're reassigning me as an instructor?\That's right.\You have two weeks to prepare. response:	You will undergo special training
context: Loss\You're reassigning me as an instructor?\That's right.\You have two weeks to prepare.\You will undergo special training response:	before taking your post in Gurantseere Cosmopolitan Academy.
context: Loss\You're reassigning me as an instructor?\That's right.\You have two weeks to prepare.\You will undergo special training\before taking your post in Gurantseere Cosmopolitan Academy. response:	You were an exceptional pilot.
context: Loss\You're reassigning me as an instructor?\That's right.\You have two weeks to prepare.\You will undergo special training\before taking your post in Gurantseere Cosmopolitan Academy.\You were an exceptional pilot. response:	This is the optimum post for making the most of those skills.
context: Loss\You're reassigning me as an instructor?\That's right.\You have two weeks to prepare.\You will undergo special training\before taking your post in Gurantseere Cosmopolitan Academy.\You were an exceptional pilot.\This is the optimum post for making the most of those skills. response:	The MJP Project was founded in GC 35 to develop humans suited for space life.
context: You're reassigning me as an instructor?\That's right.\You have two weeks to prepare.\You will undergo special training\before taking your post in Gurantseere Cosmopolitan Academy.\You were an exceptional pilot.\This is the optimum post for making the most of those skills.\The MJP Project was founded in GC 35 to develop humans suited for space life. response:	With the Wulgaru invasion,
context: That's right.\You have two weeks to prepare.\You will undergo special training\before taking your post in Gurantseere Cosmopolitan Academy.\You were an exceptional pilot.\This is the optimum post for making the most of those skills.\The MJP Project was founded in GC 35 to develop humans suited for space life.\With the Wulgaru invasion, response:	it was decided that those over the age of 12 were to become pilots.
context: You have two weeks to prepare.\You will undergo special training\before taking your post in Gurantseere Cosmopolitan Academy.\You were an exceptional pilot.\This is the optimum post for making the most of those skills.\The MJP Project was founded in GC 35 to develop humans suited for space life.\With the Wulgaru invasion,\it was decided that those over the age of 12 were to become pilots. response:	They were transferred to Gurantseere Cosmopolitan Academy.
