context: Collecting visual data of Karen. response:	Accessing news director's computer.
context: Collecting visual data of Karen.\Accessing news director's computer. response:	A girl with a eye patch?
context: Collecting visual data of Karen.\Accessing news director's computer.\A girl with a eye patch? response:	I saw her. She was eating ramen here.
context: Collecting visual data of Karen.\Accessing news director's computer.\A girl with a eye patch?\I saw her. She was eating ramen here. response:	Occasionally talked on her phone.
context: Collecting visual data of Karen.\Accessing news director's computer.\A girl with a eye patch?\I saw her. She was eating ramen here.\Occasionally talked on her phone. response:	Just an ordinary young girl.
context: Collecting visual data of Karen.\Accessing news director's computer.\A girl with a eye patch?\I saw her. She was eating ramen here.\Occasionally talked on her phone.\Just an ordinary young girl. response:	Terrorist? That girl?
context: Collecting visual data of Karen.\Accessing news director's computer.\A girl with a eye patch?\I saw her. She was eating ramen here.\Occasionally talked on her phone.\Just an ordinary young girl.\Terrorist? That girl? response:	What did she do this time?
context: Collecting visual data of Karen.\Accessing news director's computer.\A girl with a eye patch?\I saw her. She was eating ramen here.\Occasionally talked on her phone.\Just an ordinary young girl.\Terrorist? That girl?\What did she do this time? response:	What?
context: Accessing news director's computer.\A girl with a eye patch?\I saw her. She was eating ramen here.\Occasionally talked on her phone.\Just an ordinary young girl.\Terrorist? That girl?\What did she do this time?\What? response:	Stop pestering me. I don't know anything.
context: A girl with a eye patch?\I saw her. She was eating ramen here.\Occasionally talked on her phone.\Just an ordinary young girl.\Terrorist? That girl?\What did she do this time?\What?\Stop pestering me. I don't know anything. response:	But here, look, I have this top quality Kobe beef.
context: I saw her. She was eating ramen here.\Occasionally talked on her phone.\Just an ordinary young girl.\Terrorist? That girl?\What did she do this time?\What?\Stop pestering me. I don't know anything.\But here, look, I have this top quality Kobe beef. response:	Sweet and tender in your mouth.
context: Occasionally talked on her phone.\Just an ordinary young girl.\Terrorist? That girl?\What did she do this time?\What?\Stop pestering me. I don't know anything.\But here, look, I have this top quality Kobe beef.\Sweet and tender in your mouth. response:	What do you think?
context: Just an ordinary young girl.\Terrorist? That girl?\What did she do this time?\What?\Stop pestering me. I don't know anything.\But here, look, I have this top quality Kobe beef.\Sweet and tender in your mouth.\What do you think? response:	No thanks!
context: Terrorist? That girl?\What did she do this time?\What?\Stop pestering me. I don't know anything.\But here, look, I have this top quality Kobe beef.\Sweet and tender in your mouth.\What do you think?\No thanks! response:	Gunfights happen all the time around here.
context: What did she do this time?\What?\Stop pestering me. I don't know anything.\But here, look, I have this top quality Kobe beef.\Sweet and tender in your mouth.\What do you think?\No thanks!\Gunfights happen all the time around here. response:	A woman who shot the machines?
context: What?\Stop pestering me. I don't know anything.\But here, look, I have this top quality Kobe beef.\Sweet and tender in your mouth.\What do you think?\No thanks!\Gunfights happen all the time around here.\A woman who shot the machines? response:	I saw her before. I forgot how she looked, though.
context: Stop pestering me. I don't know anything.\But here, look, I have this top quality Kobe beef.\Sweet and tender in your mouth.\What do you think?\No thanks!\Gunfights happen all the time around here.\A woman who shot the machines?\I saw her before. I forgot how she looked, though. response:	This? My wife's present for my birthday.
context: But here, look, I have this top quality Kobe beef.\Sweet and tender in your mouth.\What do you think?\No thanks!\Gunfights happen all the time around here.\A woman who shot the machines?\I saw her before. I forgot how she looked, though.\This? My wife's present for my birthday. response:	What? What did you say?
context: Sweet and tender in your mouth.\What do you think?\No thanks!\Gunfights happen all the time around here.\A woman who shot the machines?\I saw her before. I forgot how she looked, though.\This? My wife's present for my birthday.\What? What did you say? response:	I don't remember giving you this.
context: What do you think?\No thanks!\Gunfights happen all the time around here.\A woman who shot the machines?\I saw her before. I forgot how she looked, though.\This? My wife's present for my birthday.\What? What did you say?\I don't remember giving you this. response:	Oh, forget it. It's nothing.
context: No thanks!\Gunfights happen all the time around here.\A woman who shot the machines?\I saw her before. I forgot how she looked, though.\This? My wife's present for my birthday.\What? What did you say?\I don't remember giving you this.\Oh, forget it. It's nothing. response:	You took the store's money again, didn't you?
context: Gunfights happen all the time around here.\A woman who shot the machines?\I saw her before. I forgot how she looked, though.\This? My wife's present for my birthday.\What? What did you say?\I don't remember giving you this.\Oh, forget it. It's nothing.\You took the store's money again, didn't you? response:	Sorry.
context: A woman who shot the machines?\I saw her before. I forgot how she looked, though.\This? My wife's present for my birthday.\What? What did you say?\I don't remember giving you this.\Oh, forget it. It's nothing.\You took the store's money again, didn't you?\Sorry. response:	I always bring trouble.
context: I saw her before. I forgot how she looked, though.\This? My wife's present for my birthday.\What? What did you say?\I don't remember giving you this.\Oh, forget it. It's nothing.\You took the store's money again, didn't you?\Sorry.\I always bring trouble. response:	Bye.
context: This? My wife's present for my birthday.\What? What did you say?\I don't remember giving you this.\Oh, forget it. It's nothing.\You took the store's money again, didn't you?\Sorry.\I always bring trouble.\Bye. response:	No problem. Live long, you hear?
context: What? What did you say?\I don't remember giving you this.\Oh, forget it. It's nothing.\You took the store's money again, didn't you?\Sorry.\I always bring trouble.\Bye.\No problem. Live long, you hear? response:	Thanks for coming!
context: I don't remember giving you this.\Oh, forget it. It's nothing.\You took the store's money again, didn't you?\Sorry.\I always bring trouble.\Bye.\No problem. Live long, you hear?\Thanks for coming! response:	Get it here cheap!
context: Oh, forget it. It's nothing.\You took the store's money again, didn't you?\Sorry.\I always bring trouble.\Bye.\No problem. Live long, you hear?\Thanks for coming!\Get it here cheap! response:	It'd normally cost you 50,000 to 100,000,
context: You took the store's money again, didn't you?\Sorry.\I always bring trouble.\Bye.\No problem. Live long, you hear?\Thanks for coming!\Get it here cheap!\It'd normally cost you 50,000 to 100,000, response:	but I won't ask you to pay that much today!
context: Sorry.\I always bring trouble.\Bye.\No problem. Live long, you hear?\Thanks for coming!\Get it here cheap!\It'd normally cost you 50,000 to 100,000,\but I won't ask you to pay that much today! response:	Humans and machines are good friends here.
context: I always bring trouble.\Bye.\No problem. Live long, you hear?\Thanks for coming!\Get it here cheap!\It'd normally cost you 50,000 to 100,000,\but I won't ask you to pay that much today!\Humans and machines are good friends here. response:	We live in peace in this area. Peace is the best!
context: Bye.\No problem. Live long, you hear?\Thanks for coming!\Get it here cheap!\It'd normally cost you 50,000 to 100,000,\but I won't ask you to pay that much today!\Humans and machines are good friends here.\We live in peace in this area. Peace is the best! response:	That's why the prices are so good.
context: No problem. Live long, you hear?\Thanks for coming!\Get it here cheap!\It'd normally cost you 50,000 to 100,000,\but I won't ask you to pay that much today!\Humans and machines are good friends here.\We live in peace in this area. Peace is the best!\That's why the prices are so good. response:	Hey, quit filming!
context: Thanks for coming!\Get it here cheap!\It'd normally cost you 50,000 to 100,000,\but I won't ask you to pay that much today!\Humans and machines are good friends here.\We live in peace in this area. Peace is the best!\That's why the prices are so good.\Hey, quit filming! response:	I'd never seen anyone that fast and strong.
context: Get it here cheap!\It'd normally cost you 50,000 to 100,000,\but I won't ask you to pay that much today!\Humans and machines are good friends here.\We live in peace in this area. Peace is the best!\That's why the prices are so good.\Hey, quit filming!\I'd never seen anyone that fast and strong. response:	She's impossible for us machines to predict.
context: It'd normally cost you 50,000 to 100,000,\but I won't ask you to pay that much today!\Humans and machines are good friends here.\We live in peace in this area. Peace is the best!\That's why the prices are so good.\Hey, quit filming!\I'd never seen anyone that fast and strong.\She's impossible for us machines to predict. response:	Who the hell is that?
context: but I won't ask you to pay that much today!\Humans and machines are good friends here.\We live in peace in this area. Peace is the best!\That's why the prices are so good.\Hey, quit filming!\I'd never seen anyone that fast and strong.\She's impossible for us machines to predict.\Who the hell is that? response:	Who?
context: Humans and machines are good friends here.\We live in peace in this area. Peace is the best!\That's why the prices are so good.\Hey, quit filming!\I'd never seen anyone that fast and strong.\She's impossible for us machines to predict.\Who the hell is that?\Who? response:	Don't flatter me.
context: We live in peace in this area. Peace is the best!\That's why the prices are so good.\Hey, quit filming!\I'd never seen anyone that fast and strong.\She's impossible for us machines to predict.\Who the hell is that?\Who?\Don't flatter me. response:	You'll embarrass me.
context: That's why the prices are so good.\Hey, quit filming!\I'd never seen anyone that fast and strong.\She's impossible for us machines to predict.\Who the hell is that?\Who?\Don't flatter me.\You'll embarrass me. response:	Karen can manage them somehow.
