context: And now an update on the vicious assault that occurred yesterday response:	in front of Toyosu station.
context: And now an update on the vicious assault that occurred yesterday\in front of Toyosu station. response:	The suspect continues to deny involvement,
context: And now an update on the vicious assault that occurred yesterday\in front of Toyosu station.\The suspect continues to deny involvement, response:	saying she has no recollection of the incident.
context: And now an update on the vicious assault that occurred yesterday\in front of Toyosu station.\The suspect continues to deny involvement,\saying she has no recollection of the incident. response:	Suspects of the two assaults occurring near Tachikawa earlier this month
context: And now an update on the vicious assault that occurred yesterday\in front of Toyosu station.\The suspect continues to deny involvement,\saying she has no recollection of the incident.\Suspects of the two assaults occurring near Tachikawa earlier this month response:	Hey, Pai-Pai, all this...
context: And now an update on the vicious assault that occurred yesterday\in front of Toyosu station.\The suspect continues to deny involvement,\saying she has no recollection of the incident.\Suspects of the two assaults occurring near Tachikawa earlier this month\Hey, Pai-Pai, all this... response:	is by the bad Gatchaman, right?
context: And now an update on the vicious assault that occurred yesterday\in front of Toyosu station.\The suspect continues to deny involvement,\saying she has no recollection of the incident.\Suspects of the two assaults occurring near Tachikawa earlier this month\Hey, Pai-Pai, all this...\is by the bad Gatchaman, right? response:	have also denied involvement, citing similar reasons.
context: And now an update on the vicious assault that occurred yesterday\in front of Toyosu station.\The suspect continues to deny involvement,\saying she has no recollection of the incident.\Suspects of the two assaults occurring near Tachikawa earlier this month\Hey, Pai-Pai, all this...\is by the bad Gatchaman, right?\have also denied involvement, citing similar reasons. response:	We don't know that.
context: in front of Toyosu station.\The suspect continues to deny involvement,\saying she has no recollection of the incident.\Suspects of the two assaults occurring near Tachikawa earlier this month\Hey, Pai-Pai, all this...\is by the bad Gatchaman, right?\have also denied involvement, citing similar reasons.\We don't know that. response:	Criminal psychologists have speculated that
context: The suspect continues to deny involvement,\saying she has no recollection of the incident.\Suspects of the two assaults occurring near Tachikawa earlier this month\Hey, Pai-Pai, all this...\is by the bad Gatchaman, right?\have also denied involvement, citing similar reasons.\We don't know that.\Criminal psychologists have speculated that response:	Stop calling me Pai-Pai.
context: saying she has no recollection of the incident.\Suspects of the two assaults occurring near Tachikawa earlier this month\Hey, Pai-Pai, all this...\is by the bad Gatchaman, right?\have also denied involvement, citing similar reasons.\We don't know that.\Criminal psychologists have speculated that\Stop calling me Pai-Pai. response:	the series of incidents may have been triggered
context: Suspects of the two assaults occurring near Tachikawa earlier this month\Hey, Pai-Pai, all this...\is by the bad Gatchaman, right?\have also denied involvement, citing similar reasons.\We don't know that.\Criminal psychologists have speculated that\Stop calling me Pai-Pai.\the series of incidents may have been triggered response:	That's what it meant by It's all your fault.
context: Hey, Pai-Pai, all this...\is by the bad Gatchaman, right?\have also denied involvement, citing similar reasons.\We don't know that.\Criminal psychologists have speculated that\Stop calling me Pai-Pai.\the series of incidents may have been triggered\That's what it meant by It's all your fault. response:	by people's everyday stresses that subconsciously erupted...
context: is by the bad Gatchaman, right?\have also denied involvement, citing similar reasons.\We don't know that.\Criminal psychologists have speculated that\Stop calling me Pai-Pai.\the series of incidents may have been triggered\That's what it meant by It's all your fault.\by people's everyday stresses that subconsciously erupted... response:	Okay. Question!
context: have also denied involvement, citing similar reasons.\We don't know that.\Criminal psychologists have speculated that\Stop calling me Pai-Pai.\the series of incidents may have been triggered\That's what it meant by It's all your fault.\by people's everyday stresses that subconsciously erupted...\Okay. Question! response:	If this bad Gatchaman does
context: We don't know that.\Criminal psychologists have speculated that\Stop calling me Pai-Pai.\the series of incidents may have been triggered\That's what it meant by It's all your fault.\by people's everyday stresses that subconsciously erupted...\Okay. Question!\If this bad Gatchaman does response:	even worse stuff, what are we going to do?
context: Criminal psychologists have speculated that\Stop calling me Pai-Pai.\the series of incidents may have been triggered\That's what it meant by It's all your fault.\by people's everyday stresses that subconsciously erupted...\Okay. Question!\If this bad Gatchaman does\even worse stuff, what are we going to do? response:	Well, um...
context: Stop calling me Pai-Pai.\the series of incidents may have been triggered\That's what it meant by It's all your fault.\by people's everyday stresses that subconsciously erupted...\Okay. Question!\If this bad Gatchaman does\even worse stuff, what are we going to do?\Well, um... response:	Of course, we'd all deal with it together!
context: the series of incidents may have been triggered\That's what it meant by It's all your fault.\by people's everyday stresses that subconsciously erupted...\Okay. Question!\If this bad Gatchaman does\even worse stuff, what are we going to do?\Well, um...\Of course, we'd all deal with it together! response:	Really?
context: That's what it meant by It's all your fault.\by people's everyday stresses that subconsciously erupted...\Okay. Question!\If this bad Gatchaman does\even worse stuff, what are we going to do?\Well, um...\Of course, we'd all deal with it together!\Really? response:	Wouldn't Pai-Pai just run away when the time comes?
context: by people's everyday stresses that subconsciously erupted...\Okay. Question!\If this bad Gatchaman does\even worse stuff, what are we going to do?\Well, um...\Of course, we'd all deal with it together!\Really?\Wouldn't Pai-Pai just run away when the time comes? response:	O-Of course not!
context: Okay. Question!\If this bad Gatchaman does\even worse stuff, what are we going to do?\Well, um...\Of course, we'd all deal with it together!\Really?\Wouldn't Pai-Pai just run away when the time comes?\O-Of course not! response:	I'm your leader!
context: If this bad Gatchaman does\even worse stuff, what are we going to do?\Well, um...\Of course, we'd all deal with it together!\Really?\Wouldn't Pai-Pai just run away when the time comes?\O-Of course not!\I'm your leader! response:	We Gatchaman have a duty to protect this planet!
context: even worse stuff, what are we going to do?\Well, um...\Of course, we'd all deal with it together!\Really?\Wouldn't Pai-Pai just run away when the time comes?\O-Of course not!\I'm your leader!\We Gatchaman have a duty to protect this planet! response:	Anyway, stop calling me Pai-Pai!
context: Well, um...\Of course, we'd all deal with it together!\Really?\Wouldn't Pai-Pai just run away when the time comes?\O-Of course not!\I'm your leader!\We Gatchaman have a duty to protect this planet!\Anyway, stop calling me Pai-Pai! response:	Question!
context: Of course, we'd all deal with it together!\Really?\Wouldn't Pai-Pai just run away when the time comes?\O-Of course not!\I'm your leader!\We Gatchaman have a duty to protect this planet!\Anyway, stop calling me Pai-Pai!\Question! response:	Have Gatchaman ever fought together?
context: Really?\Wouldn't Pai-Pai just run away when the time comes?\O-Of course not!\I'm your leader!\We Gatchaman have a duty to protect this planet!\Anyway, stop calling me Pai-Pai!\Question!\Have Gatchaman ever fought together? response:	That has...
context: Wouldn't Pai-Pai just run away when the time comes?\O-Of course not!\I'm your leader!\We Gatchaman have a duty to protect this planet!\Anyway, stop calling me Pai-Pai!\Question!\Have Gatchaman ever fought together?\That has... response:	No!
context: O-Of course not!\I'm your leader!\We Gatchaman have a duty to protect this planet!\Anyway, stop calling me Pai-Pai!\Question!\Have Gatchaman ever fought together?\That has...\No! response:	Question!
context: I'm your leader!\We Gatchaman have a duty to protect this planet!\Anyway, stop calling me Pai-Pai!\Question!\Have Gatchaman ever fought together?\That has...\No!\Question! response:	You sure like questions.
context: We Gatchaman have a duty to protect this planet!\Anyway, stop calling me Pai-Pai!\Question!\Have Gatchaman ever fought together?\That has...\No!\Question!\You sure like questions. response:	Why do Gatchaman sneak around?
context: Anyway, stop calling me Pai-Pai!\Question!\Have Gatchaman ever fought together?\That has...\No!\Question!\You sure like questions.\Why do Gatchaman sneak around? response:	Shouldn't we act more like
context: Question!\Have Gatchaman ever fought together?\That has...\No!\Question!\You sure like questions.\Why do Gatchaman sneak around?\Shouldn't we act more like response:	the police or the self-defense force?
context: Have Gatchaman ever fought together?\That has...\No!\Question!\You sure like questions.\Why do Gatchaman sneak around?\Shouldn't we act more like\the police or the self-defense force? response:	What?
context: That has...\No!\Question!\You sure like questions.\Why do Gatchaman sneak around?\Shouldn't we act more like\the police or the self-defense force?\What? response:	Well...
context: No!\Question!\You sure like questions.\Why do Gatchaman sneak around?\Shouldn't we act more like\the police or the self-defense force?\What?\Well... response:	Maybe you have a point...
context: Question!\You sure like questions.\Why do Gatchaman sneak around?\Shouldn't we act more like\the police or the self-defense force?\What?\Well...\Maybe you have a point... response:	We can't.
context: You sure like questions.\Why do Gatchaman sneak around?\Shouldn't we act more like\the police or the self-defense force?\What?\Well...\Maybe you have a point...\We can't. response:	Why?
context: Why do Gatchaman sneak around?\Shouldn't we act more like\the police or the self-defense force?\What?\Well...\Maybe you have a point...\We can't.\Why? response:	Because... those are the rules.
context: Shouldn't we act more like\the police or the self-defense force?\What?\Well...\Maybe you have a point...\We can't.\Why?\Because... those are the rules. response:	What?! Who made those rules?
context: the police or the self-defense force?\What?\Well...\Maybe you have a point...\We can't.\Why?\Because... those are the rules.\What?! Who made those rules? response:	What do they mean, Senpai?
context: What?\Well...\Maybe you have a point...\We can't.\Why?\Because... those are the rules.\What?! Who made those rules?\What do they mean, Senpai? response:	What? Well...
context: Well...\Maybe you have a point...\We can't.\Why?\Because... those are the rules.\What?! Who made those rules?\What do they mean, Senpai?\What? Well... response:	If I could act more openly...
context: Maybe you have a point...\We can't.\Why?\Because... those are the rules.\What?! Who made those rules?\What do they mean, Senpai?\What? Well...\If I could act more openly... response:	Sugane!
context: We can't.\Why?\Because... those are the rules.\What?! Who made those rules?\What do they mean, Senpai?\What? Well...\If I could act more openly...\Sugane! response:	Uh, yes?
context: Why?\Because... those are the rules.\What?! Who made those rules?\What do they mean, Senpai?\What? Well...\If I could act more openly...\Sugane!\Uh, yes? response:	Newbie!
context: Because... those are the rules.\What?! Who made those rules?\What do they mean, Senpai?\What? Well...\If I could act more openly...\Sugane!\Uh, yes?\Newbie! response:	I'm Hajime!
context: What?! Who made those rules?\What do they mean, Senpai?\What? Well...\If I could act more openly...\Sugane!\Uh, yes?\Newbie!\I'm Hajime! response:	Listen, you two!
context: What do they mean, Senpai?\What? Well...\If I could act more openly...\Sugane!\Uh, yes?\Newbie!\I'm Hajime!\Listen, you two! response:	We Gatchaman have special powers normal humans do not have.
