context: The head may err, but never the blood. response:	I don't feel like working.
context: The head may err, but never the blood.\I don't feel like working. response:	Stop sounding like a broken trumpet first thing in the morning.
context: The head may err, but never the blood.\I don't feel like working.\Stop sounding like a broken trumpet first thing in the morning. response:	I don't even feel like holding a conversation right now, Kunikida-kun.
context: The head may err, but never the blood.\I don't feel like working.\Stop sounding like a broken trumpet first thing in the morning.\I don't even feel like holding a conversation right now, Kunikida-kun. response:	The town was saved from annihilation thanks to you and Atsushi.
context: The head may err, but never the blood.\I don't feel like working.\Stop sounding like a broken trumpet first thing in the morning.\I don't even feel like holding a conversation right now, Kunikida-kun.\The town was saved from annihilation thanks to you and Atsushi. response:	So why have you ended up like this the next day?
context: The head may err, but never the blood.\I don't feel like working.\Stop sounding like a broken trumpet first thing in the morning.\I don't even feel like holding a conversation right now, Kunikida-kun.\The town was saved from annihilation thanks to you and Atsushi.\So why have you ended up like this the next day? response:	The boss has me lined up for this new job...
context: The head may err, but never the blood.\I don't feel like working.\Stop sounding like a broken trumpet first thing in the morning.\I don't even feel like holding a conversation right now, Kunikida-kun.\The town was saved from annihilation thanks to you and Atsushi.\So why have you ended up like this the next day?\The boss has me lined up for this new job... response:	Is it what Atsushi and the boss were discussing yesterday?
context: The head may err, but never the blood.\I don't feel like working.\Stop sounding like a broken trumpet first thing in the morning.\I don't even feel like holding a conversation right now, Kunikida-kun.\The town was saved from annihilation thanks to you and Atsushi.\So why have you ended up like this the next day?\The boss has me lined up for this new job...\Is it what Atsushi and the boss were discussing yesterday? response:	It is.
context: I don't feel like working.\Stop sounding like a broken trumpet first thing in the morning.\I don't even feel like holding a conversation right now, Kunikida-kun.\The town was saved from annihilation thanks to you and Atsushi.\So why have you ended up like this the next day?\The boss has me lined up for this new job...\Is it what Atsushi and the boss were discussing yesterday?\It is. response:	Good morning.
context: Stop sounding like a broken trumpet first thing in the morning.\I don't even feel like holding a conversation right now, Kunikida-kun.\The town was saved from annihilation thanks to you and Atsushi.\So why have you ended up like this the next day?\The boss has me lined up for this new job...\Is it what Atsushi and the boss were discussing yesterday?\It is.\Good morning. response:	Dazai, are we making progress on our secret meeting with the Port Mafia?
context: I don't even feel like holding a conversation right now, Kunikida-kun.\The town was saved from annihilation thanks to you and Atsushi.\So why have you ended up like this the next day?\The boss has me lined up for this new job...\Is it what Atsushi and the boss were discussing yesterday?\It is.\Good morning.\Dazai, are we making progress on our secret meeting with the Port Mafia? response:	I've made arrangements, but...
context: The town was saved from annihilation thanks to you and Atsushi.\So why have you ended up like this the next day?\The boss has me lined up for this new job...\Is it what Atsushi and the boss were discussing yesterday?\It is.\Good morning.\Dazai, are we making progress on our secret meeting with the Port Mafia?\I've made arrangements, but... response:	Do you think the Port Mafia boss will be here?
