context: It's common knowledge that contractors act rationally response:	regardless of what kind of situation they're in.
context: It's common knowledge that contractors act rationally\regardless of what kind of situation they're in. response:	They are able to remain calm and collected while devising a sensible solution.
context: It's common knowledge that contractors act rationally\regardless of what kind of situation they're in.\They are able to remain calm and collected while devising a sensible solution. response:	Are you awake, kitty cat?
context: It's common knowledge that contractors act rationally\regardless of what kind of situation they're in.\They are able to remain calm and collected while devising a sensible solution.\Are you awake, kitty cat? response:	Is it because they know no fear?
context: It's common knowledge that contractors act rationally\regardless of what kind of situation they're in.\They are able to remain calm and collected while devising a sensible solution.\Are you awake, kitty cat?\Is it because they know no fear? response:	No, contractors can get scared shitless, just like anyone else.
context: It's common knowledge that contractors act rationally\regardless of what kind of situation they're in.\They are able to remain calm and collected while devising a sensible solution.\Are you awake, kitty cat?\Is it because they know no fear?\No, contractors can get scared shitless, just like anyone else. response:	The only difference is that they don't act on their emotions.
context: It's common knowledge that contractors act rationally\regardless of what kind of situation they're in.\They are able to remain calm and collected while devising a sensible solution.\Are you awake, kitty cat?\Is it because they know no fear?\No, contractors can get scared shitless, just like anyone else.\The only difference is that they don't act on their emotions. response:	Even in a situation where they've been taken to the enemy's hideout...
context: It's common knowledge that contractors act rationally\regardless of what kind of situation they're in.\They are able to remain calm and collected while devising a sensible solution.\Are you awake, kitty cat?\Is it because they know no fear?\No, contractors can get scared shitless, just like anyone else.\The only difference is that they don't act on their emotions.\Even in a situation where they've been taken to the enemy's hideout... response:	Where do you think you're going, kitty cat?
context: regardless of what kind of situation they're in.\They are able to remain calm and collected while devising a sensible solution.\Are you awake, kitty cat?\Is it because they know no fear?\No, contractors can get scared shitless, just like anyone else.\The only difference is that they don't act on their emotions.\Even in a situation where they've been taken to the enemy's hideout...\Where do you think you're going, kitty cat? response:	I'm a contractor and a cat, for one reason or another.
context: They are able to remain calm and collected while devising a sensible solution.\Are you awake, kitty cat?\Is it because they know no fear?\No, contractors can get scared shitless, just like anyone else.\The only difference is that they don't act on their emotions.\Even in a situation where they've been taken to the enemy's hideout...\Where do you think you're going, kitty cat?\I'm a contractor and a cat, for one reason or another. response:	However, I can still make a rational assessment of my situation.
context: Are you awake, kitty cat?\Is it because they know no fear?\No, contractors can get scared shitless, just like anyone else.\The only difference is that they don't act on their emotions.\Even in a situation where they've been taken to the enemy's hideout...\Where do you think you're going, kitty cat?\I'm a contractor and a cat, for one reason or another.\However, I can still make a rational assessment of my situation. response:	I'm at the mercy of the enemy.
