context: He said he found a master he could serve. response:	That's why he was leaving the village.
context: He said he found a master he could serve.\That's why he was leaving the village. response:	He was my only friend.
context: He said he found a master he could serve.\That's why he was leaving the village.\He was my only friend. response:	He was strong.
context: He said he found a master he could serve.\That's why he was leaving the village.\He was my only friend.\He was strong. response:	He had the strength I tried so desperately to achieve.
context: He said he found a master he could serve.\That's why he was leaving the village.\He was my only friend.\He was strong.\He had the strength I tried so desperately to achieve. response:	But...
context: He said he found a master he could serve.\That's why he was leaving the village.\He was my only friend.\He was strong.\He had the strength I tried so desperately to achieve.\But... response:	There goes another.
context: He said he found a master he could serve.\That's why he was leaving the village.\He was my only friend.\He was strong.\He had the strength I tried so desperately to achieve.\But...\There goes another. response:	Come on.
context: He said he found a master he could serve.\That's why he was leaving the village.\He was my only friend.\He was strong.\He had the strength I tried so desperately to achieve.\But...\There goes another.\Come on. response:	This is all ninja are.
context: That's why he was leaving the village.\He was my only friend.\He was strong.\He had the strength I tried so desperately to achieve.\But...\There goes another.\Come on.\This is all ninja are. response:	We're used as tools before we're eventually thrown away.
context: He was my only friend.\He was strong.\He had the strength I tried so desperately to achieve.\But...\There goes another.\Come on.\This is all ninja are.\We're used as tools before we're eventually thrown away. response:	If that's the case...
context: He was strong.\He had the strength I tried so desperately to achieve.\But...\There goes another.\Come on.\This is all ninja are.\We're used as tools before we're eventually thrown away.\If that's the case... response:	I will kill so I can live.
context: He had the strength I tried so desperately to achieve.\But...\There goes another.\Come on.\This is all ninja are.\We're used as tools before we're eventually thrown away.\If that's the case...\I will kill so I can live. response:	I won't expect anything from anyone.
context: But...\There goes another.\Come on.\This is all ninja are.\We're used as tools before we're eventually thrown away.\If that's the case...\I will kill so I can live.\I won't expect anything from anyone. response:	The Heart of the Dragon
context: There goes another.\Come on.\This is all ninja are.\We're used as tools before we're eventually thrown away.\If that's the case...\I will kill so I can live.\I won't expect anything from anyone.\The Heart of the Dragon response:	You're awake, Saizo?
context: Come on.\This is all ninja are.\We're used as tools before we're eventually thrown away.\If that's the case...\I will kill so I can live.\I won't expect anything from anyone.\The Heart of the Dragon\You're awake, Saizo? response:	I just made you some medicine.
context: This is all ninja are.\We're used as tools before we're eventually thrown away.\If that's the case...\I will kill so I can live.\I won't expect anything from anyone.\The Heart of the Dragon\You're awake, Saizo?\I just made you some medicine. response:	Drink this.
context: We're used as tools before we're eventually thrown away.\If that's the case...\I will kill so I can live.\I won't expect anything from anyone.\The Heart of the Dragon\You're awake, Saizo?\I just made you some medicine.\Drink this. response:	What's wrong, Saizo?
context: If that's the case...\I will kill so I can live.\I won't expect anything from anyone.\The Heart of the Dragon\You're awake, Saizo?\I just made you some medicine.\Drink this.\What's wrong, Saizo? response:	I'm done with this.
context: I will kill so I can live.\I won't expect anything from anyone.\The Heart of the Dragon\You're awake, Saizo?\I just made you some medicine.\Drink this.\What's wrong, Saizo?\I'm done with this. response:	I've had enough.
context: I won't expect anything from anyone.\The Heart of the Dragon\You're awake, Saizo?\I just made you some medicine.\Drink this.\What's wrong, Saizo?\I'm done with this.\I've had enough. response:	What did you say? Are you crazy?
context: The Heart of the Dragon\You're awake, Saizo?\I just made you some medicine.\Drink this.\What's wrong, Saizo?\I'm done with this.\I've had enough.\What did you say? Are you crazy? response:	This isn't worth it.
context: You're awake, Saizo?\I just made you some medicine.\Drink this.\What's wrong, Saizo?\I'm done with this.\I've had enough.\What did you say? Are you crazy?\This isn't worth it. response:	Besides, I've got no obligation to finish the job.
context: I just made you some medicine.\Drink this.\What's wrong, Saizo?\I'm done with this.\I've had enough.\What did you say? Are you crazy?\This isn't worth it.\Besides, I've got no obligation to finish the job. response:	Then fight to the death with me!
context: Drink this.\What's wrong, Saizo?\I'm done with this.\I've had enough.\What did you say? Are you crazy?\This isn't worth it.\Besides, I've got no obligation to finish the job.\Then fight to the death with me! response:	It seems I overestimated you.
context: What's wrong, Saizo?\I'm done with this.\I've had enough.\What did you say? Are you crazy?\This isn't worth it.\Besides, I've got no obligation to finish the job.\Then fight to the death with me!\It seems I overestimated you. response:	Once you accept a job,
context: I'm done with this.\I've had enough.\What did you say? Are you crazy?\This isn't worth it.\Besides, I've got no obligation to finish the job.\Then fight to the death with me!\It seems I overestimated you.\Once you accept a job, response:	whether your mission ends in success or failure,
context: I've had enough.\What did you say? Are you crazy?\This isn't worth it.\Besides, I've got no obligation to finish the job.\Then fight to the death with me!\It seems I overestimated you.\Once you accept a job,\whether your mission ends in success or failure, response:	your last and most important task becomes reporting the result.
context: What did you say? Are you crazy?\This isn't worth it.\Besides, I've got no obligation to finish the job.\Then fight to the death with me!\It seems I overestimated you.\Once you accept a job,\whether your mission ends in success or failure,\your last and most important task becomes reporting the result. response:	Is it really so hard for you to admit you lost Isanami and screwed up the job?
context: This isn't worth it.\Besides, I've got no obligation to finish the job.\Then fight to the death with me!\It seems I overestimated you.\Once you accept a job,\whether your mission ends in success or failure,\your last and most important task becomes reporting the result.\Is it really so hard for you to admit you lost Isanami and screwed up the job? response:	Hey, watch your mouth, old man.
context: Besides, I've got no obligation to finish the job.\Then fight to the death with me!\It seems I overestimated you.\Once you accept a job,\whether your mission ends in success or failure,\your last and most important task becomes reporting the result.\Is it really so hard for you to admit you lost Isanami and screwed up the job?\Hey, watch your mouth, old man. response:	If you want to run, run.
context: Then fight to the death with me!\It seems I overestimated you.\Once you accept a job,\whether your mission ends in success or failure,\your last and most important task becomes reporting the result.\Is it really so hard for you to admit you lost Isanami and screwed up the job?\Hey, watch your mouth, old man.\If you want to run, run. response:	I will make the report.
context: It seems I overestimated you.\Once you accept a job,\whether your mission ends in success or failure,\your last and most important task becomes reporting the result.\Is it really so hard for you to admit you lost Isanami and screwed up the job?\Hey, watch your mouth, old man.\If you want to run, run.\I will make the report. response:	Nice weather we're having.
