context: I can't believe you're a spy. response:	There was no other way to get across the Wall.
context: I can't believe you're a spy.\There was no other way to get across the Wall. response:	Of course.
context: I can't believe you're a spy.\There was no other way to get across the Wall.\Of course. response:	But those clothes really suit you.
context: I can't believe you're a spy.\There was no other way to get across the Wall.\Of course.\But those clothes really suit you. response:	Is that a compliment?
context: I can't believe you're a spy.\There was no other way to get across the Wall.\Of course.\But those clothes really suit you.\Is that a compliment? response:	Or...
context: I can't believe you're a spy.\There was no other way to get across the Wall.\Of course.\But those clothes really suit you.\Is that a compliment?\Or... response:	It's both.
context: I can't believe you're a spy.\There was no other way to get across the Wall.\Of course.\But those clothes really suit you.\Is that a compliment?\Or...\It's both. response:	Anyway, now we've fooled Control.
context: I can't believe you're a spy.\There was no other way to get across the Wall.\Of course.\But those clothes really suit you.\Is that a compliment?\Or...\It's both.\Anyway, now we've fooled Control. response:	Let's run away together.
context: There was no other way to get across the Wall.\Of course.\But those clothes really suit you.\Is that a compliment?\Or...\It's both.\Anyway, now we've fooled Control.\Let's run away together. response:	I have the route planned out.
context: Of course.\But those clothes really suit you.\Is that a compliment?\Or...\It's both.\Anyway, now we've fooled Control.\Let's run away together.\I have the route planned out. response:	There's a white house waiting for us in Casablanca. We can...
context: But those clothes really suit you.\Is that a compliment?\Or...\It's both.\Anyway, now we've fooled Control.\Let's run away together.\I have the route planned out.\There's a white house waiting for us in Casablanca. We can... response:	I can't.
context: Is that a compliment?\Or...\It's both.\Anyway, now we've fooled Control.\Let's run away together.\I have the route planned out.\There's a white house waiting for us in Casablanca. We can...\I can't. response:	I told you.
context: Or...\It's both.\Anyway, now we've fooled Control.\Let's run away together.\I have the route planned out.\There's a white house waiting for us in Casablanca. We can...\I can't.\I told you. response:	I need your help
context: It's both.\Anyway, now we've fooled Control.\Let's run away together.\I have the route planned out.\There's a white house waiting for us in Casablanca. We can...\I can't.\I told you.\I need your help response:	to make me Queen.
context: Anyway, now we've fooled Control.\Let's run away together.\I have the route planned out.\There's a white house waiting for us in Casablanca. We can...\I can't.\I told you.\I need your help\to make me Queen. response:	You don't mean...
context: Let's run away together.\I have the route planned out.\There's a white house waiting for us in Casablanca. We can...\I can't.\I told you.\I need your help\to make me Queen.\You don't mean... response:	That old promise?
context: I have the route planned out.\There's a white house waiting for us in Casablanca. We can...\I can't.\I told you.\I need your help\to make me Queen.\You don't mean...\That old promise? response:	With the Wall gone, we can be together and it won't matter who knows it.
context: There's a white house waiting for us in Casablanca. We can...\I can't.\I told you.\I need your help\to make me Queen.\You don't mean...\That old promise?\With the Wall gone, we can be together and it won't matter who knows it. response:	That's true, but...
context: I can't.\I told you.\I need your help\to make me Queen.\You don't mean...\That old promise?\With the Wall gone, we can be together and it won't matter who knows it.\That's true, but... response:	But...
context: I told you.\I need your help\to make me Queen.\You don't mean...\That old promise?\With the Wall gone, we can be together and it won't matter who knows it.\That's true, but...\But... response:	I understand.
context: I need your help\to make me Queen.\You don't mean...\That old promise?\With the Wall gone, we can be together and it won't matter who knows it.\That's true, but...\But...\I understand. response:	I know it won't be easy.
context: to make me Queen.\You don't mean...\That old promise?\With the Wall gone, we can be together and it won't matter who knows it.\That's true, but...\But...\I understand.\I know it won't be easy. response:	No, you don't understand!
context: You don't mean...\That old promise?\With the Wall gone, we can be together and it won't matter who knows it.\That's true, but...\But...\I understand.\I know it won't be easy.\No, you don't understand! response:	Morgan MP was killed on the way to hospital.
context: That old promise?\With the Wall gone, we can be together and it won't matter who knows it.\That's true, but...\But...\I understand.\I know it won't be easy.\No, you don't understand!\Morgan MP was killed on the way to hospital. response:	Why?
context: With the Wall gone, we can be together and it won't matter who knows it.\That's true, but...\But...\I understand.\I know it won't be easy.\No, you don't understand!\Morgan MP was killed on the way to hospital.\Why? response:	The people at the top were afraid he would talk.
context: That's true, but...\But...\I understand.\I know it won't be easy.\No, you don't understand!\Morgan MP was killed on the way to hospital.\Why?\The people at the top were afraid he would talk. response:	So they silenced him.
context: But...\I understand.\I know it won't be easy.\No, you don't understand!\Morgan MP was killed on the way to hospital.\Why?\The people at the top were afraid he would talk.\So they silenced him. response:	That's the world I live in.
context: I understand.\I know it won't be easy.\No, you don't understand!\Morgan MP was killed on the way to hospital.\Why?\The people at the top were afraid he would talk.\So they silenced him.\That's the world I live in. response:	That's why I...
context: I know it won't be easy.\No, you don't understand!\Morgan MP was killed on the way to hospital.\Why?\The people at the top were afraid he would talk.\So they silenced him.\That's the world I live in.\That's why I... response:	Even so...
context: No, you don't understand!\Morgan MP was killed on the way to hospital.\Why?\The people at the top were afraid he would talk.\So they silenced him.\That's the world I live in.\That's why I...\Even so... response:	Even so.
context: Morgan MP was killed on the way to hospital.\Why?\The people at the top were afraid he would talk.\So they silenced him.\That's the world I live in.\That's why I...\Even so...\Even so. response:	I want to be Queen
context: Why?\The people at the top were afraid he would talk.\So they silenced him.\That's the world I live in.\That's why I...\Even so...\Even so.\I want to be Queen response:	and eliminate the things that come between us.
context: The people at the top were afraid he would talk.\So they silenced him.\That's the world I live in.\That's why I...\Even so...\Even so.\I want to be Queen\and eliminate the things that come between us. response:	All right. I'll do it.
context: So they silenced him.\That's the world I live in.\That's why I...\Even so...\Even so.\I want to be Queen\and eliminate the things that come between us.\All right. I'll do it. response:	Ange!
context: That's the world I live in.\That's why I...\Even so...\Even so.\I want to be Queen\and eliminate the things that come between us.\All right. I'll do it.\Ange! response:	I will deceive them all.
context: That's why I...\Even so...\Even so.\I want to be Queen\and eliminate the things that come between us.\All right. I'll do it.\Ange!\I will deceive them all. response:	I'll deceive you,
context: Even so...\Even so.\I want to be Queen\and eliminate the things that come between us.\All right. I'll do it.\Ange!\I will deceive them all.\I'll deceive you, response:	the world...
context: Even so.\I want to be Queen\and eliminate the things that come between us.\All right. I'll do it.\Ange!\I will deceive them all.\I'll deceive you,\the world... response:	and...
context: I want to be Queen\and eliminate the things that come between us.\All right. I'll do it.\Ange!\I will deceive them all.\I'll deceive you,\the world...\and... response:	even myself.
context: and eliminate the things that come between us.\All right. I'll do it.\Ange!\I will deceive them all.\I'll deceive you,\the world...\and...\even myself. response:	It is the turn of the 20th century.
context: All right. I'll do it.\Ange!\I will deceive them all.\I'll deceive you,\the world...\and...\even myself.\It is the turn of the 20th century. response:	The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,
context: Ange!\I will deceive them all.\I'll deceive you,\the world...\and...\even myself.\It is the turn of the 20th century.\The Kingdom of Albion's new royal air force, commonly known as the Air Fleet, response:	has created a dramatic shift in the balance of global power.
context: I will deceive them all.\I'll deceive you,\the world...\and...\even myself.\It is the turn of the 20th century.\The Kingdom of Albion's new royal air force, commonly known as the Air Fleet,\has created a dramatic shift in the balance of global power. response:	With its monopoly on Cavorite, and the Air Fleet at its command,
