context: I guess I'm hungry' response:	I'll have to apologize to Kero-chan for eating without him.
context: I guess I'm hungry'\I'll have to apologize to Kero-chan for eating without him. response:	Time to eat!
context: I guess I'm hungry'\I'll have to apologize to Kero-chan for eating without him.\Time to eat! response:	Yum! It's good!
context: I guess I'm hungry'\I'll have to apologize to Kero-chan for eating without him.\Time to eat!\Yum! It's good! response:	I know'
context: I guess I'm hungry'\I'll have to apologize to Kero-chan for eating without him.\Time to eat!\Yum! It's good!\I know' response:	I know all about it. The truth.
context: I guess I'm hungry'\I'll have to apologize to Kero-chan for eating without him.\Time to eat!\Yum! It's good!\I know'\I know all about it. The truth. response:	Onii-chan's voice?
context: I guess I'm hungry'\I'll have to apologize to Kero-chan for eating without him.\Time to eat!\Yum! It's good!\I know'\I know all about it. The truth.\Onii-chan's voice? response:	So, there's no more need to hide it.
context: I guess I'm hungry'\I'll have to apologize to Kero-chan for eating without him.\Time to eat!\Yum! It's good!\I know'\I know all about it. The truth.\Onii-chan's voice?\So, there's no more need to hide it. response:	Onii-chan! And Yukito-san'
context: I'll have to apologize to Kero-chan for eating without him.\Time to eat!\Yum! It's good!\I know'\I know all about it. The truth.\Onii-chan's voice?\So, there's no more need to hide it.\Onii-chan! And Yukito-san' response:	What you really are'
context: Time to eat!\Yum! It's good!\I know'\I know all about it. The truth.\Onii-chan's voice?\So, there's no more need to hide it.\Onii-chan! And Yukito-san'\What you really are' response:	Onii-chan! You shouldn't be mean to Yukito-san!
context: Yum! It's good!\I know'\I know all about it. The truth.\Onii-chan's voice?\So, there's no more need to hide it.\Onii-chan! And Yukito-san'\What you really are'\Onii-chan! You shouldn't be mean to Yukito-san! response:	' Sakura?!' Sakura-chan?
context: I know'\I know all about it. The truth.\Onii-chan's voice?\So, there's no more need to hide it.\Onii-chan! And Yukito-san'\What you really are'\Onii-chan! You shouldn't be mean to Yukito-san!\' Sakura?!' Sakura-chan? response:	CUT!!
context: I know all about it. The truth.\Onii-chan's voice?\So, there's no more need to hide it.\Onii-chan! And Yukito-san'\What you really are'\Onii-chan! You shouldn't be mean to Yukito-san!\' Sakura?!' Sakura-chan?\CUT!! response:	What's going on?
context: Onii-chan's voice?\So, there's no more need to hide it.\Onii-chan! And Yukito-san'\What you really are'\Onii-chan! You shouldn't be mean to Yukito-san!\' Sakura?!' Sakura-chan?\CUT!!\What's going on? response:	We're making a movie.
context: So, there's no more need to hide it.\Onii-chan! And Yukito-san'\What you really are'\Onii-chan! You shouldn't be mean to Yukito-san!\' Sakura?!' Sakura-chan?\CUT!!\What's going on?\We're making a movie. response:	A movie'
context: Onii-chan! And Yukito-san'\What you really are'\Onii-chan! You shouldn't be mean to Yukito-san!\' Sakura?!' Sakura-chan?\CUT!!\What's going on?\We're making a movie.\A movie' response:	It's for the cultural festival at our school.
context: What you really are'\Onii-chan! You shouldn't be mean to Yukito-san!\' Sakura?!' Sakura-chan?\CUT!!\What's going on?\We're making a movie.\A movie'\It's for the cultural festival at our school. response:	Oh! I didn't know'
context: Onii-chan! You shouldn't be mean to Yukito-san!\' Sakura?!' Sakura-chan?\CUT!!\What's going on?\We're making a movie.\A movie'\It's for the cultural festival at our school.\Oh! I didn't know' response:	Well, let's try that scene again
context: ' Sakura?!' Sakura-chan?\CUT!!\What's going on?\We're making a movie.\A movie'\It's for the cultural festival at our school.\Oh! I didn't know'\Well, let's try that scene again response:	I'm sorry I got in the way.
context: CUT!!\What's going on?\We're making a movie.\A movie'\It's for the cultural festival at our school.\Oh! I didn't know'\Well, let's try that scene again\I'm sorry I got in the way. response:	I've got an idea
context: What's going on?\We're making a movie.\A movie'\It's for the cultural festival at our school.\Oh! I didn't know'\Well, let's try that scene again\I'm sorry I got in the way.\I've got an idea response:	Hey, Sakura-chan
context: We're making a movie.\A movie'\It's for the cultural festival at our school.\Oh! I didn't know'\Well, let's try that scene again\I'm sorry I got in the way.\I've got an idea\Hey, Sakura-chan response:	Yes?
context: A movie'\It's for the cultural festival at our school.\Oh! I didn't know'\Well, let's try that scene again\I'm sorry I got in the way.\I've got an idea\Hey, Sakura-chan\Yes? response:	Would you like to be in a movie
context: It's for the cultural festival at our school.\Oh! I didn't know'\Well, let's try that scene again\I'm sorry I got in the way.\I've got an idea\Hey, Sakura-chan\Yes?\Would you like to be in a movie response:	Y-yes!
context: Oh! I didn't know'\Well, let's try that scene again\I'm sorry I got in the way.\I've got an idea\Hey, Sakura-chan\Yes?\Would you like to be in a movie\Y-yes! response:	You're going to be in a movie?!!!
context: Well, let's try that scene again\I'm sorry I got in the way.\I've got an idea\Hey, Sakura-chan\Yes?\Would you like to be in a movie\Y-yes!\You're going to be in a movie?!!! response:	Onii-chan's class is doing it for their cultural festival.
context: I'm sorry I got in the way.\I've got an idea\Hey, Sakura-chan\Yes?\Would you like to be in a movie\Y-yes!\You're going to be in a movie?!!!\Onii-chan's class is doing it for their cultural festival. response:	Sakura-chan is finally making her film debut!
context: I've got an idea\Hey, Sakura-chan\Yes?\Would you like to be in a movie\Y-yes!\You're going to be in a movie?!!!\Onii-chan's class is doing it for their cultural festival.\Sakura-chan is finally making her film debut! response:	It's really only a small part'
context: Hey, Sakura-chan\Yes?\Would you like to be in a movie\Y-yes!\You're going to be in a movie?!!!\Onii-chan's class is doing it for their cultural festival.\Sakura-chan is finally making her film debut!\It's really only a small part' response:	I'm sure I'll be awful, but Akizuki-san, from Onii-chan's class, insisted.
context: Yes?\Would you like to be in a movie\Y-yes!\You're going to be in a movie?!!!\Onii-chan's class is doing it for their cultural festival.\Sakura-chan is finally making her film debut!\It's really only a small part'\I'm sure I'll be awful, but Akizuki-san, from Onii-chan's class, insisted. response:	I'm positive you'll do fine!
context: Would you like to be in a movie\Y-yes!\You're going to be in a movie?!!!\Onii-chan's class is doing it for their cultural festival.\Sakura-chan is finally making her film debut!\It's really only a small part'\I'm sure I'll be awful, but Akizuki-san, from Onii-chan's class, insisted.\I'm positive you'll do fine! response:	So, what's your costume like?
context: Y-yes!\You're going to be in a movie?!!!\Onii-chan's class is doing it for their cultural festival.\Sakura-chan is finally making her film debut!\It's really only a small part'\I'm sure I'll be awful, but Akizuki-san, from Onii-chan's class, insisted.\I'm positive you'll do fine!\So, what's your costume like? response:	They haven't decided, yet'
context: You're going to be in a movie?!!!\Onii-chan's class is doing it for their cultural festival.\Sakura-chan is finally making her film debut!\It's really only a small part'\I'm sure I'll be awful, but Akizuki-san, from Onii-chan's class, insisted.\I'm positive you'll do fine!\So, what's your costume like?\They haven't decided, yet' response:	I see'
context: Onii-chan's class is doing it for their cultural festival.\Sakura-chan is finally making her film debut!\It's really only a small part'\I'm sure I'll be awful, but Akizuki-san, from Onii-chan's class, insisted.\I'm positive you'll do fine!\So, what's your costume like?\They haven't decided, yet'\I see' response:	Do you think they'd let me help?
context: Sakura-chan is finally making her film debut!\It's really only a small part'\I'm sure I'll be awful, but Akizuki-san, from Onii-chan's class, insisted.\I'm positive you'll do fine!\So, what's your costume like?\They haven't decided, yet'\I see'\Do you think they'd let me help? response:	I'll ask them.
context: It's really only a small part'\I'm sure I'll be awful, but Akizuki-san, from Onii-chan's class, insisted.\I'm positive you'll do fine!\So, what's your costume like?\They haven't decided, yet'\I see'\Do you think they'd let me help?\I'll ask them. response:	Thank you!
context: I'm sure I'll be awful, but Akizuki-san, from Onii-chan's class, insisted.\I'm positive you'll do fine!\So, what's your costume like?\They haven't decided, yet'\I see'\Do you think they'd let me help?\I'll ask them.\Thank you! response:	So, what's the story like?
context: I'm positive you'll do fine!\So, what's your costume like?\They haven't decided, yet'\I see'\Do you think they'd let me help?\I'll ask them.\Thank you!\So, what's the story like? response:	Wait a second
context: So, what's your costume like?\They haven't decided, yet'\I see'\Do you think they'd let me help?\I'll ask them.\Thank you!\So, what's the story like?\Wait a second response:	I have the script right here'
context: They haven't decided, yet'\I see'\Do you think they'd let me help?\I'll ask them.\Thank you!\So, what's the story like?\Wait a second\I have the script right here' response:	Meitan te Saigo no Jiken (The Famous Detective's Last Case)
context: I see'\Do you think they'd let me help?\I'll ask them.\Thank you!\So, what's the story like?\Wait a second\I have the script right here'\Meitan te Saigo no Jiken (The Famous Detective's Last Case) response:	Is it a mystery?
context: Do you think they'd let me help?\I'll ask them.\Thank you!\So, what's the story like?\Wait a second\I have the script right here'\Meitan te Saigo no Jiken (The Famous Detective's Last Case)\Is it a mystery? response:	Yes. It's set in the past,
context: I'll ask them.\Thank you!\So, what's the story like?\Wait a second\I have the script right here'\Meitan te Saigo no Jiken (The Famous Detective's Last Case)\Is it a mystery?\Yes. It's set in the past, response:	around the Taisho era.
context: Thank you!\So, what's the story like?\Wait a second\I have the script right here'\Meitan te Saigo no Jiken (The Famous Detective's Last Case)\Is it a mystery?\Yes. It's set in the past,\around the Taisho era. response:	Onii-chan is the hero, Yukito-san is the villain,
context: So, what's the story like?\Wait a second\I have the script right here'\Meitan te Saigo no Jiken (The Famous Detective's Last Case)\Is it a mystery?\Yes. It's set in the past,\around the Taisho era.\Onii-chan is the hero, Yukito-san is the villain, response:	and I'm Yukito-san's little sister.
context: Wait a second\I have the script right here'\Meitan te Saigo no Jiken (The Famous Detective's Last Case)\Is it a mystery?\Yes. It's set in the past,\around the Taisho era.\Onii-chan is the hero, Yukito-san is the villain,\and I'm Yukito-san's little sister. response:	But, if it's set in the Taisho era,
context: I have the script right here'\Meitan te Saigo no Jiken (The Famous Detective's Last Case)\Is it a mystery?\Yes. It's set in the past,\around the Taisho era.\Onii-chan is the hero, Yukito-san is the villain,\and I'm Yukito-san's little sister.\But, if it's set in the Taisho era, response:	finding sets around here must be hard.
context: Meitan te Saigo no Jiken (The Famous Detective's Last Case)\Is it a mystery?\Yes. It's set in the past,\around the Taisho era.\Onii-chan is the hero, Yukito-san is the villain,\and I'm Yukito-san's little sister.\But, if it's set in the Taisho era,\finding sets around here must be hard. response:	Onii-chan's class has been looking,
context: Is it a mystery?\Yes. It's set in the past,\around the Taisho era.\Onii-chan is the hero, Yukito-san is the villain,\and I'm Yukito-san's little sister.\But, if it's set in the Taisho era,\finding sets around here must be hard.\Onii-chan's class has been looking, response:	but they haven't had much luck finding a house they could use.
