context: 48 Days Until the Prefectural Tournament! response:	Gou-chan, you're still doing those?
context: 48 Days Until the Prefectural Tournament!\Gou-chan, you're still doing those? response:	Can you stop that?
context: 48 Days Until the Prefectural Tournament!\Gou-chan, you're still doing those?\Can you stop that? response:	49 Days Until the Prefectural Tournament! 50 Days Until the Prefectural Tournament!
context: 48 Days Until the Prefectural Tournament!\Gou-chan, you're still doing those?\Can you stop that?\49 Days Until the Prefectural Tournament! 50 Days Until the Prefectural Tournament! response:	Pressure is what pushes people to the next level.
context: 48 Days Until the Prefectural Tournament!\Gou-chan, you're still doing those?\Can you stop that?\49 Days Until the Prefectural Tournament! 50 Days Until the Prefectural Tournament!\Pressure is what pushes people to the next level. response:	50 Days Until the Prefectural Tournament! 52 Days Until the Prefectural Tournament!
context: 48 Days Until the Prefectural Tournament!\Gou-chan, you're still doing those?\Can you stop that?\49 Days Until the Prefectural Tournament! 50 Days Until the Prefectural Tournament!\Pressure is what pushes people to the next level.\50 Days Until the Prefectural Tournament! 52 Days Until the Prefectural Tournament! response:	52 Days Until the Prefectural Tournament! 51 Days Until the Prefectural Tournament!
context: 48 Days Until the Prefectural Tournament!\Gou-chan, you're still doing those?\Can you stop that?\49 Days Until the Prefectural Tournament! 50 Days Until the Prefectural Tournament!\Pressure is what pushes people to the next level.\50 Days Until the Prefectural Tournament! 52 Days Until the Prefectural Tournament!\52 Days Until the Prefectural Tournament! 51 Days Until the Prefectural Tournament! response:	Pressure can also ruin some people.
context: 48 Days Until the Prefectural Tournament!\Gou-chan, you're still doing those?\Can you stop that?\49 Days Until the Prefectural Tournament! 50 Days Until the Prefectural Tournament!\Pressure is what pushes people to the next level.\50 Days Until the Prefectural Tournament! 52 Days Until the Prefectural Tournament!\52 Days Until the Prefectural Tournament! 51 Days Until the Prefectural Tournament!\Pressure can also ruin some people. response:	Are you talking about Rei-chan?
context: Gou-chan, you're still doing those?\Can you stop that?\49 Days Until the Prefectural Tournament! 50 Days Until the Prefectural Tournament!\Pressure is what pushes people to the next level.\50 Days Until the Prefectural Tournament! 52 Days Until the Prefectural Tournament!\52 Days Until the Prefectural Tournament! 51 Days Until the Prefectural Tournament!\Pressure can also ruin some people.\Are you talking about Rei-chan? response:	I'm not that weak!
context: Can you stop that?\49 Days Until the Prefectural Tournament! 50 Days Until the Prefectural Tournament!\Pressure is what pushes people to the next level.\50 Days Until the Prefectural Tournament! 52 Days Until the Prefectural Tournament!\52 Days Until the Prefectural Tournament! 51 Days Until the Prefectural Tournament!\Pressure can also ruin some people.\Are you talking about Rei-chan?\I'm not that weak! response:	Wait, why are you wearing a hakama?
context: 49 Days Until the Prefectural Tournament! 50 Days Until the Prefectural Tournament!\Pressure is what pushes people to the next level.\50 Days Until the Prefectural Tournament! 52 Days Until the Prefectural Tournament!\52 Days Until the Prefectural Tournament! 51 Days Until the Prefectural Tournament!\Pressure can also ruin some people.\Are you talking about Rei-chan?\I'm not that weak!\Wait, why are you wearing a hakama? response:	Stop talking and start practicing!
context: Pressure is what pushes people to the next level.\50 Days Until the Prefectural Tournament! 52 Days Until the Prefectural Tournament!\52 Days Until the Prefectural Tournament! 51 Days Until the Prefectural Tournament!\Pressure can also ruin some people.\Are you talking about Rei-chan?\I'm not that weak!\Wait, why are you wearing a hakama?\Stop talking and start practicing! response:	Get going!
context: 50 Days Until the Prefectural Tournament! 52 Days Until the Prefectural Tournament!\52 Days Until the Prefectural Tournament! 51 Days Until the Prefectural Tournament!\Pressure can also ruin some people.\Are you talking about Rei-chan?\I'm not that weak!\Wait, why are you wearing a hakama?\Stop talking and start practicing!\Get going! response:	Honestly...
