context: This is Burnett, ARUS Golden News. response:	Did you all witness that shocking video
context: This is Burnett, ARUS Golden News.\Did you all witness that shocking video response:	message from the Dorssian chancellor?
context: This is Burnett, ARUS Golden News.\Did you all witness that shocking video\message from the Dorssian chancellor? response:	We have come here to Module 77's hangar.
context: This is Burnett, ARUS Golden News.\Did you all witness that shocking video\message from the Dorssian chancellor?\We have come here to Module 77's hangar. response:	What's he doing at the Phantom?!
context: This is Burnett, ARUS Golden News.\Did you all witness that shocking video\message from the Dorssian chancellor?\We have come here to Module 77's hangar.\What's he doing at the Phantom?! response:	What could be the truth behind those images?
context: This is Burnett, ARUS Golden News.\Did you all witness that shocking video\message from the Dorssian chancellor?\We have come here to Module 77's hangar.\What's he doing at the Phantom?!\What could be the truth behind those images? response:	Phantom?
context: This is Burnett, ARUS Golden News.\Did you all witness that shocking video\message from the Dorssian chancellor?\We have come here to Module 77's hangar.\What's he doing at the Phantom?!\What could be the truth behind those images?\Phantom? response:	To be honest, this may be the first time
context: This is Burnett, ARUS Golden News.\Did you all witness that shocking video\message from the Dorssian chancellor?\We have come here to Module 77's hangar.\What's he doing at the Phantom?!\What could be the truth behind those images?\Phantom?\To be honest, this may be the first time response:	I have ever sensed anything this eerie.
context: Did you all witness that shocking video\message from the Dorssian chancellor?\We have come here to Module 77's hangar.\What's he doing at the Phantom?!\What could be the truth behind those images?\Phantom?\To be honest, this may be the first time\I have ever sensed anything this eerie. response:	What is this? It's full of people!
context: message from the Dorssian chancellor?\We have come here to Module 77's hangar.\What's he doing at the Phantom?!\What could be the truth behind those images?\Phantom?\To be honest, this may be the first time\I have ever sensed anything this eerie.\What is this? It's full of people! response:	What are they doing?
context: We have come here to Module 77's hangar.\What's he doing at the Phantom?!\What could be the truth behind those images?\Phantom?\To be honest, this may be the first time\I have ever sensed anything this eerie.\What is this? It's full of people!\What are they doing? response:	What is being done to these people?!
context: What's he doing at the Phantom?!\What could be the truth behind those images?\Phantom?\To be honest, this may be the first time\I have ever sensed anything this eerie.\What is this? It's full of people!\What are they doing?\What is being done to these people?! response:	Dad!
context: What could be the truth behind those images?\Phantom?\To be honest, this may be the first time\I have ever sensed anything this eerie.\What is this? It's full of people!\What are they doing?\What is being done to these people?!\Dad! response:	Dad! Dad!
context: Phantom?\To be honest, this may be the first time\I have ever sensed anything this eerie.\What is this? It's full of people!\What are they doing?\What is being done to these people?!\Dad!\Dad! Dad! response:	Iori...
context: To be honest, this may be the first time\I have ever sensed anything this eerie.\What is this? It's full of people!\What are they doing?\What is being done to these people?!\Dad!\Dad! Dad!\Iori... response:	Dad!
context: I have ever sensed anything this eerie.\What is this? It's full of people!\What are they doing?\What is being done to these people?!\Dad!\Dad! Dad!\Iori...\Dad! response:	No! Dad! Dad!
context: What is this? It's full of people!\What are they doing?\What is being done to these people?!\Dad!\Dad! Dad!\Iori...\Dad!\No! Dad! Dad! response:	It's no use, he's gone. What are they doing here?!
context: What are they doing?\What is being done to these people?!\Dad!\Dad! Dad!\Iori...\Dad!\No! Dad! Dad!\It's no use, he's gone. What are they doing here?! response:	This is a JIORan ship, isn't it? Answer me!
context: What is being done to these people?!\Dad!\Dad! Dad!\Iori...\Dad!\No! Dad! Dad!\It's no use, he's gone. What are they doing here?!\This is a JIORan ship, isn't it? Answer me! response:	Hey, make them stop!
context: Dad!\Dad! Dad!\Iori...\Dad!\No! Dad! Dad!\It's no use, he's gone. What are they doing here?!\This is a JIORan ship, isn't it? Answer me!\Hey, make them stop! response:	Murderers!
context: Dad! Dad!\Iori...\Dad!\No! Dad! Dad!\It's no use, he's gone. What are they doing here?!\This is a JIORan ship, isn't it? Answer me!\Hey, make them stop!\Murderers! response:	Stop this right now!
context: Iori...\Dad!\No! Dad! Dad!\It's no use, he's gone. What are they doing here?!\This is a JIORan ship, isn't it? Answer me!\Hey, make them stop!\Murderers!\Stop this right now! response:	What are you talking about? That ship isn't ours!
context: Dad!\No! Dad! Dad!\It's no use, he's gone. What are they doing here?!\This is a JIORan ship, isn't it? Answer me!\Hey, make them stop!\Murderers!\Stop this right now!\What are you talking about? That ship isn't ours! response:	Eileen!
context: No! Dad! Dad!\It's no use, he's gone. What are they doing here?!\This is a JIORan ship, isn't it? Answer me!\Hey, make them stop!\Murderers!\Stop this right now!\What are you talking about? That ship isn't ours!\Eileen! response:	Eileen!
context: It's no use, he's gone. What are they doing here?!\This is a JIORan ship, isn't it? Answer me!\Hey, make them stop!\Murderers!\Stop this right now!\What are you talking about? That ship isn't ours!\Eileen!\Eileen! response:	Eileen!
context: This is a JIORan ship, isn't it? Answer me!\Hey, make them stop!\Murderers!\Stop this right now!\What are you talking about? That ship isn't ours!\Eileen!\Eileen!\Eileen! response:	Why did this have to happen to her...?
context: Hey, make them stop!\Murderers!\Stop this right now!\What are you talking about? That ship isn't ours!\Eileen!\Eileen!\Eileen!\Why did this have to happen to her...? response:	This is the truth behind Module 77!
context: Murderers!\Stop this right now!\What are you talking about? That ship isn't ours!\Eileen!\Eileen!\Eileen!\Why did this have to happen to her...?\This is the truth behind Module 77! response:	Upon learning of the threat they posed,
context: Stop this right now!\What are you talking about? That ship isn't ours!\Eileen!\Eileen!\Eileen!\Why did this have to happen to her...?\This is the truth behind Module 77!\Upon learning of the threat they posed, response:	we made the difficult decision to invade JIOR.
context: What are you talking about? That ship isn't ours!\Eileen!\Eileen!\Eileen!\Why did this have to happen to her...?\This is the truth behind Module 77!\Upon learning of the threat they posed,\we made the difficult decision to invade JIOR. response:	For the good of the entire world, we took a stand against them!
context: Eileen!\Eileen!\Eileen!\Why did this have to happen to her...?\This is the truth behind Module 77!\Upon learning of the threat they posed,\we made the difficult decision to invade JIOR.\For the good of the entire world, we took a stand against them! response:	They fought against us with unkillable soldiers!
context: Eileen!\Eileen!\Why did this have to happen to her...?\This is the truth behind Module 77!\Upon learning of the threat they posed,\we made the difficult decision to invade JIOR.\For the good of the entire world, we took a stand against them!\They fought against us with unkillable soldiers! response:	Before you censure Dorssia,
context: Eileen!\Why did this have to happen to her...?\This is the truth behind Module 77!\Upon learning of the threat they posed,\we made the difficult decision to invade JIOR.\For the good of the entire world, we took a stand against them!\They fought against us with unkillable soldiers!\Before you censure Dorssia, response:	I want you to see the reality for yourselves.
context: Why did this have to happen to her...?\This is the truth behind Module 77!\Upon learning of the threat they posed,\we made the difficult decision to invade JIOR.\For the good of the entire world, we took a stand against them!\They fought against us with unkillable soldiers!\Before you censure Dorssia,\I want you to see the reality for yourselves. response:	I will say this again.
context: This is the truth behind Module 77!\Upon learning of the threat they posed,\we made the difficult decision to invade JIOR.\For the good of the entire world, we took a stand against them!\They fought against us with unkillable soldiers!\Before you censure Dorssia,\I want you to see the reality for yourselves.\I will say this again. response:	The creatures that dwell within Module 77 are not human beings!
context: Upon learning of the threat they posed,\we made the difficult decision to invade JIOR.\For the good of the entire world, we took a stand against them!\They fought against us with unkillable soldiers!\Before you censure Dorssia,\I want you to see the reality for yourselves.\I will say this again.\The creatures that dwell within Module 77 are not human beings! response:	They are monsters who survive by draining the life out of humans!
context: we made the difficult decision to invade JIOR.\For the good of the entire world, we took a stand against them!\They fought against us with unkillable soldiers!\Before you censure Dorssia,\I want you to see the reality for yourselves.\I will say this again.\The creatures that dwell within Module 77 are not human beings!\They are monsters who survive by draining the life out of humans! response:	What kind of house of horrors have we stumbled into?
context: For the good of the entire world, we took a stand against them!\They fought against us with unkillable soldiers!\Before you censure Dorssia,\I want you to see the reality for yourselves.\I will say this again.\The creatures that dwell within Module 77 are not human beings!\They are monsters who survive by draining the life out of humans!\What kind of house of horrors have we stumbled into? response:	We've been lured into a monster's nest?
context: They fought against us with unkillable soldiers!\Before you censure Dorssia,\I want you to see the reality for yourselves.\I will say this again.\The creatures that dwell within Module 77 are not human beings!\They are monsters who survive by draining the life out of humans!\What kind of house of horrors have we stumbled into?\We've been lured into a monster's nest? response:	Prime Minister Sashinami, I demand an explanation!
context: Before you censure Dorssia,\I want you to see the reality for yourselves.\I will say this again.\The creatures that dwell within Module 77 are not human beings!\They are monsters who survive by draining the life out of humans!\What kind of house of horrors have we stumbled into?\We've been lured into a monster's nest?\Prime Minister Sashinami, I demand an explanation! response:	I have no idea what this is!
context: I want you to see the reality for yourselves.\I will say this again.\The creatures that dwell within Module 77 are not human beings!\They are monsters who survive by draining the life out of humans!\What kind of house of horrors have we stumbled into?\We've been lured into a monster's nest?\Prime Minister Sashinami, I demand an explanation!\I have no idea what this is! response:	It's not like that!
context: I will say this again.\The creatures that dwell within Module 77 are not human beings!\They are monsters who survive by draining the life out of humans!\What kind of house of horrors have we stumbled into?\We've been lured into a monster's nest?\Prime Minister Sashinami, I demand an explanation!\I have no idea what this is!\It's not like that! response:	We were going to tell you about the Phantom after the summit!
context: The creatures that dwell within Module 77 are not human beings!\They are monsters who survive by draining the life out of humans!\What kind of house of horrors have we stumbled into?\We've been lured into a monster's nest?\Prime Minister Sashinami, I demand an explanation!\I have no idea what this is!\It's not like that!\We were going to tell you about the Phantom after the summit! response:	Haruto? What is that? What's this Phantom?
context: They are monsters who survive by draining the life out of humans!\What kind of house of horrors have we stumbled into?\We've been lured into a monster's nest?\Prime Minister Sashinami, I demand an explanation!\I have no idea what this is!\It's not like that!\We were going to tell you about the Phantom after the summit!\Haruto? What is that? What's this Phantom? response:	You knew? You knew about that strange ship?
context: What kind of house of horrors have we stumbled into?\We've been lured into a monster's nest?\Prime Minister Sashinami, I demand an explanation!\I have no idea what this is!\It's not like that!\We were going to tell you about the Phantom after the summit!\Haruto? What is that? What's this Phantom?\You knew? You knew about that strange ship? response:	Well, I... I'm sorry.
context: We've been lured into a monster's nest?\Prime Minister Sashinami, I demand an explanation!\I have no idea what this is!\It's not like that!\We were going to tell you about the Phantom after the summit!\Haruto? What is that? What's this Phantom?\You knew? You knew about that strange ship?\Well, I... I'm sorry. response:	This was a close brush with death.
context: Prime Minister Sashinami, I demand an explanation!\I have no idea what this is!\It's not like that!\We were going to tell you about the Phantom after the summit!\Haruto? What is that? What's this Phantom?\You knew? You knew about that strange ship?\Well, I... I'm sorry.\This was a close brush with death. response:	If the Dorssian chancellor's accusation had come just a little later,
context: I have no idea what this is!\It's not like that!\We were going to tell you about the Phantom after the summit!\Haruto? What is that? What's this Phantom?\You knew? You knew about that strange ship?\Well, I... I'm sorry.\This was a close brush with death.\If the Dorssian chancellor's accusation had come just a little later, response:	we would have ended up on these monsters' dinner plates!
context: It's not like that!\We were going to tell you about the Phantom after the summit!\Haruto? What is that? What's this Phantom?\You knew? You knew about that strange ship?\Well, I... I'm sorry.\This was a close brush with death.\If the Dorssian chancellor's accusation had come just a little later,\we would have ended up on these monsters' dinner plates! response:	No, it's not like that!
context: We were going to tell you about the Phantom after the summit!\Haruto? What is that? What's this Phantom?\You knew? You knew about that strange ship?\Well, I... I'm sorry.\This was a close brush with death.\If the Dorssian chancellor's accusation had come just a little later,\we would have ended up on these monsters' dinner plates!\No, it's not like that! response:	In accordance with international law,
context: Haruto? What is that? What's this Phantom?\You knew? You knew about that strange ship?\Well, I... I'm sorry.\This was a close brush with death.\If the Dorssian chancellor's accusation had come just a little later,\we would have ended up on these monsters' dinner plates!\No, it's not like that!\In accordance with international law, response:	I hereby designate the residents of Module 77
context: You knew? You knew about that strange ship?\Well, I... I'm sorry.\This was a close brush with death.\If the Dorssian chancellor's accusation had come just a little later,\we would have ended up on these monsters' dinner plates!\No, it's not like that!\In accordance with international law,\I hereby designate the residents of Module 77 response:	as Class 7 Special Hazard Organisms!
context: Well, I... I'm sorry.\This was a close brush with death.\If the Dorssian chancellor's accusation had come just a little later,\we would have ended up on these monsters' dinner plates!\No, it's not like that!\In accordance with international law,\I hereby designate the residents of Module 77\as Class 7 Special Hazard Organisms! response:	This was inevitable.
context: This was a close brush with death.\If the Dorssian chancellor's accusation had come just a little later,\we would have ended up on these monsters' dinner plates!\No, it's not like that!\In accordance with international law,\I hereby designate the residents of Module 77\as Class 7 Special Hazard Organisms!\This was inevitable. response:	They got too close to the secrets lurking in the shadows of the world.
context: If the Dorssian chancellor's accusation had come just a little later,\we would have ended up on these monsters' dinner plates!\No, it's not like that!\In accordance with international law,\I hereby designate the residents of Module 77\as Class 7 Special Hazard Organisms!\This was inevitable.\They got too close to the secrets lurking in the shadows of the world. response:	So, it played out exactly according to your plan.
context: we would have ended up on these monsters' dinner plates!\No, it's not like that!\In accordance with international law,\I hereby designate the residents of Module 77\as Class 7 Special Hazard Organisms!\This was inevitable.\They got too close to the secrets lurking in the shadows of the world.\So, it played out exactly according to your plan. response:	I should have known.
context: No, it's not like that!\In accordance with international law,\I hereby designate the residents of Module 77\as Class 7 Special Hazard Organisms!\This was inevitable.\They got too close to the secrets lurking in the shadows of the world.\So, it played out exactly according to your plan.\I should have known. response:	It is nothing that warrants being praised over.
context: In accordance with international law,\I hereby designate the residents of Module 77\as Class 7 Special Hazard Organisms!\This was inevitable.\They got too close to the secrets lurking in the shadows of the world.\So, it played out exactly according to your plan.\I should have known.\It is nothing that warrants being praised over. response:	On the contrary,
context: I hereby designate the residents of Module 77\as Class 7 Special Hazard Organisms!\This was inevitable.\They got too close to the secrets lurking in the shadows of the world.\So, it played out exactly according to your plan.\I should have known.\It is nothing that warrants being praised over.\On the contrary, response:	I'm rather disappointed that the resistance I expected failed to materialize.
context: as Class 7 Special Hazard Organisms!\This was inevitable.\They got too close to the secrets lurking in the shadows of the world.\So, it played out exactly according to your plan.\I should have known.\It is nothing that warrants being praised over.\On the contrary,\I'm rather disappointed that the resistance I expected failed to materialize. response:	What's going on?!
context: This was inevitable.\They got too close to the secrets lurking in the shadows of the world.\So, it played out exactly according to your plan.\I should have known.\It is nothing that warrants being praised over.\On the contrary,\I'm rather disappointed that the resistance I expected failed to materialize.\What's going on?! response:	What do they mean, monsters?! We're human beings!
context: They got too close to the secrets lurking in the shadows of the world.\So, it played out exactly according to your plan.\I should have known.\It is nothing that warrants being praised over.\On the contrary,\I'm rather disappointed that the resistance I expected failed to materialize.\What's going on?!\What do they mean, monsters?! We're human beings! response:	There has to be some kind of mistake!
context: So, it played out exactly according to your plan.\I should have known.\It is nothing that warrants being praised over.\On the contrary,\I'm rather disappointed that the resistance I expected failed to materialize.\What's going on?!\What do they mean, monsters?! We're human beings!\There has to be some kind of mistake! response:	What have you been going on and on about?
context: I should have known.\It is nothing that warrants being praised over.\On the contrary,\I'm rather disappointed that the resistance I expected failed to materialize.\What's going on?!\What do they mean, monsters?! We're human beings!\There has to be some kind of mistake!\What have you been going on and on about? response:	I'm asking you what you guys did down on Earth!
context: It is nothing that warrants being praised over.\On the contrary,\I'm rather disappointed that the resistance I expected failed to materialize.\What's going on?!\What do they mean, monsters?! We're human beings!\There has to be some kind of mistake!\What have you been going on and on about?\I'm asking you what you guys did down on Earth! response:	Is it just the pilots who are those monsters?
context: On the contrary,\I'm rather disappointed that the resistance I expected failed to materialize.\What's going on?!\What do they mean, monsters?! We're human beings!\There has to be some kind of mistake!\What have you been going on and on about?\I'm asking you what you guys did down on Earth!\Is it just the pilots who are those monsters? response:	Hey, dial it down! We didn't do anything
context: I'm rather disappointed that the resistance I expected failed to materialize.\What's going on?!\What do they mean, monsters?! We're human beings!\There has to be some kind of mistake!\What have you been going on and on about?\I'm asking you what you guys did down on Earth!\Is it just the pilots who are those monsters?\Hey, dial it down! We didn't do anything response:	You're another one like Rukino, aren't you?
context: What's going on?!\What do they mean, monsters?! We're human beings!\There has to be some kind of mistake!\What have you been going on and on about?\I'm asking you what you guys did down on Earth!\Is it just the pilots who are those monsters?\Hey, dial it down! We didn't do anything\You're another one like Rukino, aren't you? response:	Fess up!
context: What do they mean, monsters?! We're human beings!\There has to be some kind of mistake!\What have you been going on and on about?\I'm asking you what you guys did down on Earth!\Is it just the pilots who are those monsters?\Hey, dial it down! We didn't do anything\You're another one like Rukino, aren't you?\Fess up! response:	What are you people doing?!
context: There has to be some kind of mistake!\What have you been going on and on about?\I'm asking you what you guys did down on Earth!\Is it just the pilots who are those monsters?\Hey, dial it down! We didn't do anything\You're another one like Rukino, aren't you?\Fess up!\What are you people doing?! response:	Stop it!
context: What have you been going on and on about?\I'm asking you what you guys did down on Earth!\Is it just the pilots who are those monsters?\Hey, dial it down! We didn't do anything\You're another one like Rukino, aren't you?\Fess up!\What are you people doing?!\Stop it! response:	Don't touch me!
context: I'm asking you what you guys did down on Earth!\Is it just the pilots who are those monsters?\Hey, dial it down! We didn't do anything\You're another one like Rukino, aren't you?\Fess up!\What are you people doing?!\Stop it!\Don't touch me! response:	We aren't monsters!
context: Is it just the pilots who are those monsters?\Hey, dial it down! We didn't do anything\You're another one like Rukino, aren't you?\Fess up!\What are you people doing?!\Stop it!\Don't touch me!\We aren't monsters! response:	You guys are the strange ones!
context: Hey, dial it down! We didn't do anything\You're another one like Rukino, aren't you?\Fess up!\What are you people doing?!\Stop it!\Don't touch me!\We aren't monsters!\You guys are the strange ones! response:	What did you really go down to Earth to do?
context: You're another one like Rukino, aren't you?\Fess up!\What are you people doing?!\Stop it!\Don't touch me!\We aren't monsters!\You guys are the strange ones!\What did you really go down to Earth to do? response:	She's right! That weird ship belongs to you guys, remember?
context: Fess up!\What are you people doing?!\Stop it!\Don't touch me!\We aren't monsters!\You guys are the strange ones!\What did you really go down to Earth to do?\She's right! That weird ship belongs to you guys, remember? response:	That's
context: What are you people doing?!\Stop it!\Don't touch me!\We aren't monsters!\You guys are the strange ones!\What did you really go down to Earth to do?\She's right! That weird ship belongs to you guys, remember?\That's response:	Is everyone who went down to Earth a monster?
context: Stop it!\Don't touch me!\We aren't monsters!\You guys are the strange ones!\What did you really go down to Earth to do?\She's right! That weird ship belongs to you guys, remember?\That's\Is everyone who went down to Earth a monster? response:	Stop it! Everyone, stop it!
context: Don't touch me!\We aren't monsters!\You guys are the strange ones!\What did you really go down to Earth to do?\She's right! That weird ship belongs to you guys, remember?\That's\Is everyone who went down to Earth a monster?\Stop it! Everyone, stop it! response:	We all risked our lives to go to Earth!
context: We aren't monsters!\You guys are the strange ones!\What did you really go down to Earth to do?\She's right! That weird ship belongs to you guys, remember?\That's\Is everyone who went down to Earth a monster?\Stop it! Everyone, stop it!\We all risked our lives to go to Earth! response:	Please, Mr. President, hear our side of the story!
context: You guys are the strange ones!\What did you really go down to Earth to do?\She's right! That weird ship belongs to you guys, remember?\That's\Is everyone who went down to Earth a monster?\Stop it! Everyone, stop it!\We all risked our lives to go to Earth!\Please, Mr. President, hear our side of the story! response:	Yohei?
context: What did you really go down to Earth to do?\She's right! That weird ship belongs to you guys, remember?\That's\Is everyone who went down to Earth a monster?\Stop it! Everyone, stop it!\We all risked our lives to go to Earth!\Please, Mr. President, hear our side of the story!\Yohei? response:	There has to be some mistake! Please, Mr. President
