context: Let's go to the beach sometime. response:	The sound of
context: Let's go to the beach sometime.\The sound of response:	waves makes me feel a bit tingly.
context: Let's go to the beach sometime.\The sound of\waves makes me feel a bit tingly. response:	We should get going.
context: Let's go to the beach sometime.\The sound of\waves makes me feel a bit tingly.\We should get going. response:	Yeah.
context: Let's go to the beach sometime.\The sound of\waves makes me feel a bit tingly.\We should get going.\Yeah. response:	Episode 7 Bicycle
context: Let's go to the beach sometime.\The sound of\waves makes me feel a bit tingly.\We should get going.\Yeah.\Episode 7 Bicycle response:	Morning.
context: Let's go to the beach sometime.\The sound of\waves makes me feel a bit tingly.\We should get going.\Yeah.\Episode 7 Bicycle\Morning. response:	I'm coming in.
context: Let's go to the beach sometime.\The sound of\waves makes me feel a bit tingly.\We should get going.\Yeah.\Episode 7 Bicycle\Morning.\I'm coming in. response:	Oh.
context: The sound of\waves makes me feel a bit tingly.\We should get going.\Yeah.\Episode 7 Bicycle\Morning.\I'm coming in.\Oh. response:	Sleeping outside?
context: waves makes me feel a bit tingly.\We should get going.\Yeah.\Episode 7 Bicycle\Morning.\I'm coming in.\Oh.\Sleeping outside? response:	You've liked girls before, too, haven't you?
context: We should get going.\Yeah.\Episode 7 Bicycle\Morning.\I'm coming in.\Oh.\Sleeping outside?\You've liked girls before, too, haven't you? response:	I never thought of it as anything
context: Yeah.\Episode 7 Bicycle\Morning.\I'm coming in.\Oh.\Sleeping outside?\You've liked girls before, too, haven't you?\I never thought of it as anything response:	more than a weird feeling.
context: Episode 7 Bicycle\Morning.\I'm coming in.\Oh.\Sleeping outside?\You've liked girls before, too, haven't you?\I never thought of it as anything\more than a weird feeling. response:	I surprised myself.
context: Morning.\I'm coming in.\Oh.\Sleeping outside?\You've liked girls before, too, haven't you?\I never thought of it as anything\more than a weird feeling.\I surprised myself. response:	I'm surprised you'd like such a simple girl.
context: I'm coming in.\Oh.\Sleeping outside?\You've liked girls before, too, haven't you?\I never thought of it as anything\more than a weird feeling.\I surprised myself.\I'm surprised you'd like such a simple girl. response:	Don't look down on me.
context: Oh.\Sleeping outside?\You've liked girls before, too, haven't you?\I never thought of it as anything\more than a weird feeling.\I surprised myself.\I'm surprised you'd like such a simple girl.\Don't look down on me. response:	I wouldn't.
context: Sleeping outside?\You've liked girls before, too, haven't you?\I never thought of it as anything\more than a weird feeling.\I surprised myself.\I'm surprised you'd like such a simple girl.\Don't look down on me.\I wouldn't. response:	Hopefully you won't need us anymore.
context: You've liked girls before, too, haven't you?\I never thought of it as anything\more than a weird feeling.\I surprised myself.\I'm surprised you'd like such a simple girl.\Don't look down on me.\I wouldn't.\Hopefully you won't need us anymore. response:	I don't hate you guys.
context: I never thought of it as anything\more than a weird feeling.\I surprised myself.\I'm surprised you'd like such a simple girl.\Don't look down on me.\I wouldn't.\Hopefully you won't need us anymore.\I don't hate you guys. response:	All I can hear
context: more than a weird feeling.\I surprised myself.\I'm surprised you'd like such a simple girl.\Don't look down on me.\I wouldn't.\Hopefully you won't need us anymore.\I don't hate you guys.\All I can hear response:	is your voice.
context: I surprised myself.\I'm surprised you'd like such a simple girl.\Don't look down on me.\I wouldn't.\Hopefully you won't need us anymore.\I don't hate you guys.\All I can hear\is your voice. response:	I keep seeing you, too.
context: I'm surprised you'd like such a simple girl.\Don't look down on me.\I wouldn't.\Hopefully you won't need us anymore.\I don't hate you guys.\All I can hear\is your voice.\I keep seeing you, too. response:	Touko, Yana-chan is here.
context: Don't look down on me.\I wouldn't.\Hopefully you won't need us anymore.\I don't hate you guys.\All I can hear\is your voice.\I keep seeing you, too.\Touko, Yana-chan is here. response:	Yana-chan?
context: I wouldn't.\Hopefully you won't need us anymore.\I don't hate you guys.\All I can hear\is your voice.\I keep seeing you, too.\Touko, Yana-chan is here.\Yana-chan? response:	Yeah? So what's the event?
context: Hopefully you won't need us anymore.\I don't hate you guys.\All I can hear\is your voice.\I keep seeing you, too.\Touko, Yana-chan is here.\Yana-chan?\Yeah? So what's the event? response:	Fifty-meter freestyle.
