context: Episode 6 Punch response:	Kakeru-kun.
context: Episode 6 Punch\Kakeru-kun. response:	Oh, morning.
context: Episode 6 Punch\Kakeru-kun.\Oh, morning. response:	How about some tea?
context: Episode 6 Punch\Kakeru-kun.\Oh, morning.\How about some tea? response:	You should take a break.
context: Episode 6 Punch\Kakeru-kun.\Oh, morning.\How about some tea?\You should take a break. response:	Morning.
context: Episode 6 Punch\Kakeru-kun.\Oh, morning.\How about some tea?\You should take a break.\Morning. response:	Morning.
context: Episode 6 Punch\Kakeru-kun.\Oh, morning.\How about some tea?\You should take a break.\Morning.\Morning. response:	Did I wake you up?
context: Episode 6 Punch\Kakeru-kun.\Oh, morning.\How about some tea?\You should take a break.\Morning.\Morning.\Did I wake you up? response:	No.
context: Kakeru-kun.\Oh, morning.\How about some tea?\You should take a break.\Morning.\Morning.\Did I wake you up?\No. response:	There you are.
context: Oh, morning.\How about some tea?\You should take a break.\Morning.\Morning.\Did I wake you up?\No.\There you are. response:	I was looking for you.
context: How about some tea?\You should take a break.\Morning.\Morning.\Did I wake you up?\No.\There you are.\I was looking for you. response:	I've always been here.
context: You should take a break.\Morning.\Morning.\Did I wake you up?\No.\There you are.\I was looking for you.\I've always been here. response:	I'm still a little sleepy.
context: Morning.\Morning.\Did I wake you up?\No.\There you are.\I was looking for you.\I've always been here.\I'm still a little sleepy. response:	If a girl of age is sleeping on her stomach,
context: Morning.\Did I wake you up?\No.\There you are.\I was looking for you.\I've always been here.\I'm still a little sleepy.\If a girl of age is sleeping on her stomach, response:	it's because she's in love.
context: Did I wake you up?\No.\There you are.\I was looking for you.\I've always been here.\I'm still a little sleepy.\If a girl of age is sleeping on her stomach,\it's because she's in love. response:	Though, I think a parent can tell regardless.
context: No.\There you are.\I was looking for you.\I've always been here.\I'm still a little sleepy.\If a girl of age is sleeping on her stomach,\it's because she's in love.\Though, I think a parent can tell regardless. response:	But...
context: There you are.\I was looking for you.\I've always been here.\I'm still a little sleepy.\If a girl of age is sleeping on her stomach,\it's because she's in love.\Though, I think a parent can tell regardless.\But... response:	There aren't any romance movies called You Know What Happens Next,
context: I was looking for you.\I've always been here.\I'm still a little sleepy.\If a girl of age is sleeping on her stomach,\it's because she's in love.\Though, I think a parent can tell regardless.\But...\There aren't any romance movies called You Know What Happens Next, response:	are there?
context: I've always been here.\I'm still a little sleepy.\If a girl of age is sleeping on her stomach,\it's because she's in love.\Though, I think a parent can tell regardless.\But...\There aren't any romance movies called You Know What Happens Next,\are there? response:	You know what happens?
