context: Used Bookstore Hitotose response:	And hup... and hup...
context: Used Bookstore Hitotose\And hup... and hup... response:	There we go!
context: Used Bookstore Hitotose\And hup... and hup...\There we go! response:	Hina-chan, thanks for helping me even though it's summer break.
context: Used Bookstore Hitotose\And hup... and hup...\There we go!\Hina-chan, thanks for helping me even though it's summer break. response:	No, I'm doing this because it's summer break.
context: Used Bookstore Hitotose\And hup... and hup...\There we go!\Hina-chan, thanks for helping me even though it's summer break.\No, I'm doing this because it's summer break. response:	I was actually able to speak in front of people at the culture festival.
context: Used Bookstore Hitotose\And hup... and hup...\There we go!\Hina-chan, thanks for helping me even though it's summer break.\No, I'm doing this because it's summer break.\I was actually able to speak in front of people at the culture festival. response:	Right now, I bet I could wait on customers, too!
context: Used Bookstore Hitotose\And hup... and hup...\There we go!\Hina-chan, thanks for helping me even though it's summer break.\No, I'm doing this because it's summer break.\I was actually able to speak in front of people at the culture festival.\Right now, I bet I could wait on customers, too! response:	So, what should I do?
context: Used Bookstore Hitotose\And hup... and hup...\There we go!\Hina-chan, thanks for helping me even though it's summer break.\No, I'm doing this because it's summer break.\I was actually able to speak in front of people at the culture festival.\Right now, I bet I could wait on customers, too!\So, what should I do? response:	Well, I'd like you to help me set out and restock merchandise.
context: And hup... and hup...\There we go!\Hina-chan, thanks for helping me even though it's summer break.\No, I'm doing this because it's summer break.\I was actually able to speak in front of people at the culture festival.\Right now, I bet I could wait on customers, too!\So, what should I do?\Well, I'd like you to help me set out and restock merchandise. response:	Sure. Leave it to me!
context: There we go!\Hina-chan, thanks for helping me even though it's summer break.\No, I'm doing this because it's summer break.\I was actually able to speak in front of people at the culture festival.\Right now, I bet I could wait on customers, too!\So, what should I do?\Well, I'd like you to help me set out and restock merchandise.\Sure. Leave it to me! response:	Trying Too Hard
context: Hina-chan, thanks for helping me even though it's summer break.\No, I'm doing this because it's summer break.\I was actually able to speak in front of people at the culture festival.\Right now, I bet I could wait on customers, too!\So, what should I do?\Well, I'd like you to help me set out and restock merchandise.\Sure. Leave it to me!\Trying Too Hard response:	Used Bookstore Hitotose
context: No, I'm doing this because it's summer break.\I was actually able to speak in front of people at the culture festival.\Right now, I bet I could wait on customers, too!\So, what should I do?\Well, I'd like you to help me set out and restock merchandise.\Sure. Leave it to me!\Trying Too Hard\Used Bookstore Hitotose response:	Hina-chan, do you want to practice waiting on customers?
context: I was actually able to speak in front of people at the culture festival.\Right now, I bet I could wait on customers, too!\So, what should I do?\Well, I'd like you to help me set out and restock merchandise.\Sure. Leave it to me!\Trying Too Hard\Used Bookstore Hitotose\Hina-chan, do you want to practice waiting on customers? response:	Yeah, I do!
context: Right now, I bet I could wait on customers, too!\So, what should I do?\Well, I'd like you to help me set out and restock merchandise.\Sure. Leave it to me!\Trying Too Hard\Used Bookstore Hitotose\Hina-chan, do you want to practice waiting on customers?\Yeah, I do! response:	Okay, try doing what you'd do if a customer came in.
context: So, what should I do?\Well, I'd like you to help me set out and restock merchandise.\Sure. Leave it to me!\Trying Too Hard\Used Bookstore Hitotose\Hina-chan, do you want to practice waiting on customers?\Yeah, I do!\Okay, try doing what you'd do if a customer came in. response:	Right!
context: Well, I'd like you to help me set out and restock merchandise.\Sure. Leave it to me!\Trying Too Hard\Used Bookstore Hitotose\Hina-chan, do you want to practice waiting on customers?\Yeah, I do!\Okay, try doing what you'd do if a customer came in.\Right! response:	We have old books, rare books... lots of books!
context: Sure. Leave it to me!\Trying Too Hard\Used Bookstore Hitotose\Hina-chan, do you want to practice waiting on customers?\Yeah, I do!\Okay, try doing what you'd do if a customer came in.\Right!\We have old books, rare books... lots of books! response:	Please take your time looking around!
context: Trying Too Hard\Used Bookstore Hitotose\Hina-chan, do you want to practice waiting on customers?\Yeah, I do!\Okay, try doing what you'd do if a customer came in.\Right!\We have old books, rare books... lots of books!\Please take your time looking around! response:	That was very good!
