context: Hey, wake up. response:	I picked her up on the northern front.
context: Hey, wake up.\I picked her up on the northern front. response:	She doesn't have a name. I've just been calling her you.
context: Hey, wake up.\I picked her up on the northern front.\She doesn't have a name. I've just been calling her you. response:	Hey, say hello.
context: Hey, wake up.\I picked her up on the northern front.\She doesn't have a name. I've just been calling her you.\Hey, say hello. response:	You can't treat a child like that!
context: Hey, wake up.\I picked her up on the northern front.\She doesn't have a name. I've just been calling her you.\Hey, say hello.\You can't treat a child like that! response:	Gil, she's no child.
context: Hey, wake up.\I picked her up on the northern front.\She doesn't have a name. I've just been calling her you.\Hey, say hello.\You can't treat a child like that!\Gil, she's no child. response:	She's a weapon.
context: Hey, wake up.\I picked her up on the northern front.\She doesn't have a name. I've just been calling her you.\Hey, say hello.\You can't treat a child like that!\Gil, she's no child.\She's a weapon. response:	Weapon?
context: Hey, wake up.\I picked her up on the northern front.\She doesn't have a name. I've just been calling her you.\Hey, say hello.\You can't treat a child like that!\Gil, she's no child.\She's a weapon.\Weapon? response:	Just a war tool.
context: I picked her up on the northern front.\She doesn't have a name. I've just been calling her you.\Hey, say hello.\You can't treat a child like that!\Gil, she's no child.\She's a weapon.\Weapon?\Just a war tool. response:	Okay.
context: She doesn't have a name. I've just been calling her you.\Hey, say hello.\You can't treat a child like that!\Gil, she's no child.\She's a weapon.\Weapon?\Just a war tool.\Okay. response:	I'll take her.
context: Hey, say hello.\You can't treat a child like that!\Gil, she's no child.\She's a weapon.\Weapon?\Just a war tool.\Okay.\I'll take her. response:	I see.
context: You can't treat a child like that!\Gil, she's no child.\She's a weapon.\Weapon?\Just a war tool.\Okay.\I'll take her.\I see. response:	I'm glad to hear it.
context: Gil, she's no child.\She's a weapon.\Weapon?\Just a war tool.\Okay.\I'll take her.\I see.\I'm glad to hear it. response:	I've already made arrangements with the army.
context: She's a weapon.\Weapon?\Just a war tool.\Okay.\I'll take her.\I see.\I'm glad to hear it.\I've already made arrangements with the army. response:	LEIDENSCHAFTLICH DEPARTMENT OF THE NAVY
context: Weapon?\Just a war tool.\Okay.\I'll take her.\I see.\I'm glad to hear it.\I've already made arrangements with the army.\LEIDENSCHAFTLICH DEPARTMENT OF THE NAVY response:	I demand to see Captain Diethard Bougainvillea.
context: Just a war tool.\Okay.\I'll take her.\I see.\I'm glad to hear it.\I've already made arrangements with the army.\LEIDENSCHAFTLICH DEPARTMENT OF THE NAVY\I demand to see Captain Diethard Bougainvillea. response:	I told you, you can't see the captain!
context: Okay.\I'll take her.\I see.\I'm glad to hear it.\I've already made arrangements with the army.\LEIDENSCHAFTLICH DEPARTMENT OF THE NAVY\I demand to see Captain Diethard Bougainvillea.\I told you, you can't see the captain! response:	There's a matter that requires his confirmation!
context: I'll take her.\I see.\I'm glad to hear it.\I've already made arrangements with the army.\LEIDENSCHAFTLICH DEPARTMENT OF THE NAVY\I demand to see Captain Diethard Bougainvillea.\I told you, you can't see the captain!\There's a matter that requires his confirmation! response:	Stop asking already!
context: I see.\I'm glad to hear it.\I've already made arrangements with the army.\LEIDENSCHAFTLICH DEPARTMENT OF THE NAVY\I demand to see Captain Diethard Bougainvillea.\I told you, you can't see the captain!\There's a matter that requires his confirmation!\Stop asking already! response:	-What is going on here? -Captain! My apologies, sir.
context: I'm glad to hear it.\I've already made arrangements with the army.\LEIDENSCHAFTLICH DEPARTMENT OF THE NAVY\I demand to see Captain Diethard Bougainvillea.\I told you, you can't see the captain!\There's a matter that requires his confirmation!\Stop asking already!\-What is going on here? -Captain! My apologies, sir. response:	This woman was demanding to see you.
context: I've already made arrangements with the army.\LEIDENSCHAFTLICH DEPARTMENT OF THE NAVY\I demand to see Captain Diethard Bougainvillea.\I told you, you can't see the captain!\There's a matter that requires his confirmation!\Stop asking already!\-What is going on here? -Captain! My apologies, sir.\This woman was demanding to see you. response:	Stand down.
context: LEIDENSCHAFTLICH DEPARTMENT OF THE NAVY\I demand to see Captain Diethard Bougainvillea.\I told you, you can't see the captain!\There's a matter that requires his confirmation!\Stop asking already!\-What is going on here? -Captain! My apologies, sir.\This woman was demanding to see you.\Stand down. response:	Unless you want to die.
context: I demand to see Captain Diethard Bougainvillea.\I told you, you can't see the captain!\There's a matter that requires his confirmation!\Stop asking already!\-What is going on here? -Captain! My apologies, sir.\This woman was demanding to see you.\Stand down.\Unless you want to die. response:	What are you doing here?
context: I told you, you can't see the captain!\There's a matter that requires his confirmation!\Stop asking already!\-What is going on here? -Captain! My apologies, sir.\This woman was demanding to see you.\Stand down.\Unless you want to die.\What are you doing here? response:	Captain.
context: There's a matter that requires his confirmation!\Stop asking already!\-What is going on here? -Captain! My apologies, sir.\This woman was demanding to see you.\Stand down.\Unless you want to die.\What are you doing here?\Captain. response:	As I thought, once a weapon, always a weapon.
context: Stop asking already!\-What is going on here? -Captain! My apologies, sir.\This woman was demanding to see you.\Stand down.\Unless you want to die.\What are you doing here?\Captain.\As I thought, once a weapon, always a weapon. response:	Captain, tell me! Is it true that Major Gilbert
context: -What is going on here? -Captain! My apologies, sir.\This woman was demanding to see you.\Stand down.\Unless you want to die.\What are you doing here?\Captain.\As I thought, once a weapon, always a weapon.\Captain, tell me! Is it true that Major Gilbert response:	is missing in action?
context: This woman was demanding to see you.\Stand down.\Unless you want to die.\What are you doing here?\Captain.\As I thought, once a weapon, always a weapon.\Captain, tell me! Is it true that Major Gilbert\is missing in action? response:	You didn't know?
context: Stand down.\Unless you want to die.\What are you doing here?\Captain.\As I thought, once a weapon, always a weapon.\Captain, tell me! Is it true that Major Gilbert\is missing in action?\You didn't know? response:	Gilbert is no longer...
context: Unless you want to die.\What are you doing here?\Captain.\As I thought, once a weapon, always a weapon.\Captain, tell me! Is it true that Major Gilbert\is missing in action?\You didn't know?\Gilbert is no longer... response:	That's not true! That's impossible! The major is alive!
context: What are you doing here?\Captain.\As I thought, once a weapon, always a weapon.\Captain, tell me! Is it true that Major Gilbert\is missing in action?\You didn't know?\Gilbert is no longer...\That's not true! That's impossible! The major is alive! response:	Why are you making that face?
context: Captain.\As I thought, once a weapon, always a weapon.\Captain, tell me! Is it true that Major Gilbert\is missing in action?\You didn't know?\Gilbert is no longer...\That's not true! That's impossible! The major is alive!\Why are you making that face? response:	You were just a tool to him.
context: As I thought, once a weapon, always a weapon.\Captain, tell me! Is it true that Major Gilbert\is missing in action?\You didn't know?\Gilbert is no longer...\That's not true! That's impossible! The major is alive!\Why are you making that face?\You were just a tool to him. response:	You are just an emotionless tool,
context: Captain, tell me! Is it true that Major Gilbert\is missing in action?\You didn't know?\Gilbert is no longer...\That's not true! That's impossible! The major is alive!\Why are you making that face?\You were just a tool to him.\You are just an emotionless tool, response:	so, how could you be sad?
context: is missing in action?\You didn't know?\Gilbert is no longer...\That's not true! That's impossible! The major is alive!\Why are you making that face?\You were just a tool to him.\You are just an emotionless tool,\so, how could you be sad? response:	Why did you tell her?
context: You didn't know?\Gilbert is no longer...\That's not true! That's impossible! The major is alive!\Why are you making that face?\You were just a tool to him.\You are just an emotionless tool,\so, how could you be sad?\Why did you tell her? response:	She should be able to accept the truth now.
context: Gilbert is no longer...\That's not true! That's impossible! The major is alive!\Why are you making that face?\You were just a tool to him.\You are just an emotionless tool,\so, how could you be sad?\Why did you tell her?\She should be able to accept the truth now. response:	You idiot! You always have the worst timing!
context: That's not true! That's impossible! The major is alive!\Why are you making that face?\You were just a tool to him.\You are just an emotionless tool,\so, how could you be sad?\Why did you tell her?\She should be able to accept the truth now.\You idiot! You always have the worst timing! response:	To top it off, you have no idea about how women feel.
context: Why are you making that face?\You were just a tool to him.\You are just an emotionless tool,\so, how could you be sad?\Why did you tell her?\She should be able to accept the truth now.\You idiot! You always have the worst timing!\To top it off, you have no idea about how women feel. response:	Hurry up and go find her already!
context: You were just a tool to him.\You are just an emotionless tool,\so, how could you be sad?\Why did you tell her?\She should be able to accept the truth now.\You idiot! You always have the worst timing!\To top it off, you have no idea about how women feel.\Hurry up and go find her already! response:	Yes. I know.
context: You are just an emotionless tool,\so, how could you be sad?\Why did you tell her?\She should be able to accept the truth now.\You idiot! You always have the worst timing!\To top it off, you have no idea about how women feel.\Hurry up and go find her already!\Yes. I know. response:	Oh, Young Master!
context: so, how could you be sad?\Why did you tell her?\She should be able to accept the truth now.\You idiot! You always have the worst timing!\To top it off, you have no idea about how women feel.\Hurry up and go find her already!\Yes. I know.\Oh, Young Master! response:	And who is this?
context: Why did you tell her?\She should be able to accept the truth now.\You idiot! You always have the worst timing!\To top it off, you have no idea about how women feel.\Hurry up and go find her already!\Yes. I know.\Oh, Young Master!\And who is this? response:	Could you draw a bath for her and get her a change of clothes?
context: She should be able to accept the truth now.\You idiot! You always have the worst timing!\To top it off, you have no idea about how women feel.\Hurry up and go find her already!\Yes. I know.\Oh, Young Master!\And who is this?\Could you draw a bath for her and get her a change of clothes? response:	What should I tell the madam? She is currently at the mansion in Leiden.
