context: He's overworked. response:	He had an anemia attack, but he didn't faint.
context: He's overworked.\He had an anemia attack, but he didn't faint. response:	He's sleeping.
context: He's overworked.\He had an anemia attack, but he didn't faint.\He's sleeping. response:	Sleeping?
context: He's overworked.\He had an anemia attack, but he didn't faint.\He's sleeping.\Sleeping? response:	Run with the Wind
context: He's overworked.\He had an anemia attack, but he didn't faint.\He's sleeping.\Sleeping?\Run with the Wind response:	Thank you.
context: He's overworked.\He had an anemia attack, but he didn't faint.\He's sleeping.\Sleeping?\Run with the Wind\Thank you. response:	Being stuck with a syringe didn't wake him up.
context: He's overworked.\He had an anemia attack, but he didn't faint.\He's sleeping.\Sleeping?\Run with the Wind\Thank you.\Being stuck with a syringe didn't wake him up. response:	He must be really exhausted.
context: He's overworked.\He had an anemia attack, but he didn't faint.\He's sleeping.\Sleeping?\Run with the Wind\Thank you.\Being stuck with a syringe didn't wake him up.\He must be really exhausted. response:	It's hard to tell when he actually sleeps.
context: He had an anemia attack, but he didn't faint.\He's sleeping.\Sleeping?\Run with the Wind\Thank you.\Being stuck with a syringe didn't wake him up.\He must be really exhausted.\It's hard to tell when he actually sleeps. response:	I thought he was fine without sleep.
context: He's sleeping.\Sleeping?\Run with the Wind\Thank you.\Being stuck with a syringe didn't wake him up.\He must be really exhausted.\It's hard to tell when he actually sleeps.\I thought he was fine without sleep. response:	It's not just practice.
context: Sleeping?\Run with the Wind\Thank you.\Being stuck with a syringe didn't wake him up.\He must be really exhausted.\It's hard to tell when he actually sleeps.\I thought he was fine without sleep.\It's not just practice. response:	He was doing all the cooking, too.
context: Run with the Wind\Thank you.\Being stuck with a syringe didn't wake him up.\He must be really exhausted.\It's hard to tell when he actually sleeps.\I thought he was fine without sleep.\It's not just practice.\He was doing all the cooking, too. response:	It's my fault.
context: Thank you.\Being stuck with a syringe didn't wake him up.\He must be really exhausted.\It's hard to tell when he actually sleeps.\I thought he was fine without sleep.\It's not just practice.\He was doing all the cooking, too.\It's my fault. response:	I made him worry.
context: Being stuck with a syringe didn't wake him up.\He must be really exhausted.\It's hard to tell when he actually sleeps.\I thought he was fine without sleep.\It's not just practice.\He was doing all the cooking, too.\It's my fault.\I made him worry. response:	You know that's not true.
context: He must be really exhausted.\It's hard to tell when he actually sleeps.\I thought he was fine without sleep.\It's not just practice.\He was doing all the cooking, too.\It's my fault.\I made him worry.\You know that's not true. response:	I caused him much more concern.
context: It's hard to tell when he actually sleeps.\I thought he was fine without sleep.\It's not just practice.\He was doing all the cooking, too.\It's my fault.\I made him worry.\You know that's not true.\I caused him much more concern. response:	No, I...
context: I thought he was fine without sleep.\It's not just practice.\He was doing all the cooking, too.\It's my fault.\I made him worry.\You know that's not true.\I caused him much more concern.\No, I... response:	It was everyone.
context: It's not just practice.\He was doing all the cooking, too.\It's my fault.\I made him worry.\You know that's not true.\I caused him much more concern.\No, I...\It was everyone. response:	All of us can think of something we did.
context: He was doing all the cooking, too.\It's my fault.\I made him worry.\You know that's not true.\I caused him much more concern.\No, I...\It was everyone.\All of us can think of something we did. response:	Coach.
context: It's my fault.\I made him worry.\You know that's not true.\I caused him much more concern.\No, I...\It was everyone.\All of us can think of something we did.\Coach. response:	Please stop. It's ominous.
context: I made him worry.\You know that's not true.\I caused him much more concern.\No, I...\It was everyone.\All of us can think of something we did.\Coach.\Please stop. It's ominous. response:	I don't know what to do in times like these.
context: You know that's not true.\I caused him much more concern.\No, I...\It was everyone.\All of us can think of something we did.\Coach.\Please stop. It's ominous.\I don't know what to do in times like these. response:	You don't need to do anything.
context: I caused him much more concern.\No, I...\It was everyone.\All of us can think of something we did.\Coach.\Please stop. It's ominous.\I don't know what to do in times like these.\You don't need to do anything. response:	We should run practice ourselves tomorrow, right?
context: No, I...\It was everyone.\All of us can think of something we did.\Coach.\Please stop. It's ominous.\I don't know what to do in times like these.\You don't need to do anything.\We should run practice ourselves tomorrow, right? response:	I agree.
context: It was everyone.\All of us can think of something we did.\Coach.\Please stop. It's ominous.\I don't know what to do in times like these.\You don't need to do anything.\We should run practice ourselves tomorrow, right?\I agree. response:	Come to think of it, clerical procedures like registering for meets
context: All of us can think of something we did.\Coach.\Please stop. It's ominous.\I don't know what to do in times like these.\You don't need to do anything.\We should run practice ourselves tomorrow, right?\I agree.\Come to think of it, clerical procedures like registering for meets response:	were all Haiji's job, too.
context: Coach.\Please stop. It's ominous.\I don't know what to do in times like these.\You don't need to do anything.\We should run practice ourselves tomorrow, right?\I agree.\Come to think of it, clerical procedures like registering for meets\were all Haiji's job, too. response:	Supervisor-cum-coach-cum- manager-cum-dorm leader, huh?
