context: Cou-sama, are you awake? response:	I am... but it's not time to get up!
context: Cou-sama, are you awake?\I am... but it's not time to get up! response:	Yeah.
context: Cou-sama, are you awake?\I am... but it's not time to get up!\Yeah. response:	Today's the last day of Union Fest.
context: Cou-sama, are you awake?\I am... but it's not time to get up!\Yeah.\Today's the last day of Union Fest. response:	The town will be quite lively again, I'm sure.
context: Cou-sama, are you awake?\I am... but it's not time to get up!\Yeah.\Today's the last day of Union Fest.\The town will be quite lively again, I'm sure. response:	Yeah, I bet it'll be quite a party.
context: Cou-sama, are you awake?\I am... but it's not time to get up!\Yeah.\Today's the last day of Union Fest.\The town will be quite lively again, I'm sure.\Yeah, I bet it'll be quite a party. response:	I'm sad that the festivities are ending.
context: Cou-sama, are you awake?\I am... but it's not time to get up!\Yeah.\Today's the last day of Union Fest.\The town will be quite lively again, I'm sure.\Yeah, I bet it'll be quite a party.\I'm sad that the festivities are ending. response:	I wish the fun times would just continue forever!
context: Cou-sama, are you awake?\I am... but it's not time to get up!\Yeah.\Today's the last day of Union Fest.\The town will be quite lively again, I'm sure.\Yeah, I bet it'll be quite a party.\I'm sad that the festivities are ending.\I wish the fun times would just continue forever! response:	Me, too...
context: I am... but it's not time to get up!\Yeah.\Today's the last day of Union Fest.\The town will be quite lively again, I'm sure.\Yeah, I bet it'll be quite a party.\I'm sad that the festivities are ending.\I wish the fun times would just continue forever!\Me, too... response:	The three Heroes' return home is scheduled
context: Yeah.\Today's the last day of Union Fest.\The town will be quite lively again, I'm sure.\Yeah, I bet it'll be quite a party.\I'm sad that the festivities are ending.\I wish the fun times would just continue forever!\Me, too...\The three Heroes' return home is scheduled response:	for two days after the end of Union Fest.
context: Today's the last day of Union Fest.\The town will be quite lively again, I'm sure.\Yeah, I bet it'll be quite a party.\I'm sad that the festivities are ending.\I wish the fun times would just continue forever!\Me, too...\The three Heroes' return home is scheduled\for two days after the end of Union Fest. response:	The day on which we have to part is already looming...
context: The town will be quite lively again, I'm sure.\Yeah, I bet it'll be quite a party.\I'm sad that the festivities are ending.\I wish the fun times would just continue forever!\Me, too...\The three Heroes' return home is scheduled\for two days after the end of Union Fest.\The day on which we have to part is already looming... response:	We're really grateful that you're taking us, Rebecca.
context: Yeah, I bet it'll be quite a party.\I'm sad that the festivities are ending.\I wish the fun times would just continue forever!\Me, too...\The three Heroes' return home is scheduled\for two days after the end of Union Fest.\The day on which we have to part is already looming...\We're really grateful that you're taking us, Rebecca. response:	Final Stage
context: I'm sad that the festivities are ending.\I wish the fun times would just continue forever!\Me, too...\The three Heroes' return home is scheduled\for two days after the end of Union Fest.\The day on which we have to part is already looming...\We're really grateful that you're taking us, Rebecca.\Final Stage response:	Thank you!
context: I wish the fun times would just continue forever!\Me, too...\The three Heroes' return home is scheduled\for two days after the end of Union Fest.\The day on which we have to part is already looming...\We're really grateful that you're taking us, Rebecca.\Final Stage\Thank you! response:	Don't mention it.
context: Me, too...\The three Heroes' return home is scheduled\for two days after the end of Union Fest.\The day on which we have to part is already looming...\We're really grateful that you're taking us, Rebecca.\Final Stage\Thank you!\Don't mention it. response:	So today, Nanami's going to Biscotti with the Princess.
context: The three Heroes' return home is scheduled\for two days after the end of Union Fest.\The day on which we have to part is already looming...\We're really grateful that you're taking us, Rebecca.\Final Stage\Thank you!\Don't mention it.\So today, Nanami's going to Biscotti with the Princess. response:	Sink's going to Pastillage with Couverte.
context: for two days after the end of Union Fest.\The day on which we have to part is already looming...\We're really grateful that you're taking us, Rebecca.\Final Stage\Thank you!\Don't mention it.\So today, Nanami's going to Biscotti with the Princess.\Sink's going to Pastillage with Couverte. response:	And I'm going to Galette.
context: The day on which we have to part is already looming...\We're really grateful that you're taking us, Rebecca.\Final Stage\Thank you!\Don't mention it.\So today, Nanami's going to Biscotti with the Princess.\Sink's going to Pastillage with Couverte.\And I'm going to Galette. response:	It's kind of like a Hero trade.
context: We're really grateful that you're taking us, Rebecca.\Final Stage\Thank you!\Don't mention it.\So today, Nanami's going to Biscotti with the Princess.\Sink's going to Pastillage with Couverte.\And I'm going to Galette.\It's kind of like a Hero trade. response:	Indeed.
context: Final Stage\Thank you!\Don't mention it.\So today, Nanami's going to Biscotti with the Princess.\Sink's going to Pastillage with Couverte.\And I'm going to Galette.\It's kind of like a Hero trade.\Indeed. response:	We've prepared something pretty fun.
context: Thank you!\Don't mention it.\So today, Nanami's going to Biscotti with the Princess.\Sink's going to Pastillage with Couverte.\And I'm going to Galette.\It's kind of like a Hero trade.\Indeed.\We've prepared something pretty fun. response:	Nanami and Millihi have given their consent, but...
context: Don't mention it.\So today, Nanami's going to Biscotti with the Princess.\Sink's going to Pastillage with Couverte.\And I'm going to Galette.\It's kind of like a Hero trade.\Indeed.\We've prepared something pretty fun.\Nanami and Millihi have given their consent, but... response:	Rebecca, won't you play along, too?
context: So today, Nanami's going to Biscotti with the Princess.\Sink's going to Pastillage with Couverte.\And I'm going to Galette.\It's kind of like a Hero trade.\Indeed.\We've prepared something pretty fun.\Nanami and Millihi have given their consent, but...\Rebecca, won't you play along, too? response:	Now, broadcast live, the Union Fest special!
context: Sink's going to Pastillage with Couverte.\And I'm going to Galette.\It's kind of like a Hero trade.\Indeed.\We've prepared something pretty fun.\Nanami and Millihi have given their consent, but...\Rebecca, won't you play along, too?\Now, broadcast live, the Union Fest special! response:	Our guest at the studio
context: And I'm going to Galette.\It's kind of like a Hero trade.\Indeed.\We've prepared something pretty fun.\Nanami and Millihi have given their consent, but...\Rebecca, won't you play along, too?\Now, broadcast live, the Union Fest special!\Our guest at the studio response:	is the ruler of the Republic of Biscotti,
context: It's kind of like a Hero trade.\Indeed.\We've prepared something pretty fun.\Nanami and Millihi have given their consent, but...\Rebecca, won't you play along, too?\Now, broadcast live, the Union Fest special!\Our guest at the studio\is the ruler of the Republic of Biscotti, response:	Princess Millihiore!
context: Indeed.\We've prepared something pretty fun.\Nanami and Millihi have given their consent, but...\Rebecca, won't you play along, too?\Now, broadcast live, the Union Fest special!\Our guest at the studio\is the ruler of the Republic of Biscotti,\Princess Millihiore! response:	Hello.
context: We've prepared something pretty fun.\Nanami and Millihi have given their consent, but...\Rebecca, won't you play along, too?\Now, broadcast live, the Union Fest special!\Our guest at the studio\is the ruler of the Republic of Biscotti,\Princess Millihiore!\Hello. response:	Representing the Galette Lion Army,
context: Nanami and Millihi have given their consent, but...\Rebecca, won't you play along, too?\Now, broadcast live, the Union Fest special!\Our guest at the studio\is the ruler of the Republic of Biscotti,\Princess Millihiore!\Hello.\Representing the Galette Lion Army, response:	we have the ladies from Genoise!
context: Rebecca, won't you play along, too?\Now, broadcast live, the Union Fest special!\Our guest at the studio\is the ruler of the Republic of Biscotti,\Princess Millihiore!\Hello.\Representing the Galette Lion Army,\we have the ladies from Genoise! response:	Yeah!
context: Now, broadcast live, the Union Fest special!\Our guest at the studio\is the ruler of the Republic of Biscotti,\Princess Millihiore!\Hello.\Representing the Galette Lion Army,\we have the ladies from Genoise!\Yeah! response:	And right here, we have Biscotti's...
context: Our guest at the studio\is the ruler of the Republic of Biscotti,\Princess Millihiore!\Hello.\Representing the Galette Lion Army,\we have the ladies from Genoise!\Yeah!\And right here, we have Biscotti's... response:	Hiya!
context: is the ruler of the Republic of Biscotti,\Princess Millihiore!\Hello.\Representing the Galette Lion Army,\we have the ladies from Genoise!\Yeah!\And right here, we have Biscotti's...\Hiya! response:	I'm Biscotti's hero, Takatsuki Nanami!
context: Princess Millihiore!\Hello.\Representing the Galette Lion Army,\we have the ladies from Genoise!\Yeah!\And right here, we have Biscotti's...\Hiya!\I'm Biscotti's hero, Takatsuki Nanami! response:	What?!
context: Hello.\Representing the Galette Lion Army,\we have the ladies from Genoise!\Yeah!\And right here, we have Biscotti's...\Hiya!\I'm Biscotti's hero, Takatsuki Nanami!\What?! response:	Um, this hero seems to be a little different than usual...
context: Representing the Galette Lion Army,\we have the ladies from Genoise!\Yeah!\And right here, we have Biscotti's...\Hiya!\I'm Biscotti's hero, Takatsuki Nanami!\What?!\Um, this hero seems to be a little different than usual... response:	Oh, really?
context: we have the ladies from Genoise!\Yeah!\And right here, we have Biscotti's...\Hiya!\I'm Biscotti's hero, Takatsuki Nanami!\What?!\Um, this hero seems to be a little different than usual...\Oh, really? response:	I am the hero!
context: Yeah!\And right here, we have Biscotti's...\Hiya!\I'm Biscotti's hero, Takatsuki Nanami!\What?!\Um, this hero seems to be a little different than usual...\Oh, really?\I am the hero! response:	Actually, we have a little project going
context: And right here, we have Biscotti's...\Hiya!\I'm Biscotti's hero, Takatsuki Nanami!\What?!\Um, this hero seems to be a little different than usual...\Oh, really?\I am the hero!\Actually, we have a little project going response:	and Nanami-san is my Hero for today.
context: Hiya!\I'm Biscotti's hero, Takatsuki Nanami!\What?!\Um, this hero seems to be a little different than usual...\Oh, really?\I am the hero!\Actually, we have a little project going\and Nanami-san is my Hero for today. response:	A One Day Hero, so to speak.
context: I'm Biscotti's hero, Takatsuki Nanami!\What?!\Um, this hero seems to be a little different than usual...\Oh, really?\I am the hero!\Actually, we have a little project going\and Nanami-san is my Hero for today.\A One Day Hero, so to speak. response:	Lady Leo!
context: What?!\Um, this hero seems to be a little different than usual...\Oh, really?\I am the hero!\Actually, we have a little project going\and Nanami-san is my Hero for today.\A One Day Hero, so to speak.\Lady Leo! response:	Today's the final day of the Union Fest.
context: Um, this hero seems to be a little different than usual...\Oh, really?\I am the hero!\Actually, we have a little project going\and Nanami-san is my Hero for today.\A One Day Hero, so to speak.\Lady Leo!\Today's the final day of the Union Fest. response:	How do you feel about the event so far?
context: Oh, really?\I am the hero!\Actually, we have a little project going\and Nanami-san is my Hero for today.\A One Day Hero, so to speak.\Lady Leo!\Today's the final day of the Union Fest.\How do you feel about the event so far? response:	So far I have nothing to complain about. It's been perfect.
context: I am the hero!\Actually, we have a little project going\and Nanami-san is my Hero for today.\A One Day Hero, so to speak.\Lady Leo!\Today's the final day of the Union Fest.\How do you feel about the event so far?\So far I have nothing to complain about. It's been perfect. response:	Prince Gaul, a word about the Hero?
context: Actually, we have a little project going\and Nanami-san is my Hero for today.\A One Day Hero, so to speak.\Lady Leo!\Today's the final day of the Union Fest.\How do you feel about the event so far?\So far I have nothing to complain about. It's been perfect.\Prince Gaul, a word about the Hero? response:	Why not use this opportunity to talk to her directly?
context: and Nanami-san is my Hero for today.\A One Day Hero, so to speak.\Lady Leo!\Today's the final day of the Union Fest.\How do you feel about the event so far?\So far I have nothing to complain about. It's been perfect.\Prince Gaul, a word about the Hero?\Why not use this opportunity to talk to her directly? response:	Then come, my Hero!
context: A One Day Hero, so to speak.\Lady Leo!\Today's the final day of the Union Fest.\How do you feel about the event so far?\So far I have nothing to complain about. It's been perfect.\Prince Gaul, a word about the Hero?\Why not use this opportunity to talk to her directly?\Then come, my Hero! response:	Yes!
context: Lady Leo!\Today's the final day of the Union Fest.\How do you feel about the event so far?\So far I have nothing to complain about. It's been perfect.\Prince Gaul, a word about the Hero?\Why not use this opportunity to talk to her directly?\Then come, my Hero!\Yes! response:	H-Hello.
context: Today's the final day of the Union Fest.\How do you feel about the event so far?\So far I have nothing to complain about. It's been perfect.\Prince Gaul, a word about the Hero?\Why not use this opportunity to talk to her directly?\Then come, my Hero!\Yes!\H-Hello. response:	I'm Galette's hero, Rebecca.
