context: Kurahara? response:	Run with the Wind
context: Kurahara?\Run with the Wind response:	Shirakaba Loop
context: Kurahara?\Run with the Wind\Shirakaba Loop response:	Are you satisfied running with the friends you finally made?
context: Kurahara?\Run with the Wind\Shirakaba Loop\Are you satisfied running with the friends you finally made? response:	Are you satisfied holding hands and running around with your little friends?!
context: Kurahara?\Run with the Wind\Shirakaba Loop\Are you satisfied running with the friends you finally made?\Are you satisfied holding hands and running around with your little friends?! response:	Kakeru!
context: Kurahara?\Run with the Wind\Shirakaba Loop\Are you satisfied running with the friends you finally made?\Are you satisfied holding hands and running around with your little friends?!\Kakeru! response:	See? You haven't changed.
context: Kurahara?\Run with the Wind\Shirakaba Loop\Are you satisfied running with the friends you finally made?\Are you satisfied holding hands and running around with your little friends?!\Kakeru!\See? You haven't changed. response:	You're always ruining someone else's efforts.
context: Kurahara?\Run with the Wind\Shirakaba Loop\Are you satisfied running with the friends you finally made?\Are you satisfied holding hands and running around with your little friends?!\Kakeru!\See? You haven't changed.\You're always ruining someone else's efforts. response:	You don't see your teammates!
context: Run with the Wind\Shirakaba Loop\Are you satisfied running with the friends you finally made?\Are you satisfied holding hands and running around with your little friends?!\Kakeru!\See? You haven't changed.\You're always ruining someone else's efforts.\You don't see your teammates! response:	Kakeru.
context: Shirakaba Loop\Are you satisfied running with the friends you finally made?\Are you satisfied holding hands and running around with your little friends?!\Kakeru!\See? You haven't changed.\You're always ruining someone else's efforts.\You don't see your teammates!\Kakeru. response:	I don't know if you're just naturally talented,
context: Are you satisfied running with the friends you finally made?\Are you satisfied holding hands and running around with your little friends?!\Kakeru!\See? You haven't changed.\You're always ruining someone else's efforts.\You don't see your teammates!\Kakeru.\I don't know if you're just naturally talented, response:	but if you think you alone will manage somehow, you're wrong!
context: Are you satisfied holding hands and running around with your little friends?!\Kakeru!\See? You haven't changed.\You're always ruining someone else's efforts.\You don't see your teammates!\Kakeru.\I don't know if you're just naturally talented,\but if you think you alone will manage somehow, you're wrong! response:	Kakeru.
context: Kakeru!\See? You haven't changed.\You're always ruining someone else's efforts.\You don't see your teammates!\Kakeru.\I don't know if you're just naturally talented,\but if you think you alone will manage somehow, you're wrong!\Kakeru. response:	Kakeru.
context: See? You haven't changed.\You're always ruining someone else's efforts.\You don't see your teammates!\Kakeru.\I don't know if you're just naturally talented,\but if you think you alone will manage somehow, you're wrong!\Kakeru.\Kakeru. response:	Kakeru!
context: You're always ruining someone else's efforts.\You don't see your teammates!\Kakeru.\I don't know if you're just naturally talented,\but if you think you alone will manage somehow, you're wrong!\Kakeru.\Kakeru.\Kakeru! response:	Don't forget that we're here.
context: You don't see your teammates!\Kakeru.\I don't know if you're just naturally talented,\but if you think you alone will manage somehow, you're wrong!\Kakeru.\Kakeru.\Kakeru!\Don't forget that we're here. response:	What did he do?
context: Kakeru.\I don't know if you're just naturally talented,\but if you think you alone will manage somehow, you're wrong!\Kakeru.\Kakeru.\Kakeru!\Don't forget that we're here.\What did he do? response:	Hey, what are you doing?
context: I don't know if you're just naturally talented,\but if you think you alone will manage somehow, you're wrong!\Kakeru.\Kakeru.\Kakeru!\Don't forget that we're here.\What did he do?\Hey, what are you doing? response:	Get your stuff on the bus!
context: but if you think you alone will manage somehow, you're wrong!\Kakeru.\Kakeru.\Kakeru!\Don't forget that we're here.\What did he do?\Hey, what are you doing?\Get your stuff on the bus! response:	Yes, sir!
