context: It's a castle. response:	Someone's fighting?
context: It's a castle.\Someone's fighting? response:	Going through the front door would be a bad idea.
context: It's a castle.\Someone's fighting?\Going through the front door would be a bad idea. response:	Shirou, we'll enter through there.
context: It's a castle.\Someone's fighting?\Going through the front door would be a bad idea.\Shirou, we'll enter through there. response:	So that is how it is.
context: It's a castle.\Someone's fighting?\Going through the front door would be a bad idea.\Shirou, we'll enter through there.\So that is how it is. response:	Wow, that's awesome!
context: It's a castle.\Someone's fighting?\Going through the front door would be a bad idea.\Shirou, we'll enter through there.\So that is how it is.\Wow, that's awesome! response:	No way! Those were all Noble Phantasms?
context: It's a castle.\Someone's fighting?\Going through the front door would be a bad idea.\Shirou, we'll enter through there.\So that is how it is.\Wow, that's awesome!\No way! Those were all Noble Phantasms? response:	What the hell, man?
context: It's a castle.\Someone's fighting?\Going through the front door would be a bad idea.\Shirou, we'll enter through there.\So that is how it is.\Wow, that's awesome!\No way! Those were all Noble Phantasms?\What the hell, man? response:	You're crazy powerful!
context: Someone's fighting?\Going through the front door would be a bad idea.\Shirou, we'll enter through there.\So that is how it is.\Wow, that's awesome!\No way! Those were all Noble Phantasms?\What the hell, man?\You're crazy powerful! response:	By comparison, this guy wasn't as tough as he looked.
context: Going through the front door would be a bad idea.\Shirou, we'll enter through there.\So that is how it is.\Wow, that's awesome!\No way! Those were all Noble Phantasms?\What the hell, man?\You're crazy powerful!\By comparison, this guy wasn't as tough as he looked. response:	This is why I can't stand meat-heads!
context: Shirou, we'll enter through there.\So that is how it is.\Wow, that's awesome!\No way! Those were all Noble Phantasms?\What the hell, man?\You're crazy powerful!\By comparison, this guy wasn't as tough as he looked.\This is why I can't stand meat-heads! response:	If you value your life, stand back, fool.
context: So that is how it is.\Wow, that's awesome!\No way! Those were all Noble Phantasms?\What the hell, man?\You're crazy powerful!\By comparison, this guy wasn't as tough as he looked.\This is why I can't stand meat-heads!\If you value your life, stand back, fool. response:	It is far too early for laughter.
context: Wow, that's awesome!\No way! Those were all Noble Phantasms?\What the hell, man?\You're crazy powerful!\By comparison, this guy wasn't as tough as he looked.\This is why I can't stand meat-heads!\If you value your life, stand back, fool.\It is far too early for laughter. response:	I am tired of seeing heroes that do not fall when cut or burned.
context: No way! Those were all Noble Phantasms?\What the hell, man?\You're crazy powerful!\By comparison, this guy wasn't as tough as he looked.\This is why I can't stand meat-heads!\If you value your life, stand back, fool.\It is far too early for laughter.\I am tired of seeing heroes that do not fall when cut or burned. response:	But I have never seen a man truly return from the dead.
context: What the hell, man?\You're crazy powerful!\By comparison, this guy wasn't as tough as he looked.\This is why I can't stand meat-heads!\If you value your life, stand back, fool.\It is far too early for laughter.\I am tired of seeing heroes that do not fall when cut or burned.\But I have never seen a man truly return from the dead. response:	It would seem your life has been sublimated through a Noble Phantasm of heroic tales.
context: You're crazy powerful!\By comparison, this guy wasn't as tough as he looked.\This is why I can't stand meat-heads!\If you value your life, stand back, fool.\It is far too early for laughter.\I am tired of seeing heroes that do not fall when cut or burned.\But I have never seen a man truly return from the dead.\It would seem your life has been sublimated through a Noble Phantasm of heroic tales. response:	That Noble Phantasm is the one asset I lack.
context: By comparison, this guy wasn't as tough as he looked.\This is why I can't stand meat-heads!\If you value your life, stand back, fool.\It is far too early for laughter.\I am tired of seeing heroes that do not fall when cut or burned.\But I have never seen a man truly return from the dead.\It would seem your life has been sublimated through a Noble Phantasm of heroic tales.\That Noble Phantasm is the one asset I lack. response:	In that sense, I suppose even I stand at a disadvantage.
context: This is why I can't stand meat-heads!\If you value your life, stand back, fool.\It is far too early for laughter.\I am tired of seeing heroes that do not fall when cut or burned.\But I have never seen a man truly return from the dead.\It would seem your life has been sublimated through a Noble Phantasm of heroic tales.\That Noble Phantasm is the one asset I lack.\In that sense, I suppose even I stand at a disadvantage. response:	Although vexing, it seems only the highest class of arms will work on that man.
context: If you value your life, stand back, fool.\It is far too early for laughter.\I am tired of seeing heroes that do not fall when cut or burned.\But I have never seen a man truly return from the dead.\It would seem your life has been sublimated through a Noble Phantasm of heroic tales.\That Noble Phantasm is the one asset I lack.\In that sense, I suppose even I stand at a disadvantage.\Although vexing, it seems only the highest class of arms will work on that man. response:	It is said Heracles overcame twelve penances,
context: It is far too early for laughter.\I am tired of seeing heroes that do not fall when cut or burned.\But I have never seen a man truly return from the dead.\It would seem your life has been sublimated through a Noble Phantasm of heroic tales.\That Noble Phantasm is the one asset I lack.\In that sense, I suppose even I stand at a disadvantage.\Although vexing, it seems only the highest class of arms will work on that man.\It is said Heracles overcame twelve penances, response:	He is unyielding,
context: I am tired of seeing heroes that do not fall when cut or burned.\But I have never seen a man truly return from the dead.\It would seem your life has been sublimated through a Noble Phantasm of heroic tales.\That Noble Phantasm is the one asset I lack.\In that sense, I suppose even I stand at a disadvantage.\Although vexing, it seems only the highest class of arms will work on that man.\It is said Heracles overcame twelve penances,\He is unyielding, response:	the ultimate expression of human perseverance.
context: But I have never seen a man truly return from the dead.\It would seem your life has been sublimated through a Noble Phantasm of heroic tales.\That Noble Phantasm is the one asset I lack.\In that sense, I suppose even I stand at a disadvantage.\Although vexing, it seems only the highest class of arms will work on that man.\It is said Heracles overcame twelve penances,\He is unyielding,\the ultimate expression of human perseverance. response:	My treasury, however, is the exact opposite.
context: It would seem your life has been sublimated through a Noble Phantasm of heroic tales.\That Noble Phantasm is the one asset I lack.\In that sense, I suppose even I stand at a disadvantage.\Although vexing, it seems only the highest class of arms will work on that man.\It is said Heracles overcame twelve penances,\He is unyielding,\the ultimate expression of human perseverance.\My treasury, however, is the exact opposite. response:	It is infinite, the ultimate expression of overwhelming force.
context: That Noble Phantasm is the one asset I lack.\In that sense, I suppose even I stand at a disadvantage.\Although vexing, it seems only the highest class of arms will work on that man.\It is said Heracles overcame twelve penances,\He is unyielding,\the ultimate expression of human perseverance.\My treasury, however, is the exact opposite.\It is infinite, the ultimate expression of overwhelming force. response:	As you can see, it overflows with weaponry to slay heroes.
context: In that sense, I suppose even I stand at a disadvantage.\Although vexing, it seems only the highest class of arms will work on that man.\It is said Heracles overcame twelve penances,\He is unyielding,\the ultimate expression of human perseverance.\My treasury, however, is the exact opposite.\It is infinite, the ultimate expression of overwhelming force.\As you can see, it overflows with weaponry to slay heroes. response:	Stop playing at being a nursemaid, Heracles.
context: Although vexing, it seems only the highest class of arms will work on that man.\It is said Heracles overcame twelve penances,\He is unyielding,\the ultimate expression of human perseverance.\My treasury, however, is the exact opposite.\It is infinite, the ultimate expression of overwhelming force.\As you can see, it overflows with weaponry to slay heroes.\Stop playing at being a nursemaid, Heracles. response:	Fight me in earnest,
context: It is said Heracles overcame twelve penances,\He is unyielding,\the ultimate expression of human perseverance.\My treasury, however, is the exact opposite.\It is infinite, the ultimate expression of overwhelming force.\As you can see, it overflows with weaponry to slay heroes.\Stop playing at being a nursemaid, Heracles.\Fight me in earnest, response:	or you will use up all your labors.
context: He is unyielding,\the ultimate expression of human perseverance.\My treasury, however, is the exact opposite.\It is infinite, the ultimate expression of overwhelming force.\As you can see, it overflows with weaponry to slay heroes.\Stop playing at being a nursemaid, Heracles.\Fight me in earnest,\or you will use up all your labors. response:	Berserker won't lose to anyone...
context: the ultimate expression of human perseverance.\My treasury, however, is the exact opposite.\It is infinite, the ultimate expression of overwhelming force.\As you can see, it overflows with weaponry to slay heroes.\Stop playing at being a nursemaid, Heracles.\Fight me in earnest,\or you will use up all your labors.\Berserker won't lose to anyone... response:	Because he's the strongest in the world!
context: My treasury, however, is the exact opposite.\It is infinite, the ultimate expression of overwhelming force.\As you can see, it overflows with weaponry to slay heroes.\Stop playing at being a nursemaid, Heracles.\Fight me in earnest,\or you will use up all your labors.\Berserker won't lose to anyone...\Because he's the strongest in the world! response:	He's back!
context: It is infinite, the ultimate expression of overwhelming force.\As you can see, it overflows with weaponry to slay heroes.\Stop playing at being a nursemaid, Heracles.\Fight me in earnest,\or you will use up all your labors.\Berserker won't lose to anyone...\Because he's the strongest in the world!\He's back! response:	Mother?
context: As you can see, it overflows with weaponry to slay heroes.\Stop playing at being a nursemaid, Heracles.\Fight me in earnest,\or you will use up all your labors.\Berserker won't lose to anyone...\Because he's the strongest in the world!\He's back!\Mother? response:	Your mother was destroyed...
context: Stop playing at being a nursemaid, Heracles.\Fight me in earnest,\or you will use up all your labors.\Berserker won't lose to anyone...\Because he's the strongest in the world!\He's back!\Mother?\Your mother was destroyed... response:	Killed at the hands of the man she loved above all others.
context: Fight me in earnest,\or you will use up all your labors.\Berserker won't lose to anyone...\Because he's the strongest in the world!\He's back!\Mother?\Your mother was destroyed...\Killed at the hands of the man she loved above all others. response:	What are you saying?
context: or you will use up all your labors.\Berserker won't lose to anyone...\Because he's the strongest in the world!\He's back!\Mother?\Your mother was destroyed...\Killed at the hands of the man she loved above all others.\What are you saying? response:	Mother said that she would become the Holy Grail,
context: Berserker won't lose to anyone...\Because he's the strongest in the world!\He's back!\Mother?\Your mother was destroyed...\Killed at the hands of the man she loved above all others.\What are you saying?\Mother said that she would become the Holy Grail, response:	and Kiritsugu would keep her safe.
context: Because he's the strongest in the world!\He's back!\Mother?\Your mother was destroyed...\Killed at the hands of the man she loved above all others.\What are you saying?\Mother said that she would become the Holy Grail,\and Kiritsugu would keep her safe. response:	Betrayed...
