context: Miuna. You're going to catch a cold, so let's... response:	I've got sand in my mouth, damn it.
context: Miuna. You're going to catch a cold, so let's...\I've got sand in my mouth, damn it. response:	Uroko-sama doesn't hold back at all.
context: Miuna. You're going to catch a cold, so let's...\I've got sand in my mouth, damn it.\Uroko-sama doesn't hold back at all. response:	Not to mention, Dad...
context: Miuna. You're going to catch a cold, so let's...\I've got sand in my mouth, damn it.\Uroko-sama doesn't hold back at all.\Not to mention, Dad... response:	Hey, Hikari.
context: Miuna. You're going to catch a cold, so let's...\I've got sand in my mouth, damn it.\Uroko-sama doesn't hold back at all.\Not to mention, Dad...\Hey, Hikari. response:	Maybe you shouldn't
context: Miuna. You're going to catch a cold, so let's...\I've got sand in my mouth, damn it.\Uroko-sama doesn't hold back at all.\Not to mention, Dad...\Hey, Hikari.\Maybe you shouldn't response:	You're not wrong at all, Akari!
context: Miuna. You're going to catch a cold, so let's...\I've got sand in my mouth, damn it.\Uroko-sama doesn't hold back at all.\Not to mention, Dad...\Hey, Hikari.\Maybe you shouldn't\You're not wrong at all, Akari! response:	Even I understand that, so why can't the adults...
context: Miuna. You're going to catch a cold, so let's...\I've got sand in my mouth, damn it.\Uroko-sama doesn't hold back at all.\Not to mention, Dad...\Hey, Hikari.\Maybe you shouldn't\You're not wrong at all, Akari!\Even I understand that, so why can't the adults... response:	I'm not going to give up!
context: I've got sand in my mouth, damn it.\Uroko-sama doesn't hold back at all.\Not to mention, Dad...\Hey, Hikari.\Maybe you shouldn't\You're not wrong at all, Akari!\Even I understand that, so why can't the adults...\I'm not going to give up! response:	Not on dad, not on the Ofunehiki...
context: Uroko-sama doesn't hold back at all.\Not to mention, Dad...\Hey, Hikari.\Maybe you shouldn't\You're not wrong at all, Akari!\Even I understand that, so why can't the adults...\I'm not going to give up!\Not on dad, not on the Ofunehiki... response:	And not on you, Akari.
context: Not to mention, Dad...\Hey, Hikari.\Maybe you shouldn't\You're not wrong at all, Akari!\Even I understand that, so why can't the adults...\I'm not going to give up!\Not on dad, not on the Ofunehiki...\And not on you, Akari. response:	Hikari...
