context: Uprisings are breaking out all over Sistina. response:	What good will it do for the people to make a commotion?
context: Uprisings are breaking out all over Sistina.\What good will it do for the people to make a commotion? response:	They all fear us.
context: Uprisings are breaking out all over Sistina.\What good will it do for the people to make a commotion?\They all fear us. response:	Nothing would happen.
context: Uprisings are breaking out all over Sistina.\What good will it do for the people to make a commotion?\They all fear us.\Nothing would happen. response:	Still, a single spark of revolt is all it takes. It could very well burst into flames.
context: Uprisings are breaking out all over Sistina.\What good will it do for the people to make a commotion?\They all fear us.\Nothing would happen.\Still, a single spark of revolt is all it takes. It could very well burst into flames. response:	The impact of someone calling himself Cornaro and slaying a Rossini is undeniably huge.
context: Uprisings are breaking out all over Sistina.\What good will it do for the people to make a commotion?\They all fear us.\Nothing would happen.\Still, a single spark of revolt is all it takes. It could very well burst into flames.\The impact of someone calling himself Cornaro and slaying a Rossini is undeniably huge. response:	In fact, more supporters of Theo Cornaro have been assembling in Marza.
context: Uprisings are breaking out all over Sistina.\What good will it do for the people to make a commotion?\They all fear us.\Nothing would happen.\Still, a single spark of revolt is all it takes. It could very well burst into flames.\The impact of someone calling himself Cornaro and slaying a Rossini is undeniably huge.\In fact, more supporters of Theo Cornaro have been assembling in Marza. response:	A ragtag bunch of bottom-feeders like that. I'll be glad to crush them myself!
context: Uprisings are breaking out all over Sistina.\What good will it do for the people to make a commotion?\They all fear us.\Nothing would happen.\Still, a single spark of revolt is all it takes. It could very well burst into flames.\The impact of someone calling himself Cornaro and slaying a Rossini is undeniably huge.\In fact, more supporters of Theo Cornaro have been assembling in Marza.\A ragtag bunch of bottom-feeders like that. I'll be glad to crush them myself! response:	Let me leave right now! I'll be the one to avenge Salvador!
context: What good will it do for the people to make a commotion?\They all fear us.\Nothing would happen.\Still, a single spark of revolt is all it takes. It could very well burst into flames.\The impact of someone calling himself Cornaro and slaying a Rossini is undeniably huge.\In fact, more supporters of Theo Cornaro have been assembling in Marza.\A ragtag bunch of bottom-feeders like that. I'll be glad to crush them myself!\Let me leave right now! I'll be the one to avenge Salvador! response:	Surely, they won't stop at Marza.
context: They all fear us.\Nothing would happen.\Still, a single spark of revolt is all it takes. It could very well burst into flames.\The impact of someone calling himself Cornaro and slaying a Rossini is undeniably huge.\In fact, more supporters of Theo Cornaro have been assembling in Marza.\A ragtag bunch of bottom-feeders like that. I'll be glad to crush them myself!\Let me leave right now! I'll be the one to avenge Salvador!\Surely, they won't stop at Marza. response:	The people in neighboring towns will probably join the revolt.
context: Nothing would happen.\Still, a single spark of revolt is all it takes. It could very well burst into flames.\The impact of someone calling himself Cornaro and slaying a Rossini is undeniably huge.\In fact, more supporters of Theo Cornaro have been assembling in Marza.\A ragtag bunch of bottom-feeders like that. I'll be glad to crush them myself!\Let me leave right now! I'll be the one to avenge Salvador!\Surely, they won't stop at Marza.\The people in neighboring towns will probably join the revolt. response:	It would be wiser to leave after you've gathered sufficient troops.
context: Still, a single spark of revolt is all it takes. It could very well burst into flames.\The impact of someone calling himself Cornaro and slaying a Rossini is undeniably huge.\In fact, more supporters of Theo Cornaro have been assembling in Marza.\A ragtag bunch of bottom-feeders like that. I'll be glad to crush them myself!\Let me leave right now! I'll be the one to avenge Salvador!\Surely, they won't stop at Marza.\The people in neighboring towns will probably join the revolt.\It would be wiser to leave after you've gathered sufficient troops. response:	How can you be so nonchalant?
context: The impact of someone calling himself Cornaro and slaying a Rossini is undeniably huge.\In fact, more supporters of Theo Cornaro have been assembling in Marza.\A ragtag bunch of bottom-feeders like that. I'll be glad to crush them myself!\Let me leave right now! I'll be the one to avenge Salvador!\Surely, they won't stop at Marza.\The people in neighboring towns will probably join the revolt.\It would be wiser to leave after you've gathered sufficient troops.\How can you be so nonchalant? response:	No, Juzel is right about that.
context: In fact, more supporters of Theo Cornaro have been assembling in Marza.\A ragtag bunch of bottom-feeders like that. I'll be glad to crush them myself!\Let me leave right now! I'll be the one to avenge Salvador!\Surely, they won't stop at Marza.\The people in neighboring towns will probably join the revolt.\It would be wiser to leave after you've gathered sufficient troops.\How can you be so nonchalant?\No, Juzel is right about that. response:	Dorni, gather 3,000, no, make that 5,000 soldiers!
context: A ragtag bunch of bottom-feeders like that. I'll be glad to crush them myself!\Let me leave right now! I'll be the one to avenge Salvador!\Surely, they won't stop at Marza.\The people in neighboring towns will probably join the revolt.\It would be wiser to leave after you've gathered sufficient troops.\How can you be so nonchalant?\No, Juzel is right about that.\Dorni, gather 3,000, no, make that 5,000 soldiers! response:	Five thousand? You don't have confidence in me?
context: Let me leave right now! I'll be the one to avenge Salvador!\Surely, they won't stop at Marza.\The people in neighboring towns will probably join the revolt.\It would be wiser to leave after you've gathered sufficient troops.\How can you be so nonchalant?\No, Juzel is right about that.\Dorni, gather 3,000, no, make that 5,000 soldiers!\Five thousand? You don't have confidence in me? response:	Salvador only took a few hundred men, and because of that, he perished.
context: Surely, they won't stop at Marza.\The people in neighboring towns will probably join the revolt.\It would be wiser to leave after you've gathered sufficient troops.\How can you be so nonchalant?\No, Juzel is right about that.\Dorni, gather 3,000, no, make that 5,000 soldiers!\Five thousand? You don't have confidence in me?\Salvador only took a few hundred men, and because of that, he perished. response:	If I were to lose you, too, what will become of the Rossini family?
