context: Yo! Over here. response:	Sorry for calling you out on such short notice.
context: Yo! Over here.\Sorry for calling you out on such short notice. response:	I didn't expect Menma's father would get in the way.
context: Yo! Over here.\Sorry for calling you out on such short notice.\I didn't expect Menma's father would get in the way. response:	That's exactly why we're going there now.
context: Yo! Over here.\Sorry for calling you out on such short notice.\I didn't expect Menma's father would get in the way.\That's exactly why we're going there now. response:	We can corner Menma's mom while her dad is away.
context: Yo! Over here.\Sorry for calling you out on such short notice.\I didn't expect Menma's father would get in the way.\That's exactly why we're going there now.\We can corner Menma's mom while her dad is away. response:	Her mom will definitely side with us.
context: Yo! Over here.\Sorry for calling you out on such short notice.\I didn't expect Menma's father would get in the way.\That's exactly why we're going there now.\We can corner Menma's mom while her dad is away.\Her mom will definitely side with us. response:	You're right.
context: Yo! Over here.\Sorry for calling you out on such short notice.\I didn't expect Menma's father would get in the way.\That's exactly why we're going there now.\We can corner Menma's mom while her dad is away.\Her mom will definitely side with us.\You're right. response:	She even gave us Menma's diary. I'm sure she'd do anything for Menma.
context: Yo! Over here.\Sorry for calling you out on such short notice.\I didn't expect Menma's father would get in the way.\That's exactly why we're going there now.\We can corner Menma's mom while her dad is away.\Her mom will definitely side with us.\You're right.\She even gave us Menma's diary. I'm sure she'd do anything for Menma. response:	Menma.
context: Sorry for calling you out on such short notice.\I didn't expect Menma's father would get in the way.\That's exactly why we're going there now.\We can corner Menma's mom while her dad is away.\Her mom will definitely side with us.\You're right.\She even gave us Menma's diary. I'm sure she'd do anything for Menma.\Menma. response:	If she knew I went to her house again without telling her anything...
context: I didn't expect Menma's father would get in the way.\That's exactly why we're going there now.\We can corner Menma's mom while her dad is away.\Her mom will definitely side with us.\You're right.\She even gave us Menma's diary. I'm sure she'd do anything for Menma.\Menma.\If she knew I went to her house again without telling her anything... response:	I'm sure she'd be angry.
context: That's exactly why we're going there now.\We can corner Menma's mom while her dad is away.\Her mom will definitely side with us.\You're right.\She even gave us Menma's diary. I'm sure she'd do anything for Menma.\Menma.\If she knew I went to her house again without telling her anything...\I'm sure she'd be angry. response:	Wow, Atsumu and Chiriko came too this time. I'm so happy to see you.
