context: I don't want you to hate me. response:	There you go, saying things like that.
context: I don't want you to hate me.\There you go, saying things like that. response:	Teasing me again...
context: I don't want you to hate me.\There you go, saying things like that.\Teasing me again... response:	You piss me off.
context: I don't want you to hate me.\There you go, saying things like that.\Teasing me again...\You piss me off. response:	But, I am a little grateful to you.
context: I don't want you to hate me.\There you go, saying things like that.\Teasing me again...\You piss me off.\But, I am a little grateful to you. response:	Will I forget this sort of feeling, too?
context: I don't want you to hate me.\There you go, saying things like that.\Teasing me again...\You piss me off.\But, I am a little grateful to you.\Will I forget this sort of feeling, too? response:	I haven't properly said thank you yet.
context: I don't want you to hate me.\There you go, saying things like that.\Teasing me again...\You piss me off.\But, I am a little grateful to you.\Will I forget this sort of feeling, too?\I haven't properly said thank you yet. response:	You don't have to.
context: I don't want you to hate me.\There you go, saying things like that.\Teasing me again...\You piss me off.\But, I am a little grateful to you.\Will I forget this sort of feeling, too?\I haven't properly said thank you yet.\You don't have to. response:	I'll come save you as many times as needed.
context: There you go, saying things like that.\Teasing me again...\You piss me off.\But, I am a little grateful to you.\Will I forget this sort of feeling, too?\I haven't properly said thank you yet.\You don't have to.\I'll come save you as many times as needed. response:	I'll make you fall for me as many times as needed.
context: Teasing me again...\You piss me off.\But, I am a little grateful to you.\Will I forget this sort of feeling, too?\I haven't properly said thank you yet.\You don't have to.\I'll come save you as many times as needed.\I'll make you fall for me as many times as needed. response:	Leave it all to your Master.
context: You piss me off.\But, I am a little grateful to you.\Will I forget this sort of feeling, too?\I haven't properly said thank you yet.\You don't have to.\I'll come save you as many times as needed.\I'll make you fall for me as many times as needed.\Leave it all to your Master. response:	What...kind of...lunacy...is...that?
context: But, I am a little grateful to you.\Will I forget this sort of feeling, too?\I haven't properly said thank you yet.\You don't have to.\I'll come save you as many times as needed.\I'll make you fall for me as many times as needed.\Leave it all to your Master.\What...kind of...lunacy...is...that? response:	23 hours and 55 minutes.
context: Will I forget this sort of feeling, too?\I haven't properly said thank you yet.\You don't have to.\I'll come save you as many times as needed.\I'll make you fall for me as many times as needed.\Leave it all to your Master.\What...kind of...lunacy...is...that?\23 hours and 55 minutes. response:	Just 5 minutes short.
context: I haven't properly said thank you yet.\You don't have to.\I'll come save you as many times as needed.\I'll make you fall for me as many times as needed.\Leave it all to your Master.\What...kind of...lunacy...is...that?\23 hours and 55 minutes.\Just 5 minutes short. response:	Looks like I won.
context: You don't have to.\I'll come save you as many times as needed.\I'll make you fall for me as many times as needed.\Leave it all to your Master.\What...kind of...lunacy...is...that?\23 hours and 55 minutes.\Just 5 minutes short.\Looks like I won. response:	You should step down from the position of the Prez's knight now.
context: I'll come save you as many times as needed.\I'll make you fall for me as many times as needed.\Leave it all to your Master.\What...kind of...lunacy...is...that?\23 hours and 55 minutes.\Just 5 minutes short.\Looks like I won.\You should step down from the position of the Prez's knight now. response:	If she seriously starts to hate you, this won't be fun for you at all.
context: I'll make you fall for me as many times as needed.\Leave it all to your Master.\What...kind of...lunacy...is...that?\23 hours and 55 minutes.\Just 5 minutes short.\Looks like I won.\You should step down from the position of the Prez's knight now.\If she seriously starts to hate you, this won't be fun for you at all. response:	Kanou.
context: Leave it all to your Master.\What...kind of...lunacy...is...that?\23 hours and 55 minutes.\Just 5 minutes short.\Looks like I won.\You should step down from the position of the Prez's knight now.\If she seriously starts to hate you, this won't be fun for you at all.\Kanou. response:	Do you really want me to get serious?
context: What...kind of...lunacy...is...that?\23 hours and 55 minutes.\Just 5 minutes short.\Looks like I won.\You should step down from the position of the Prez's knight now.\If she seriously starts to hate you, this won't be fun for you at all.\Kanou.\Do you really want me to get serious? response:	I-It's no use threatening me now.
context: 23 hours and 55 minutes.\Just 5 minutes short.\Looks like I won.\You should step down from the position of the Prez's knight now.\If she seriously starts to hate you, this won't be fun for you at all.\Kanou.\Do you really want me to get serious?\I-It's no use threatening me now. response:	Prez is asleep.
context: Just 5 minutes short.\Looks like I won.\You should step down from the position of the Prez's knight now.\If she seriously starts to hate you, this won't be fun for you at all.\Kanou.\Do you really want me to get serious?\I-It's no use threatening me now.\Prez is asleep. response:	When she wakes up...
context: Looks like I won.\You should step down from the position of the Prez's knight now.\If she seriously starts to hate you, this won't be fun for you at all.\Kanou.\Do you really want me to get serious?\I-It's no use threatening me now.\Prez is asleep.\When she wakes up... response:	Who's asleep?
context: You should step down from the position of the Prez's knight now.\If she seriously starts to hate you, this won't be fun for you at all.\Kanou.\Do you really want me to get serious?\I-It's no use threatening me now.\Prez is asleep.\When she wakes up...\Who's asleep? response:	Listening to Usui's crazy lines,
context: If she seriously starts to hate you, this won't be fun for you at all.\Kanou.\Do you really want me to get serious?\I-It's no use threatening me now.\Prez is asleep.\When she wakes up...\Who's asleep?\Listening to Usui's crazy lines, response:	It made me irritated, and I couldn't fall asleep.
context: Kanou.\Do you really want me to get serious?\I-It's no use threatening me now.\Prez is asleep.\When she wakes up...\Who's asleep?\Listening to Usui's crazy lines,\It made me irritated, and I couldn't fall asleep. response:	Kanou!
context: Do you really want me to get serious?\I-It's no use threatening me now.\Prez is asleep.\When she wakes up...\Who's asleep?\Listening to Usui's crazy lines,\It made me irritated, and I couldn't fall asleep.\Kanou! response:	You've gone too far for me to care that you're not good with girls.
context: I-It's no use threatening me now.\Prez is asleep.\When she wakes up...\Who's asleep?\Listening to Usui's crazy lines,\It made me irritated, and I couldn't fall asleep.\Kanou!\You've gone too far for me to care that you're not good with girls. response:	I'll put you through the ultimate punishment.
context: Prez is asleep.\When she wakes up...\Who's asleep?\Listening to Usui's crazy lines,\It made me irritated, and I couldn't fall asleep.\Kanou!\You've gone too far for me to care that you're not good with girls.\I'll put you through the ultimate punishment. response:	Open house notice?
context: When she wakes up...\Who's asleep?\Listening to Usui's crazy lines,\It made me irritated, and I couldn't fall asleep.\Kanou!\You've gone too far for me to care that you're not good with girls.\I'll put you through the ultimate punishment.\Open house notice? response:	It's that thing, right? Where the campus opens for the seniors in junior high.
context: Who's asleep?\Listening to Usui's crazy lines,\It made me irritated, and I couldn't fall asleep.\Kanou!\You've gone too far for me to care that you're not good with girls.\I'll put you through the ultimate punishment.\Open house notice?\It's that thing, right? Where the campus opens for the seniors in junior high. response:	Must get new members!
context: Listening to Usui's crazy lines,\It made me irritated, and I couldn't fall asleep.\Kanou!\You've gone too far for me to care that you're not good with girls.\I'll put you through the ultimate punishment.\Open house notice?\It's that thing, right? Where the campus opens for the seniors in junior high.\Must get new members! response:	Recruitment starts tomorrow!
context: It made me irritated, and I couldn't fall asleep.\Kanou!\You've gone too far for me to care that you're not good with girls.\I'll put you through the ultimate punishment.\Open house notice?\It's that thing, right? Where the campus opens for the seniors in junior high.\Must get new members!\Recruitment starts tomorrow! response:	Find the new ace!
context: Kanou!\You've gone too far for me to care that you're not good with girls.\I'll put you through the ultimate punishment.\Open house notice?\It's that thing, right? Where the campus opens for the seniors in junior high.\Must get new members!\Recruitment starts tomorrow!\Find the new ace! response:	It happens on the weekend, and showing off the clubs is the main point, so it's got nothing to do with us.
context: You've gone too far for me to care that you're not good with girls.\I'll put you through the ultimate punishment.\Open house notice?\It's that thing, right? Where the campus opens for the seniors in junior high.\Must get new members!\Recruitment starts tomorrow!\Find the new ace!\It happens on the weekend, and showing off the clubs is the main point, so it's got nothing to do with us. response:	No, I heard they'll do more than just showing off the clubs.
context: I'll put you through the ultimate punishment.\Open house notice?\It's that thing, right? Where the campus opens for the seniors in junior high.\Must get new members!\Recruitment starts tomorrow!\Find the new ace!\It happens on the weekend, and showing off the clubs is the main point, so it's got nothing to do with us.\No, I heard they'll do more than just showing off the clubs. response:	Seven mysteries?
context: Open house notice?\It's that thing, right? Where the campus opens for the seniors in junior high.\Must get new members!\Recruitment starts tomorrow!\Find the new ace!\It happens on the weekend, and showing off the clubs is the main point, so it's got nothing to do with us.\No, I heard they'll do more than just showing off the clubs.\Seven mysteries? response:	Healing spot?
context: It's that thing, right? Where the campus opens for the seniors in junior high.\Must get new members!\Recruitment starts tomorrow!\Find the new ace!\It happens on the weekend, and showing off the clubs is the main point, so it's got nothing to do with us.\No, I heard they'll do more than just showing off the clubs.\Seven mysteries?\Healing spot? response:	Cafeteria staff?
context: Must get new members!\Recruitment starts tomorrow!\Find the new ace!\It happens on the weekend, and showing off the clubs is the main point, so it's got nothing to do with us.\No, I heard they'll do more than just showing off the clubs.\Seven mysteries?\Healing spot?\Cafeteria staff? response:	Wow! Cafeteria stuff? Cool!
context: Recruitment starts tomorrow!\Find the new ace!\It happens on the weekend, and showing off the clubs is the main point, so it's got nothing to do with us.\No, I heard they'll do more than just showing off the clubs.\Seven mysteries?\Healing spot?\Cafeteria staff?\Wow! Cafeteria stuff? Cool! response:	It looks like you'll be doing various things this year.
context: Find the new ace!\It happens on the weekend, and showing off the clubs is the main point, so it's got nothing to do with us.\No, I heard they'll do more than just showing off the clubs.\Seven mysteries?\Healing spot?\Cafeteria staff?\Wow! Cafeteria stuff? Cool!\It looks like you'll be doing various things this year. response:	I want to make a cute cafeteria in the middle of the tour course as a rest area.
context: It happens on the weekend, and showing off the clubs is the main point, so it's got nothing to do with us.\No, I heard they'll do more than just showing off the clubs.\Seven mysteries?\Healing spot?\Cafeteria staff?\Wow! Cafeteria stuff? Cool!\It looks like you'll be doing various things this year.\I want to make a cute cafeteria in the middle of the tour course as a rest area. response:	And I want to make it an environment where even the middle school students can blend in.
context: No, I heard they'll do more than just showing off the clubs.\Seven mysteries?\Healing spot?\Cafeteria staff?\Wow! Cafeteria stuff? Cool!\It looks like you'll be doing various things this year.\I want to make a cute cafeteria in the middle of the tour course as a rest area.\And I want to make it an environment where even the middle school students can blend in. response:	I know the preparation for it will be hard work, but could you guys help out?
context: Seven mysteries?\Healing spot?\Cafeteria staff?\Wow! Cafeteria stuff? Cool!\It looks like you'll be doing various things this year.\I want to make a cute cafeteria in the middle of the tour course as a rest area.\And I want to make it an environment where even the middle school students can blend in.\I know the preparation for it will be hard work, but could you guys help out? response:	I need assistance.
context: Healing spot?\Cafeteria staff?\Wow! Cafeteria stuff? Cool!\It looks like you'll be doing various things this year.\I want to make a cute cafeteria in the middle of the tour course as a rest area.\And I want to make it an environment where even the middle school students can blend in.\I know the preparation for it will be hard work, but could you guys help out?\I need assistance. response:	Of course!
