context: OP response:	OP
context: OP\OP response:	ED
context: OP\OP\ED response:	Part the First
context: OP\OP\ED\Part the First response:	Mr. Medicine Seller,
context: OP\OP\ED\Part the First\Mr. Medicine Seller, response:	we dont want none.
context: OP\OP\ED\Part the First\Mr. Medicine Seller,\we dont want none. response:	Youll scare off the customers, standing there like that.
context: OP\OP\ED\Part the First\Mr. Medicine Seller,\we dont want none.\Youll scare off the customers, standing there like that. response:	Ill have to ask you to leave.
context: OP\OP\ED\Part the First\Mr. Medicine Seller,\we dont want none.\Youll scare off the customers, standing there like that.\Ill have to ask you to leave. response:	No, no.
context: OP\ED\Part the First\Mr. Medicine Seller,\we dont want none.\Youll scare off the customers, standing there like that.\Ill have to ask you to leave.\No, no. response:	Id like a room
context: ED\Part the First\Mr. Medicine Seller,\we dont want none.\Youll scare off the customers, standing there like that.\Ill have to ask you to leave.\No, no.\Id like a room response:	for the night.
context: Part the First\Mr. Medicine Seller,\we dont want none.\Youll scare off the customers, standing there like that.\Ill have to ask you to leave.\No, no.\Id like a room\for the night. response:	Yes, please.
context: Mr. Medicine Seller,\we dont want none.\Youll scare off the customers, standing there like that.\Ill have to ask you to leave.\No, no.\Id like a room\for the night.\Yes, please. response:	Yes, please.
context: we dont want none.\Youll scare off the customers, standing there like that.\Ill have to ask you to leave.\No, no.\Id like a room\for the night.\Yes, please.\Yes, please. response:	Oh my.
context: Youll scare off the customers, standing there like that.\Ill have to ask you to leave.\No, no.\Id like a room\for the night.\Yes, please.\Yes, please.\Oh my. response:	Long time no see
context: Ill have to ask you to leave.\No, no.\Id like a room\for the night.\Yes, please.\Yes, please.\Oh my.\Long time no see response:	The blue moon illuminated
context: No, no.\Id like a room\for the night.\Yes, please.\Yes, please.\Oh my.\Long time no see\The blue moon illuminated response:	your wandering shadow.
context: Id like a room\for the night.\Yes, please.\Yes, please.\Oh my.\Long time no see\The blue moon illuminated\your wandering shadow. response:	I could never tell you all I wanted to say.
context: for the night.\Yes, please.\Yes, please.\Oh my.\Long time no see\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say. response:	It was so very frustrating.
context: Yes, please.\Yes, please.\Oh my.\Long time no see\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating. response:	I think about your faked smile,
context: Yes, please.\Oh my.\Long time no see\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile, response:	and forget all the hot tears we shed.
context: Oh my.\Long time no see\The blue moon illuminated\your wandering shadow.\I could never tell you all I wanted to say.\It was so very frustrating.\I think about your faked smile,\and forget all the hot tears we shed. response:	What do these empty husks,
