context: Tch. response:	Oh.
context: Tch.\Oh. response:	Oh...
context: Tch.\Oh.\Oh... response:	Ergh! Ugh!
context: Tch.\Oh.\Oh...\Ergh! Ugh! response:	Huh?
context: Tch.\Oh.\Oh...\Ergh! Ugh!\Huh? response:	Ah!
context: Tch.\Oh.\Oh...\Ergh! Ugh!\Huh?\Ah! response:	AAAh!
context: Tch.\Oh.\Oh...\Ergh! Ugh!\Huh?\Ah!\AAAh! response:	I'm off.
context: Tch.\Oh.\Oh...\Ergh! Ugh!\Huh?\Ah!\AAAh!\I'm off. response:	You idiot!
context: Oh.\Oh...\Ergh! Ugh!\Huh?\Ah!\AAAh!\I'm off.\You idiot! response:	Didn't Manato come here sometimes?
context: Oh...\Ergh! Ugh!\Huh?\Ah!\AAAh!\I'm off.\You idiot!\Didn't Manato come here sometimes? response:	I can't take this anymore. I'm serious.
context: Ergh! Ugh!\Huh?\Ah!\AAAh!\I'm off.\You idiot!\Didn't Manato come here sometimes?\I can't take this anymore. I'm serious. response:	That's it. I'm done.
context: Huh?\Ah!\AAAh!\I'm off.\You idiot!\Didn't Manato come here sometimes?\I can't take this anymore. I'm serious.\That's it. I'm done. response:	What do you mean?
context: Ah!\AAAh!\I'm off.\You idiot!\Didn't Manato come here sometimes?\I can't take this anymore. I'm serious.\That's it. I'm done.\What do you mean? response:	I will be careful from now on. I mean it.
context: AAAh!\I'm off.\You idiot!\Didn't Manato come here sometimes?\I can't take this anymore. I'm serious.\That's it. I'm done.\What do you mean?\I will be careful from now on. I mean it. response:	Oh... yeah.
context: I'm off.\You idiot!\Didn't Manato come here sometimes?\I can't take this anymore. I'm serious.\That's it. I'm done.\What do you mean?\I will be careful from now on. I mean it.\Oh... yeah. response:	No, man.
context: You idiot!\Didn't Manato come here sometimes?\I can't take this anymore. I'm serious.\That's it. I'm done.\What do you mean?\I will be careful from now on. I mean it.\Oh... yeah.\No, man. response:	He died... yesterday.
context: Didn't Manato come here sometimes?\I can't take this anymore. I'm serious.\That's it. I'm done.\What do you mean?\I will be careful from now on. I mean it.\Oh... yeah.\No, man.\He died... yesterday. response:	Yeah. Right?
context: I can't take this anymore. I'm serious.\That's it. I'm done.\What do you mean?\I will be careful from now on. I mean it.\Oh... yeah.\No, man.\He died... yesterday.\Yeah. Right? response:	Well, duh.
context: That's it. I'm done.\What do you mean?\I will be careful from now on. I mean it.\Oh... yeah.\No, man.\He died... yesterday.\Yeah. Right?\Well, duh. response:	Just find another one.
context: What do you mean?\I will be careful from now on. I mean it.\Oh... yeah.\No, man.\He died... yesterday.\Yeah. Right?\Well, duh.\Just find another one. response:	Look here, you.
context: I will be careful from now on. I mean it.\Oh... yeah.\No, man.\He died... yesterday.\Yeah. Right?\Well, duh.\Just find another one.\Look here, you. response:	Miss Merry.
context: Oh... yeah.\No, man.\He died... yesterday.\Yeah. Right?\Well, duh.\Just find another one.\Look here, you.\Miss Merry. response:	Miss Merry.
context: No, man.\He died... yesterday.\Yeah. Right?\Well, duh.\Just find another one.\Look here, you.\Miss Merry.\Miss Merry. response:	Yes, it is.
context: He died... yesterday.\Yeah. Right?\Well, duh.\Just find another one.\Look here, you.\Miss Merry.\Miss Merry.\Yes, it is. response:	What was that?
context: Yeah. Right?\Well, duh.\Just find another one.\Look here, you.\Miss Merry.\Miss Merry.\Yes, it is.\What was that? response:	Merry-san, you're so, so...
context: Well, duh.\Just find another one.\Look here, you.\Miss Merry.\Miss Merry.\Yes, it is.\What was that?\Merry-san, you're so, so... response:	Ugh, whatever!
context: Just find another one.\Look here, you.\Miss Merry.\Miss Merry.\Yes, it is.\What was that?\Merry-san, you're so, so...\Ugh, whatever! response:	Do whatever you want.
context: Look here, you.\Miss Merry.\Miss Merry.\Yes, it is.\What was that?\Merry-san, you're so, so...\Ugh, whatever!\Do whatever you want. response:	Yes, you would.
context: Miss Merry.\Miss Merry.\Yes, it is.\What was that?\Merry-san, you're so, so...\Ugh, whatever!\Do whatever you want.\Yes, you would. response:	Damn, what's up with this girl?
context: Miss Merry.\Yes, it is.\What was that?\Merry-san, you're so, so...\Ugh, whatever!\Do whatever you want.\Yes, you would.\Damn, what's up with this girl? response:	What. Why not?
context: Yes, it is.\What was that?\Merry-san, you're so, so...\Ugh, whatever!\Do whatever you want.\Yes, you would.\Damn, what's up with this girl?\What. Why not? response:	Say no more.
context: What was that?\Merry-san, you're so, so...\Ugh, whatever!\Do whatever you want.\Yes, you would.\Damn, what's up with this girl?\What. Why not?\Say no more. response:	Stupid, stupid, stupid! You freakin' moron!
context: Merry-san, you're so, so...\Ugh, whatever!\Do whatever you want.\Yes, you would.\Damn, what's up with this girl?\What. Why not?\Say no more.\Stupid, stupid, stupid! You freakin' moron! response:	I-I'm...
context: Ugh, whatever!\Do whatever you want.\Yes, you would.\Damn, what's up with this girl?\What. Why not?\Say no more.\Stupid, stupid, stupid! You freakin' moron!\I-I'm... response:	No, Yume was right.
context: Do whatever you want.\Yes, you would.\Damn, what's up with this girl?\What. Why not?\Say no more.\Stupid, stupid, stupid! You freakin' moron!\I-I'm...\No, Yume was right. response:	Counting... on you...
context: Yes, you would.\Damn, what's up with this girl?\What. Why not?\Say no more.\Stupid, stupid, stupid! You freakin' moron!\I-I'm...\No, Yume was right.\Counting... on you... response:	Yume, I-I...
context: Damn, what's up with this girl?\What. Why not?\Say no more.\Stupid, stupid, stupid! You freakin' moron!\I-I'm...\No, Yume was right.\Counting... on you...\Yume, I-I... response:	Okay, I know you can.
context: What. Why not?\Say no more.\Stupid, stupid, stupid! You freakin' moron!\I-I'm...\No, Yume was right.\Counting... on you...\Yume, I-I...\Okay, I know you can. response:	Oh, I see.
context: Say no more.\Stupid, stupid, stupid! You freakin' moron!\I-I'm...\No, Yume was right.\Counting... on you...\Yume, I-I...\Okay, I know you can.\Oh, I see. response:	Take it more seriously!
context: Stupid, stupid, stupid! You freakin' moron!\I-I'm...\No, Yume was right.\Counting... on you...\Yume, I-I...\Okay, I know you can.\Oh, I see.\Take it more seriously! response:	The burial cost one silver.
context: I-I'm...\No, Yume was right.\Counting... on you...\Yume, I-I...\Okay, I know you can.\Oh, I see.\Take it more seriously!\The burial cost one silver. response:	Fifty coppers for the cremation.
context: No, Yume was right.\Counting... on you...\Yume, I-I...\Okay, I know you can.\Oh, I see.\Take it more seriously!\The burial cost one silver.\Fifty coppers for the cremation. response:	And fifty coppers for the grave.
context: Counting... on you...\Yume, I-I...\Okay, I know you can.\Oh, I see.\Take it more seriously!\The burial cost one silver.\Fifty coppers for the cremation.\And fifty coppers for the grave. response:	One person dies...
context: Yume, I-I...\Okay, I know you can.\Oh, I see.\Take it more seriously!\The burial cost one silver.\Fifty coppers for the cremation.\And fifty coppers for the grave.\One person dies... response:	I'm going.
context: Okay, I know you can.\Oh, I see.\Take it more seriously!\The burial cost one silver.\Fifty coppers for the cremation.\And fifty coppers for the grave.\One person dies...\I'm going. response:	Going?
context: Oh, I see.\Take it more seriously!\The burial cost one silver.\Fifty coppers for the cremation.\And fifty coppers for the grave.\One person dies...\I'm going.\Going? response:	Where to?
context: Take it more seriously!\The burial cost one silver.\Fifty coppers for the cremation.\And fifty coppers for the grave.\One person dies...\I'm going.\Going?\Where to? response:	It doesn't matter where.
context: The burial cost one silver.\Fifty coppers for the cremation.\And fifty coppers for the grave.\One person dies...\I'm going.\Going?\Where to?\It doesn't matter where. response:	How much longer are you guys gonna stay here?
context: Fifty coppers for the cremation.\And fifty coppers for the grave.\One person dies...\I'm going.\Going?\Where to?\It doesn't matter where.\How much longer are you guys gonna stay here? response:	There's no point anyway!
context: And fifty coppers for the grave.\One person dies...\I'm going.\Going?\Where to?\It doesn't matter where.\How much longer are you guys gonna stay here?\There's no point anyway! response:	Idiot!
context: One person dies...\I'm going.\Going?\Where to?\It doesn't matter where.\How much longer are you guys gonna stay here?\There's no point anyway!\Idiot! response:	Idiot!
context: I'm going.\Going?\Where to?\It doesn't matter where.\How much longer are you guys gonna stay here?\There's no point anyway!\Idiot!\Idiot! response:	I don't know what to do in this situation.
context: Going?\Where to?\It doesn't matter where.\How much longer are you guys gonna stay here?\There's no point anyway!\Idiot!\Idiot!\I don't know what to do in this situation. response:	And it's finally sinking in...
context: Where to?\It doesn't matter where.\How much longer are you guys gonna stay here?\There's no point anyway!\Idiot!\Idiot!\I don't know what to do in this situation.\And it's finally sinking in... response:	That Manato...
context: It doesn't matter where.\How much longer are you guys gonna stay here?\There's no point anyway!\Idiot!\Idiot!\I don't know what to do in this situation.\And it's finally sinking in...\That Manato... response:	One moment, please.
context: How much longer are you guys gonna stay here?\There's no point anyway!\Idiot!\Idiot!\I don't know what to do in this situation.\And it's finally sinking in...\That Manato...\One moment, please. response:	Oh, why thank you.
context: There's no point anyway!\Idiot!\Idiot!\I don't know what to do in this situation.\And it's finally sinking in...\That Manato...\One moment, please.\Oh, why thank you. response:	Two more over here.
context: Idiot!\Idiot!\I don't know what to do in this situation.\And it's finally sinking in...\That Manato...\One moment, please.\Oh, why thank you.\Two more over here. response:	Got it!
context: Idiot!\I don't know what to do in this situation.\And it's finally sinking in...\That Manato...\One moment, please.\Oh, why thank you.\Two more over here.\Got it! response:	'Scuse me. One more here.
context: I don't know what to do in this situation.\And it's finally sinking in...\That Manato...\One moment, please.\Oh, why thank you.\Two more over here.\Got it!\'Scuse me. One more here. response:	I don't really want to drink.
context: And it's finally sinking in...\That Manato...\One moment, please.\Oh, why thank you.\Two more over here.\Got it!\'Scuse me. One more here.\I don't really want to drink. response:	Didn't Manato, you know...
context: That Manato...\One moment, please.\Oh, why thank you.\Two more over here.\Got it!\'Scuse me. One more here.\I don't really want to drink.\Didn't Manato, you know... response:	Isn't he was coming here sometimes?
context: One moment, please.\Oh, why thank you.\Two more over here.\Got it!\'Scuse me. One more here.\I don't really want to drink.\Didn't Manato, you know...\Isn't he was coming here sometimes? response:	Here are your drinks.
context: Oh, why thank you.\Two more over here.\Got it!\'Scuse me. One more here.\I don't really want to drink.\Didn't Manato, you know...\Isn't he was coming here sometimes?\Here are your drinks. response:	I'm seriously can't take this anymore.
context: Two more over here.\Got it!\'Scuse me. One more here.\I don't really want to drink.\Didn't Manato, you know...\Isn't he was coming here sometimes?\Here are your drinks.\I'm seriously can't take this anymore. response:	I'm not joking.
context: Got it!\'Scuse me. One more here.\I don't really want to drink.\Didn't Manato, you know...\Isn't he was coming here sometimes?\Here are your drinks.\I'm seriously can't take this anymore.\I'm not joking. response:	I'm not doing this because I want to.
context: 'Scuse me. One more here.\I don't really want to drink.\Didn't Manato, you know...\Isn't he was coming here sometimes?\Here are your drinks.\I'm seriously can't take this anymore.\I'm not joking.\I'm not doing this because I want to. response:	It's the same for you guys, right?
context: I don't really want to drink.\Didn't Manato, you know...\Isn't he was coming here sometimes?\Here are your drinks.\I'm seriously can't take this anymore.\I'm not joking.\I'm not doing this because I want to.\It's the same for you guys, right? response:	Who cares about being a Warrior, a Thief, a Dark Knight, or a Priest?
context: Didn't Manato, you know...\Isn't he was coming here sometimes?\Here are your drinks.\I'm seriously can't take this anymore.\I'm not joking.\I'm not doing this because I want to.\It's the same for you guys, right?\Who cares about being a Warrior, a Thief, a Dark Knight, or a Priest? response:	I'm done, I'm done.
context: Isn't he was coming here sometimes?\Here are your drinks.\I'm seriously can't take this anymore.\I'm not joking.\I'm not doing this because I want to.\It's the same for you guys, right?\Who cares about being a Warrior, a Thief, a Dark Knight, or a Priest?\I'm done, I'm done. response:	I'm done with all of this.
context: Here are your drinks.\I'm seriously can't take this anymore.\I'm not joking.\I'm not doing this because I want to.\It's the same for you guys, right?\Who cares about being a Warrior, a Thief, a Dark Knight, or a Priest?\I'm done, I'm done.\I'm done with all of this. response:	As of today, I quit.
context: I'm seriously can't take this anymore.\I'm not joking.\I'm not doing this because I want to.\It's the same for you guys, right?\Who cares about being a Warrior, a Thief, a Dark Knight, or a Priest?\I'm done, I'm done.\I'm done with all of this.\As of today, I quit. response:	What are you going to do then?
context: I'm not joking.\I'm not doing this because I want to.\It's the same for you guys, right?\Who cares about being a Warrior, a Thief, a Dark Knight, or a Priest?\I'm done, I'm done.\I'm done with all of this.\As of today, I quit.\What are you going to do then? response:	I won't do nothin'.
context: I'm not doing this because I want to.\It's the same for you guys, right?\Who cares about being a Warrior, a Thief, a Dark Knight, or a Priest?\I'm done, I'm done.\I'm done with all of this.\As of today, I quit.\What are you going to do then?\I won't do nothin'. response:	We all came this far as Volunteer Soldiers, because there was no other choice.
context: It's the same for you guys, right?\Who cares about being a Warrior, a Thief, a Dark Knight, or a Priest?\I'm done, I'm done.\I'm done with all of this.\As of today, I quit.\What are you going to do then?\I won't do nothin'.\We all came this far as Volunteer Soldiers, because there was no other choice. response:	And who the heck decided that for us?
context: Who cares about being a Warrior, a Thief, a Dark Knight, or a Priest?\I'm done, I'm done.\I'm done with all of this.\As of today, I quit.\What are you going to do then?\I won't do nothin'.\We all came this far as Volunteer Soldiers, because there was no other choice.\And who the heck decided that for us? response:	Who...
