context: Board: Home Run response:	Pre! Preparation!
context: Board: Home Run\Pre! Preparation! response:	I'm not strong
context: Board: Home Run\Pre! Preparation!\I'm not strong response:	But pre! Pre-parade!
context: Board: Home Run\Pre! Preparation!\I'm not strong\But pre! Pre-parade! response:	I'll catch you someday!
context: Board: Home Run\Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday! response:	P-re-prepare, p-re-prepare, p-re-prepare, cracking apart
context: Board: Home Run\Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart response:	P-re-prepare, p-re-prepare, p-re-prepare
context: Board: Home Run\Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare response:	If you're not paying attention, be prepared for a poking attack from my fingers
context: Board: Home Run\Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers response:	I'm little, but I'll squish you; you're as tiny as a flea to me
context: Pre! Preparation!\I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me response:	What I want is a plastic heart (plus, plus, but it's a minus)
context: I'm not strong\But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus) response:	But that's boring; when I'd notice it, I'd have won against you
context: But pre! Pre-parade!\I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you response:	Love is something that's bittersweet
context: I'll catch you someday!\P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet response:	Simple and clear yet complex and strange stuff
context: P-re-prepare, p-re-prepare, p-re-prepare, cracking apart\P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff response:	I'm only worrying about things that don't matter
context: P-re-prepare, p-re-prepare, p-re-prepare\If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter response:	How does it feel? It feels like that
context: If you're not paying attention, be prepared for a poking attack from my fingers\I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that response:	You're gentle and sincere yet eccentric
context: I'm little, but I'll squish you; you're as tiny as a flea to me\What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric response:	I pretend to be strong all over and compete against you
context: What I want is a plastic heart (plus, plus, but it's a minus)\But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you response:	Just by being honest, it's so stimulating and I feel dizzy
context: But that's boring; when I'd notice it, I'd have won against you\Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy response:	I get hurt, I hurt you, in a preparation of pure feelings
context: Love is something that's bittersweet\Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings response:	In my head, there's always a pre-parade of pure feelings all by myself
context: Simple and clear yet complex and strange stuff\I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself response:	ba ni ra
context: I'm only worrying about things that don't matter\How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra response:	With vanilla salt
context: How does it feel? It feels like that\You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt response:	vanilla
context: You're gentle and sincere yet eccentric\I pretend to be strong all over and compete against you\Just by being honest, it's so stimulating and I feel dizzy\I get hurt, I hurt you, in a preparation of pure feelings\In my head, there's always a pre-parade of pure feelings all by myself\ba ni ra\With vanilla salt\vanilla response:	If it's just sweet
