context: Where am I? response:	I see...
context: Where am I?\I see... response:	You lied? To let Seylum escape?
context: Where am I?\I see...\You lied? To let Seylum escape? response:	So that's it...
context: Where am I?\I see...\You lied? To let Seylum escape?\So that's it... response:	That was your conclusion when you guessed at what I wanted.
context: Where am I?\I see...\You lied? To let Seylum escape?\So that's it...\That was your conclusion when you guessed at what I wanted. response:	Milord Slaine.
context: Where am I?\I see...\You lied? To let Seylum escape?\So that's it...\That was your conclusion when you guessed at what I wanted.\Milord Slaine. response:	What is it?
context: Where am I?\I see...\You lied? To let Seylum escape?\So that's it...\That was your conclusion when you guessed at what I wanted.\Milord Slaine.\What is it? response:	There is a firefight in the hangar.
context: Where am I?\I see...\You lied? To let Seylum escape?\So that's it...\That was your conclusion when you guessed at what I wanted.\Milord Slaine.\What is it?\There is a firefight in the hangar. response:	Their assassination team?
context: I see...\You lied? To let Seylum escape?\So that's it...\That was your conclusion when you guessed at what I wanted.\Milord Slaine.\What is it?\There is a firefight in the hangar.\Their assassination team? response:	No, Milord.
context: You lied? To let Seylum escape?\So that's it...\That was your conclusion when you guessed at what I wanted.\Milord Slaine.\What is it?\There is a firefight in the hangar.\Their assassination team?\No, Milord. response:	Princess Asseylum!
context: So that's it...\That was your conclusion when you guessed at what I wanted.\Milord Slaine.\What is it?\There is a firefight in the hangar.\Their assassination team?\No, Milord.\Princess Asseylum! response:	I will cover you!
context: That was your conclusion when you guessed at what I wanted.\Milord Slaine.\What is it?\There is a firefight in the hangar.\Their assassination team?\No, Milord.\Princess Asseylum!\I will cover you! response:	Run!
context: Milord Slaine.\What is it?\There is a firefight in the hangar.\Their assassination team?\No, Milord.\Princess Asseylum!\I will cover you!\Run! response:	Eliminate the Terrans!
context: What is it?\There is a firefight in the hangar.\Their assassination team?\No, Milord.\Princess Asseylum!\I will cover you!\Run!\Eliminate the Terrans! response:	Enemy attack! Enemy attack!
context: There is a firefight in the hangar.\Their assassination team?\No, Milord.\Princess Asseylum!\I will cover you!\Run!\Eliminate the Terrans!\Enemy attack! Enemy attack! response:	Perform emergency launch.
context: Their assassination team?\No, Milord.\Princess Asseylum!\I will cover you!\Run!\Eliminate the Terrans!\Enemy attack! Enemy attack!\Perform emergency launch. response:	It's not safe, Milord. There is a battle outside.
context: No, Milord.\Princess Asseylum!\I will cover you!\Run!\Eliminate the Terrans!\Enemy attack! Enemy attack!\Perform emergency launch.\It's not safe, Milord. There is a battle outside. response:	There is one in here, as well.
context: Princess Asseylum!\I will cover you!\Run!\Eliminate the Terrans!\Enemy attack! Enemy attack!\Perform emergency launch.\It's not safe, Milord. There is a battle outside.\There is one in here, as well. response:	Get us away from the battle zone at maximum combat speed.
context: I will cover you!\Run!\Eliminate the Terrans!\Enemy attack! Enemy attack!\Perform emergency launch.\It's not safe, Milord. There is a battle outside.\There is one in here, as well.\Get us away from the battle zone at maximum combat speed. response:	Retreat!
