context: Thanks for the meal, I'm leaving now! response:	Hey.
context: Thanks for the meal, I'm leaving now!\Hey. response:	I was just wondering if you were here...
context: Thanks for the meal, I'm leaving now!\Hey.\I was just wondering if you were here... response:	I am now.
context: Thanks for the meal, I'm leaving now!\Hey.\I was just wondering if you were here...\I am now. response:	It doesn't really matter.
context: Thanks for the meal, I'm leaving now!\Hey.\I was just wondering if you were here...\I am now.\It doesn't really matter. response:	I didn't actually have anything to tell you...
context: Thanks for the meal, I'm leaving now!\Hey.\I was just wondering if you were here...\I am now.\It doesn't really matter.\I didn't actually have anything to tell you... response:	Lunch.
context: Thanks for the meal, I'm leaving now!\Hey.\I was just wondering if you were here...\I am now.\It doesn't really matter.\I didn't actually have anything to tell you...\Lunch. response:	Huh?
context: Thanks for the meal, I'm leaving now!\Hey.\I was just wondering if you were here...\I am now.\It doesn't really matter.\I didn't actually have anything to tell you...\Lunch.\Huh? response:	Wanna eat together?
context: Hey.\I was just wondering if you were here...\I am now.\It doesn't really matter.\I didn't actually have anything to tell you...\Lunch.\Huh?\Wanna eat together? response:	Why do I have to eat together with you?!
context: I was just wondering if you were here...\I am now.\It doesn't really matter.\I didn't actually have anything to tell you...\Lunch.\Huh?\Wanna eat together?\Why do I have to eat together with you?! response:	Well, you know...
context: I am now.\It doesn't really matter.\I didn't actually have anything to tell you...\Lunch.\Huh?\Wanna eat together?\Why do I have to eat together with you?!\Well, you know... response:	It's strange for a boy and a girl to eat together!
context: It doesn't really matter.\I didn't actually have anything to tell you...\Lunch.\Huh?\Wanna eat together?\Why do I have to eat together with you?!\Well, you know...\It's strange for a boy and a girl to eat together! response:	Why is it strange?
context: I didn't actually have anything to tell you...\Lunch.\Huh?\Wanna eat together?\Why do I have to eat together with you?!\Well, you know...\It's strange for a boy and a girl to eat together!\Why is it strange? response:	You see,
context: Lunch.\Huh?\Wanna eat together?\Why do I have to eat together with you?!\Well, you know...\It's strange for a boy and a girl to eat together!\Why is it strange?\You see, response:	Because we're not dating...We haven't start going out together yet...
context: Huh?\Wanna eat together?\Why do I have to eat together with you?!\Well, you know...\It's strange for a boy and a girl to eat together!\Why is it strange?\You see,\Because we're not dating...We haven't start going out together yet... response:	What I'm saying is, you should eat together with your friends!
context: Wanna eat together?\Why do I have to eat together with you?!\Well, you know...\It's strange for a boy and a girl to eat together!\Why is it strange?\You see,\Because we're not dating...We haven't start going out together yet...\What I'm saying is, you should eat together with your friends! response:	By the way...
context: Why do I have to eat together with you?!\Well, you know...\It's strange for a boy and a girl to eat together!\Why is it strange?\You see,\Because we're not dating...We haven't start going out together yet...\What I'm saying is, you should eat together with your friends!\By the way... response:	Eh?
context: Well, you know...\It's strange for a boy and a girl to eat together!\Why is it strange?\You see,\Because we're not dating...We haven't start going out together yet...\What I'm saying is, you should eat together with your friends!\By the way...\Eh? response:	Did you hear anything from your brother?
