context: what is wrong with you? response:	Are you daily rotating day?
context: what is wrong with you?\Are you daily rotating day? response:	And what brought you here, Kemeto-sama?
context: what is wrong with you?\Are you daily rotating day?\And what brought you here, Kemeto-sama? response:	H-really?
context: what is wrong with you?\Are you daily rotating day?\And what brought you here, Kemeto-sama?\H-really? response:	Do you think this?
context: what is wrong with you?\Are you daily rotating day?\And what brought you here, Kemeto-sama?\H-really?\Do you think this? response:	Pure air is definitely here, huh?
context: what is wrong with you?\Are you daily rotating day?\And what brought you here, Kemeto-sama?\H-really?\Do you think this?\Pure air is definitely here, huh? response:	Kemeto-sama, is the sky that you look at it other than this?
context: what is wrong with you?\Are you daily rotating day?\And what brought you here, Kemeto-sama?\H-really?\Do you think this?\Pure air is definitely here, huh?\Kemeto-sama, is the sky that you look at it other than this? response:	M-What there are, Kemeto-sama?
context: what is wrong with you?\Are you daily rotating day?\And what brought you here, Kemeto-sama?\H-really?\Do you think this?\Pure air is definitely here, huh?\Kemeto-sama, is the sky that you look at it other than this?\M-What there are, Kemeto-sama? response:	you will do?
context: Are you daily rotating day?\And what brought you here, Kemeto-sama?\H-really?\Do you think this?\Pure air is definitely here, huh?\Kemeto-sama, is the sky that you look at it other than this?\M-What there are, Kemeto-sama?\you will do? response:	A-Yes, what? Is there anything?
context: And what brought you here, Kemeto-sama?\H-really?\Do you think this?\Pure air is definitely here, huh?\Kemeto-sama, is the sky that you look at it other than this?\M-What there are, Kemeto-sama?\you will do?\A-Yes, what? Is there anything? response:	In this case, Kemeto-sama, do you still lag far behind the separation of flowers?
context: H-really?\Do you think this?\Pure air is definitely here, huh?\Kemeto-sama, is the sky that you look at it other than this?\M-What there are, Kemeto-sama?\you will do?\A-Yes, what? Is there anything?\In this case, Kemeto-sama, do you still lag far behind the separation of flowers? response:	even if you wish I was not too bold
context: Do you think this?\Pure air is definitely here, huh?\Kemeto-sama, is the sky that you look at it other than this?\M-What there are, Kemeto-sama?\you will do?\A-Yes, what? Is there anything?\In this case, Kemeto-sama, do you still lag far behind the separation of flowers?\even if you wish I was not too bold response:	Does this mean?
context: Pure air is definitely here, huh?\Kemeto-sama, is the sky that you look at it other than this?\M-What there are, Kemeto-sama?\you will do?\A-Yes, what? Is there anything?\In this case, Kemeto-sama, do you still lag far behind the separation of flowers?\even if you wish I was not too bold\Does this mean? response:	Both of us only?
context: Kemeto-sama, is the sky that you look at it other than this?\M-What there are, Kemeto-sama?\you will do?\A-Yes, what? Is there anything?\In this case, Kemeto-sama, do you still lag far behind the separation of flowers?\even if you wish I was not too bold\Does this mean?\Both of us only? response:	What about tomorrow Saturday or Sunday, the day after tomorrow?
context: M-What there are, Kemeto-sama?\you will do?\A-Yes, what? Is there anything?\In this case, Kemeto-sama, do you still lag far behind the separation of flowers?\even if you wish I was not too bold\Does this mean?\Both of us only?\What about tomorrow Saturday or Sunday, the day after tomorrow? response:	Also, Can I ask something else?
context: you will do?\A-Yes, what? Is there anything?\In this case, Kemeto-sama, do you still lag far behind the separation of flowers?\even if you wish I was not too bold\Does this mean?\Both of us only?\What about tomorrow Saturday or Sunday, the day after tomorrow?\Also, Can I ask something else? response:	What is the?
context: A-Yes, what? Is there anything?\In this case, Kemeto-sama, do you still lag far behind the separation of flowers?\even if you wish I was not too bold\Does this mean?\Both of us only?\What about tomorrow Saturday or Sunday, the day after tomorrow?\Also, Can I ask something else?\What is the? response:	But... huh, Arzogaoa-san this will be outside of your status
context: In this case, Kemeto-sama, do you still lag far behind the separation of flowers?\even if you wish I was not too bold\Does this mean?\Both of us only?\What about tomorrow Saturday or Sunday, the day after tomorrow?\Also, Can I ask something else?\What is the?\But... huh, Arzogaoa-san this will be outside of your status response:	please
context: even if you wish I was not too bold\Does this mean?\Both of us only?\What about tomorrow Saturday or Sunday, the day after tomorrow?\Also, Can I ask something else?\What is the?\But... huh, Arzogaoa-san this will be outside of your status\please response:	Well, what we do today in the club commoner?
context: Does this mean?\Both of us only?\What about tomorrow Saturday or Sunday, the day after tomorrow?\Also, Can I ask something else?\What is the?\But... huh, Arzogaoa-san this will be outside of your status\please\Well, what we do today in the club commoner? response:	Arzogaoa-san Is there something you want to do?
context: Both of us only?\What about tomorrow Saturday or Sunday, the day after tomorrow?\Also, Can I ask something else?\What is the?\But... huh, Arzogaoa-san this will be outside of your status\please\Well, what we do today in the club commoner?\Arzogaoa-san Is there something you want to do? response:	Which promise?
context: What about tomorrow Saturday or Sunday, the day after tomorrow?\Also, Can I ask something else?\What is the?\But... huh, Arzogaoa-san this will be outside of your status\please\Well, what we do today in the club commoner?\Arzogaoa-san Is there something you want to do?\Which promise? response:	This is the secret, true, Kemeto-sama?
context: Also, Can I ask something else?\What is the?\But... huh, Arzogaoa-san this will be outside of your status\please\Well, what we do today in the club commoner?\Arzogaoa-san Is there something you want to do?\Which promise?\This is the secret, true, Kemeto-sama? response:	Head?
context: What is the?\But... huh, Arzogaoa-san this will be outside of your status\please\Well, what we do today in the club commoner?\Arzogaoa-san Is there something you want to do?\Which promise?\This is the secret, true, Kemeto-sama?\Head? response:	What do you mean, the Secret?
context: But... huh, Arzogaoa-san this will be outside of your status\please\Well, what we do today in the club commoner?\Arzogaoa-san Is there something you want to do?\Which promise?\This is the secret, true, Kemeto-sama?\Head?\What do you mean, the Secret? response:	This is the secret between us we are only two, true, Kemeto-sama?
context: please\Well, what we do today in the club commoner?\Arzogaoa-san Is there something you want to do?\Which promise?\This is the secret, true, Kemeto-sama?\Head?\What do you mean, the Secret?\This is the secret between us we are only two, true, Kemeto-sama? response:	Yup?
context: Well, what we do today in the club commoner?\Arzogaoa-san Is there something you want to do?\Which promise?\This is the secret, true, Kemeto-sama?\Head?\What do you mean, the Secret?\This is the secret between us we are only two, true, Kemeto-sama?\Yup? response:	Kerio?
context: Arzogaoa-san Is there something you want to do?\Which promise?\This is the secret, true, Kemeto-sama?\Head?\What do you mean, the Secret?\This is the secret between us we are only two, true, Kemeto-sama?\Yup?\Kerio? response:	What speeches?
context: Which promise?\This is the secret, true, Kemeto-sama?\Head?\What do you mean, the Secret?\This is the secret between us we are only two, true, Kemeto-sama?\Yup?\Kerio?\What speeches? response:	my mother and my brother?
