context: Nothing response:	in this world is strange...
context: Nothing\in this world is strange... response:	The chosen ones in the chosen place.
context: Nothing\in this world is strange...\The chosen ones in the chosen place. response:	The chosen ones suffer defeat and they fall.
context: Nothing\in this world is strange...\The chosen ones in the chosen place.\The chosen ones suffer defeat and they fall. response:	There's nothing so unexpected or interesting about something like that.
context: Nothing\in this world is strange...\The chosen ones in the chosen place.\The chosen ones suffer defeat and they fall.\There's nothing so unexpected or interesting about something like that. response:	Because this is reality.
context: Nothing\in this world is strange...\The chosen ones in the chosen place.\The chosen ones suffer defeat and they fall.\There's nothing so unexpected or interesting about something like that.\Because this is reality. response:	Nothing uncertain exists here.
context: Nothing\in this world is strange...\The chosen ones in the chosen place.\The chosen ones suffer defeat and they fall.\There's nothing so unexpected or interesting about something like that.\Because this is reality.\Nothing uncertain exists here. response:	Of course, that includes fear itself.
context: Nothing\in this world is strange...\The chosen ones in the chosen place.\The chosen ones suffer defeat and they fall.\There's nothing so unexpected or interesting about something like that.\Because this is reality.\Nothing uncertain exists here.\Of course, that includes fear itself. response:	A sound soul...
context: in this world is strange...\The chosen ones in the chosen place.\The chosen ones suffer defeat and they fall.\There's nothing so unexpected or interesting about something like that.\Because this is reality.\Nothing uncertain exists here.\Of course, that includes fear itself.\A sound soul... response:	resides within a sound mind...
context: The chosen ones in the chosen place.\The chosen ones suffer defeat and they fall.\There's nothing so unexpected or interesting about something like that.\Because this is reality.\Nothing uncertain exists here.\Of course, that includes fear itself.\A sound soul...\resides within a sound mind... response:	and a sound body.
context: The chosen ones suffer defeat and they fall.\There's nothing so unexpected or interesting about something like that.\Because this is reality.\Nothing uncertain exists here.\Of course, that includes fear itself.\A sound soul...\resides within a sound mind...\and a sound body. response:	Kishin Asura,
context: There's nothing so unexpected or interesting about something like that.\Because this is reality.\Nothing uncertain exists here.\Of course, that includes fear itself.\A sound soul...\resides within a sound mind...\and a sound body.\Kishin Asura, response:	I'm going to take your soul!
context: Because this is reality.\Nothing uncertain exists here.\Of course, that includes fear itself.\A sound soul...\resides within a sound mind...\and a sound body.\Kishin Asura,\I'm going to take your soul! response:	Stop yelling; it's very annoying.
context: Nothing uncertain exists here.\Of course, that includes fear itself.\A sound soul...\resides within a sound mind...\and a sound body.\Kishin Asura,\I'm going to take your soul!\Stop yelling; it's very annoying. response:	But for you to return sanely after being taken over by the Black Blood is really something...
context: Of course, that includes fear itself.\A sound soul...\resides within a sound mind...\and a sound body.\Kishin Asura,\I'm going to take your soul!\Stop yelling; it's very annoying.\But for you to return sanely after being taken over by the Black Blood is really something... response:	Huh?
context: A sound soul...\resides within a sound mind...\and a sound body.\Kishin Asura,\I'm going to take your soul!\Stop yelling; it's very annoying.\But for you to return sanely after being taken over by the Black Blood is really something...\Huh? response:	What's wrong?
context: resides within a sound mind...\and a sound body.\Kishin Asura,\I'm going to take your soul!\Stop yelling; it's very annoying.\But for you to return sanely after being taken over by the Black Blood is really something...\Huh?\What's wrong? response:	You're shivering.
context: and a sound body.\Kishin Asura,\I'm going to take your soul!\Stop yelling; it's very annoying.\But for you to return sanely after being taken over by the Black Blood is really something...\Huh?\What's wrong?\You're shivering. response:	Are you scared?
context: Kishin Asura,\I'm going to take your soul!\Stop yelling; it's very annoying.\But for you to return sanely after being taken over by the Black Blood is really something...\Huh?\What's wrong?\You're shivering.\Are you scared? response:	I see, so you really are scared.
context: I'm going to take your soul!\Stop yelling; it's very annoying.\But for you to return sanely after being taken over by the Black Blood is really something...\Huh?\What's wrong?\You're shivering.\Are you scared?\I see, so you really are scared. response:	Failure...
context: Stop yelling; it's very annoying.\But for you to return sanely after being taken over by the Black Blood is really something...\Huh?\What's wrong?\You're shivering.\Are you scared?\I see, so you really are scared.\Failure... response:	Setbacks...
context: But for you to return sanely after being taken over by the Black Blood is really something...\Huh?\What's wrong?\You're shivering.\Are you scared?\I see, so you really are scared.\Failure...\Setbacks... response:	Jealousy...
context: Huh?\What's wrong?\You're shivering.\Are you scared?\I see, so you really are scared.\Failure...\Setbacks...\Jealousy... response:	Crime...
context: What's wrong?\You're shivering.\Are you scared?\I see, so you really are scared.\Failure...\Setbacks...\Jealousy...\Crime... response:	Betrayal...
context: You're shivering.\Are you scared?\I see, so you really are scared.\Failure...\Setbacks...\Jealousy...\Crime...\Betrayal... response:	And also,
context: Are you scared?\I see, so you really are scared.\Failure...\Setbacks...\Jealousy...\Crime...\Betrayal...\And also, response:	defeat.
context: I see, so you really are scared.\Failure...\Setbacks...\Jealousy...\Crime...\Betrayal...\And also,\defeat. response:	Shut up.
context: Failure...\Setbacks...\Jealousy...\Crime...\Betrayal...\And also,\defeat.\Shut up. response:	Stop lying to yourself.
context: Setbacks...\Jealousy...\Crime...\Betrayal...\And also,\defeat.\Shut up.\Stop lying to yourself. response:	Heh,
context: Jealousy...\Crime...\Betrayal...\And also,\defeat.\Shut up.\Stop lying to yourself.\Heh, response:	you're so pathetic.
context: Crime...\Betrayal...\And also,\defeat.\Shut up.\Stop lying to yourself.\Heh,\you're so pathetic. response:	Shut up!
context: Betrayal...\And also,\defeat.\Shut up.\Stop lying to yourself.\Heh,\you're so pathetic.\Shut up! response:	It's no use raising your voice.
context: And also,\defeat.\Shut up.\Stop lying to yourself.\Heh,\you're so pathetic.\Shut up!\It's no use raising your voice. response:	There's nothing fearful about me,
context: defeat.\Shut up.\Stop lying to yourself.\Heh,\you're so pathetic.\Shut up!\It's no use raising your voice.\There's nothing fearful about me, response:	yet you still fear me.
context: Shut up.\Stop lying to yourself.\Heh,\you're so pathetic.\Shut up!\It's no use raising your voice.\There's nothing fearful about me,\yet you still fear me. response:	If this continues, you will not be able to do anything, least alone fight.
context: Stop lying to yourself.\Heh,\you're so pathetic.\Shut up!\It's no use raising your voice.\There's nothing fearful about me,\yet you still fear me.\If this continues, you will not be able to do anything, least alone fight. response:	No matter what you say,
context: Heh,\you're so pathetic.\Shut up!\It's no use raising your voice.\There's nothing fearful about me,\yet you still fear me.\If this continues, you will not be able to do anything, least alone fight.\No matter what you say, response:	nothing will change.
context: you're so pathetic.\Shut up!\It's no use raising your voice.\There's nothing fearful about me,\yet you still fear me.\If this continues, you will not be able to do anything, least alone fight.\No matter what you say,\nothing will change. response:	The shivering has stopped.
context: Shut up!\It's no use raising your voice.\There's nothing fearful about me,\yet you still fear me.\If this continues, you will not be able to do anything, least alone fight.\No matter what you say,\nothing will change.\The shivering has stopped. response:	She's finally pulled herself together.
context: It's no use raising your voice.\There's nothing fearful about me,\yet you still fear me.\If this continues, you will not be able to do anything, least alone fight.\No matter what you say,\nothing will change.\The shivering has stopped.\She's finally pulled herself together. response:	I'll fight you!
