context: = LOGO START = response:	= LOGO END =
context: = LOGO START =\= LOGO END = response:	= OP START =
context: = LOGO START =\= LOGO END =\= OP START = response:	= MAIN START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START = response:	= MAIN END =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END = response:	= ED START =
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START = response:	neiki yori sotto yoake ga kuru
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru response:	kimi no yume wa ima mori wo kakeru
context: = LOGO START =\= LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru response:	mezamete akari wo sagasu shigusa
context: = LOGO END =\= OP START =\= MAIN START =\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa response:	nakushita nara mitsuketeageyou
context: = OP START =\= MAIN START =\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou response:	kimi to boku no mirai ni kakureteiru
context: = MAIN START =\= MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru response:	saa koko he te wo tsunaidara
context: = MAIN END =\= ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara response:	hodokenai yo kimi to tooku he
context: = ED START =\neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he response:	haruka na hi no kioku ni saita
context: neiki yori sotto yoake ga kuru\kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita response:	aoi kuni no miru story
context: kimi no yume wa ima mori wo kakeru\mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story response:	kagayaku hitomi
context: mezamete akari wo sagasu shigusa\nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi response:	sono utagoe
context: nakushita nara mitsuketeageyou\kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe response:	tsutaeyou
context: kimi to boku no mirai ni kakureteiru\saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou response:	Dawn comes softer than a sleeping breath
context: saa koko he te wo tsunaidara\hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath response:	Your dream runs through the forest now
context: hodokenai yo kimi to tooku he\haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now response:	You wake up and stir to find the light
context: haruka na hi no kioku ni saita\aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light response:	If you've lost it, I'll find it for you
context: aoi kuni no miru story\kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you response:	It's hidden in our future
context: kagayaku hitomi\sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future response:	Now if we joined hands
context: sono utagoe\tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands response:	we would go far away without letting go
context: tsutaeyou\Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go response:	In the memory of a far off day
context: Dawn comes softer than a sleeping breath\Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day response:	the story of the blue country bloomed
context: Your dream runs through the forest now\You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed response:	Shining eyes
context: You wake up and stir to find the light\If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes response:	Your singing voice
context: If you've lost it, I'll find it for you\It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice response:	Let's share it
context: It's hidden in our future\Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it response:	Is Lawrence going to be alright?
context: Now if we joined hands\we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Is Lawrence going to be alright? response:	Quite frankly, it'll probably be tough.
context: we would go far away without letting go\In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Is Lawrence going to be alright?\Quite frankly, it'll probably be tough. response:	I doubt he'll be able to compete effectively with so little pyrite.
context: In the memory of a far off day\the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Is Lawrence going to be alright?\Quite frankly, it'll probably be tough.\I doubt he'll be able to compete effectively with so little pyrite. response:	All we can do is pray that Deanna's assistant comes.
context: the story of the blue country bloomed\Shining eyes\Your singing voice\Let's share it\Is Lawrence going to be alright?\Quite frankly, it'll probably be tough.\I doubt he'll be able to compete effectively with so little pyrite.\All we can do is pray that Deanna's assistant comes. response:	If he sells a superficial amount,
context: Shining eyes\Your singing voice\Let's share it\Is Lawrence going to be alright?\Quite frankly, it'll probably be tough.\I doubt he'll be able to compete effectively with so little pyrite.\All we can do is pray that Deanna's assistant comes.\If he sells a superficial amount, response:	all it'll do is get people's hopes up that there's more to buy.
context: Your singing voice\Let's share it\Is Lawrence going to be alright?\Quite frankly, it'll probably be tough.\I doubt he'll be able to compete effectively with so little pyrite.\All we can do is pray that Deanna's assistant comes.\If he sells a superficial amount,\all it'll do is get people's hopes up that there's more to buy. response:	And if that happens, the price will just rise even higher.
context: Let's share it\Is Lawrence going to be alright?\Quite frankly, it'll probably be tough.\I doubt he'll be able to compete effectively with so little pyrite.\All we can do is pray that Deanna's assistant comes.\If he sells a superficial amount,\all it'll do is get people's hopes up that there's more to buy.\And if that happens, the price will just rise even higher. response:	Doesn't that mean Amarty can pretend he's about to sell in order to bait Lawrence?
context: Is Lawrence going to be alright?\Quite frankly, it'll probably be tough.\I doubt he'll be able to compete effectively with so little pyrite.\All we can do is pray that Deanna's assistant comes.\If he sells a superficial amount,\all it'll do is get people's hopes up that there's more to buy.\And if that happens, the price will just rise even higher.\Doesn't that mean Amarty can pretend he's about to sell in order to bait Lawrence? response:	Exactly.
context: Quite frankly, it'll probably be tough.\I doubt he'll be able to compete effectively with so little pyrite.\All we can do is pray that Deanna's assistant comes.\If he sells a superficial amount,\all it'll do is get people's hopes up that there's more to buy.\And if that happens, the price will just rise even higher.\Doesn't that mean Amarty can pretend he's about to sell in order to bait Lawrence?\Exactly. response:	You're pretty good.
context: I doubt he'll be able to compete effectively with so little pyrite.\All we can do is pray that Deanna's assistant comes.\If he sells a superficial amount,\all it'll do is get people's hopes up that there's more to buy.\And if that happens, the price will just rise even higher.\Doesn't that mean Amarty can pretend he's about to sell in order to bait Lawrence?\Exactly.\You're pretty good. response:	Where's Horo?
context: All we can do is pray that Deanna's assistant comes.\If he sells a superficial amount,\all it'll do is get people's hopes up that there's more to buy.\And if that happens, the price will just rise even higher.\Doesn't that mean Amarty can pretend he's about to sell in order to bait Lawrence?\Exactly.\You're pretty good.\Where's Horo? response:	He's a fool that gets agitated easily.
context: If he sells a superficial amount,\all it'll do is get people's hopes up that there's more to buy.\And if that happens, the price will just rise even higher.\Doesn't that mean Amarty can pretend he's about to sell in order to bait Lawrence?\Exactly.\You're pretty good.\Where's Horo?\He's a fool that gets agitated easily. response:	You can just relax.
context: all it'll do is get people's hopes up that there's more to buy.\And if that happens, the price will just rise even higher.\Doesn't that mean Amarty can pretend he's about to sell in order to bait Lawrence?\Exactly.\You're pretty good.\Where's Horo?\He's a fool that gets agitated easily.\You can just relax. response:	Horo...
context: And if that happens, the price will just rise even higher.\Doesn't that mean Amarty can pretend he's about to sell in order to bait Lawrence?\Exactly.\You're pretty good.\Where's Horo?\He's a fool that gets agitated easily.\You can just relax.\Horo... response:	Amarty...
context: Doesn't that mean Amarty can pretend he's about to sell in order to bait Lawrence?\Exactly.\You're pretty good.\Where's Horo?\He's a fool that gets agitated easily.\You can just relax.\Horo...\Amarty... response:	Don't be stupid!
context: Exactly.\You're pretty good.\Where's Horo?\He's a fool that gets agitated easily.\You can just relax.\Horo...\Amarty...\Don't be stupid! response:	Another buy!
context: You're pretty good.\Where's Horo?\He's a fool that gets agitated easily.\You can just relax.\Horo...\Amarty...\Don't be stupid!\Another buy! response:	Just how much will it rise?
context: Where's Horo?\He's a fool that gets agitated easily.\You can just relax.\Horo...\Amarty...\Don't be stupid!\Another buy!\Just how much will it rise? response:	Wolf and Trustworthy God
