context: Yeah, I'm fine. response:	I'm eating properly.
context: Yeah, I'm fine.\I'm eating properly. response:	No, I don't need it.
context: Yeah, I'm fine.\I'm eating properly.\No, I don't need it. response:	You're busy, too, aren't you?
context: Yeah, I'm fine.\I'm eating properly.\No, I don't need it.\You're busy, too, aren't you? response:	I figured.
context: Yeah, I'm fine.\I'm eating properly.\No, I don't need it.\You're busy, too, aren't you?\I figured. response:	It's far.
context: Yeah, I'm fine.\I'm eating properly.\No, I don't need it.\You're busy, too, aren't you?\I figured.\It's far. response:	Snow?
context: Yeah, I'm fine.\I'm eating properly.\No, I don't need it.\You're busy, too, aren't you?\I figured.\It's far.\Snow? response:	Why would it snow?
context: Yeah, I'm fine.\I'm eating properly.\No, I don't need it.\You're busy, too, aren't you?\I figured.\It's far.\Snow?\Why would it snow? response:	Okay.
context: I'm eating properly.\No, I don't need it.\You're busy, too, aren't you?\I figured.\It's far.\Snow?\Why would it snow?\Okay. response:	Bye.
context: No, I don't need it.\You're busy, too, aren't you?\I figured.\It's far.\Snow?\Why would it snow?\Okay.\Bye. response:	Friends
context: You're busy, too, aren't you?\I figured.\It's far.\Snow?\Why would it snow?\Okay.\Bye.\Friends response:	Where Memories Live
context: I figured.\It's far.\Snow?\Why would it snow?\Okay.\Bye.\Friends\Where Memories Live response:	First!
context: It's far.\Snow?\Why would it snow?\Okay.\Bye.\Friends\Where Memories Live\First! response:	That was quick.
context: Snow?\Why would it snow?\Okay.\Bye.\Friends\Where Memories Live\First!\That was quick. response:	Of course.
context: Why would it snow?\Okay.\Bye.\Friends\Where Memories Live\First!\That was quick.\Of course. response:	You were second.
context: Okay.\Bye.\Friends\Where Memories Live\First!\That was quick.\Of course.\You were second. response:	What? No way!
context: Bye.\Friends\Where Memories Live\First!\That was quick.\Of course.\You were second.\What? No way! response:	Who was faster than us?
context: Friends\Where Memories Live\First!\That was quick.\Of course.\You were second.\What? No way!\Who was faster than us? response:	Whose group?
context: Where Memories Live\First!\That was quick.\Of course.\You were second.\What? No way!\Who was faster than us?\Whose group? response:	Mizusaka's group.
context: First!\That was quick.\Of course.\You were second.\What? No way!\Who was faster than us?\Whose group?\Mizusaka's group. response:	Your brother.
context: That was quick.\Of course.\You were second.\What? No way!\Who was faster than us?\Whose group?\Mizusaka's group.\Your brother. response:	Sensei, quick! Give me the stamp!
context: Of course.\You were second.\What? No way!\Who was faster than us?\Whose group?\Mizusaka's group.\Your brother.\Sensei, quick! Give me the stamp! response:	We're going on, too.
context: You were second.\What? No way!\Who was faster than us?\Whose group?\Mizusaka's group.\Your brother.\Sensei, quick! Give me the stamp!\We're going on, too. response:	Your team has four people, right?
context: What? No way!\Who was faster than us?\Whose group?\Mizusaka's group.\Your brother.\Sensei, quick! Give me the stamp!\We're going on, too.\Your team has four people, right? response:	Are you all here?
context: Who was faster than us?\Whose group?\Mizusaka's group.\Your brother.\Sensei, quick! Give me the stamp!\We're going on, too.\Your team has four people, right?\Are you all here? response:	Oh, come on.
context: Whose group?\Mizusaka's group.\Your brother.\Sensei, quick! Give me the stamp!\We're going on, too.\Your team has four people, right?\Are you all here?\Oh, come on. response:	Koharu, you're too slow!
context: Mizusaka's group.\Your brother.\Sensei, quick! Give me the stamp!\We're going on, too.\Your team has four people, right?\Are you all here?\Oh, come on.\Koharu, you're too slow! response:	There's no hurry.
context: Your brother.\Sensei, quick! Give me the stamp!\We're going on, too.\Your team has four people, right?\Are you all here?\Oh, come on.\Koharu, you're too slow!\There's no hurry. response:	What are you talking about? It's a battle!
context: Sensei, quick! Give me the stamp!\We're going on, too.\Your team has four people, right?\Are you all here?\Oh, come on.\Koharu, you're too slow!\There's no hurry.\What are you talking about? It's a battle! response:	We have to win!
context: We're going on, too.\Your team has four people, right?\Are you all here?\Oh, come on.\Koharu, you're too slow!\There's no hurry.\What are you talking about? It's a battle!\We have to win! response:	I don't think orienteering is a battle.
context: Your team has four people, right?\Are you all here?\Oh, come on.\Koharu, you're too slow!\There's no hurry.\What are you talking about? It's a battle!\We have to win!\I don't think orienteering is a battle. response:	Don't mess with orienteering!
context: Are you all here?\Oh, come on.\Koharu, you're too slow!\There's no hurry.\What are you talking about? It's a battle!\We have to win!\I don't think orienteering is a battle.\Don't mess with orienteering! response:	And where are the other two?
context: Oh, come on.\Koharu, you're too slow!\There's no hurry.\What are you talking about? It's a battle!\We have to win!\I don't think orienteering is a battle.\Don't mess with orienteering!\And where are the other two? response:	Nonoka is...
context: Koharu, you're too slow!\There's no hurry.\What are you talking about? It's a battle!\We have to win!\I don't think orienteering is a battle.\Don't mess with orienteering!\And where are the other two?\Nonoka is... response:	What're you doing?
