context: This can't be happening. response:	Takumi... why?
context: This can't be happening.\Takumi... why? response:	You're in the way.
context: This can't be happening.\Takumi... why?\You're in the way. response:	Get back to your car.
context: This can't be happening.\Takumi... why?\You're in the way.\Get back to your car. response:	Don't you dare touch him!
context: This can't be happening.\Takumi... why?\You're in the way.\Get back to your car.\Don't you dare touch him! response:	Do as you're told.
context: This can't be happening.\Takumi... why?\You're in the way.\Get back to your car.\Don't you dare touch him!\Do as you're told. response:	Unless you want to end up like him.
context: This can't be happening.\Takumi... why?\You're in the way.\Get back to your car.\Don't you dare touch him!\Do as you're told.\Unless you want to end up like him. response:	Do it, then!
context: This can't be happening.\Takumi... why?\You're in the way.\Get back to your car.\Don't you dare touch him!\Do as you're told.\Unless you want to end up like him.\Do it, then! response:	Go ahead and kill all of us until your hands are soaked with blood!
context: Takumi... why?\You're in the way.\Get back to your car.\Don't you dare touch him!\Do as you're told.\Unless you want to end up like him.\Do it, then!\Go ahead and kill all of us until your hands are soaked with blood! response:	Kajika!
context: You're in the way.\Get back to your car.\Don't you dare touch him!\Do as you're told.\Unless you want to end up like him.\Do it, then!\Go ahead and kill all of us until your hands are soaked with blood!\Kajika! response:	Let's go, Sahari.
context: Get back to your car.\Don't you dare touch him!\Do as you're told.\Unless you want to end up like him.\Do it, then!\Go ahead and kill all of us until your hands are soaked with blood!\Kajika!\Let's go, Sahari. response:	Let them clean this up.
context: Don't you dare touch him!\Do as you're told.\Unless you want to end up like him.\Do it, then!\Go ahead and kill all of us until your hands are soaked with blood!\Kajika!\Let's go, Sahari.\Let them clean this up. response:	Okay.
context: Do as you're told.\Unless you want to end up like him.\Do it, then!\Go ahead and kill all of us until your hands are soaked with blood!\Kajika!\Let's go, Sahari.\Let them clean this up.\Okay. response:	Let's go home, Takumi-kun.
context: Unless you want to end up like him.\Do it, then!\Go ahead and kill all of us until your hands are soaked with blood!\Kajika!\Let's go, Sahari.\Let them clean this up.\Okay.\Let's go home, Takumi-kun. response:	My father was a cowardly man.
context: Do it, then!\Go ahead and kill all of us until your hands are soaked with blood!\Kajika!\Let's go, Sahari.\Let them clean this up.\Okay.\Let's go home, Takumi-kun.\My father was a cowardly man. response:	Secret feuds surrounding the Headquarter's throne.
