context: Was it last year? response:	When we were having a competition with Hotarugawa,
context: Was it last year?\When we were having a competition with Hotarugawa, response:	Isurugi-san... err... No. 4 and I were the head of each team.
context: Was it last year?\When we were having a competition with Hotarugawa,\Isurugi-san... err... No. 4 and I were the head of each team. response:	After talking to him a bit... Well...
context: Was it last year?\When we were having a competition with Hotarugawa,\Isurugi-san... err... No. 4 and I were the head of each team.\After talking to him a bit... Well... response:	I thought he was kind of nice, and had a crush on him.
context: Was it last year?\When we were having a competition with Hotarugawa,\Isurugi-san... err... No. 4 and I were the head of each team.\After talking to him a bit... Well...\I thought he was kind of nice, and had a crush on him. response:	So you were...
context: Was it last year?\When we were having a competition with Hotarugawa,\Isurugi-san... err... No. 4 and I were the head of each team.\After talking to him a bit... Well...\I thought he was kind of nice, and had a crush on him.\So you were... response:	This talkative...
context: Was it last year?\When we were having a competition with Hotarugawa,\Isurugi-san... err... No. 4 and I were the head of each team.\After talking to him a bit... Well...\I thought he was kind of nice, and had a crush on him.\So you were...\This talkative... response:	But for someone like me...
context: Was it last year?\When we were having a competition with Hotarugawa,\Isurugi-san... err... No. 4 and I were the head of each team.\After talking to him a bit... Well...\I thought he was kind of nice, and had a crush on him.\So you were...\This talkative...\But for someone like me... response:	It's probably impossible.
context: When we were having a competition with Hotarugawa,\Isurugi-san... err... No. 4 and I were the head of each team.\After talking to him a bit... Well...\I thought he was kind of nice, and had a crush on him.\So you were...\This talkative...\But for someone like me...\It's probably impossible. response:	You are...
context: Isurugi-san... err... No. 4 and I were the head of each team.\After talking to him a bit... Well...\I thought he was kind of nice, and had a crush on him.\So you were...\This talkative...\But for someone like me...\It's probably impossible.\You are... response:	Not the person I know so well.
context: After talking to him a bit... Well...\I thought he was kind of nice, and had a crush on him.\So you were...\This talkative...\But for someone like me...\It's probably impossible.\You are...\Not the person I know so well. response:	In my private world...
context: I thought he was kind of nice, and had a crush on him.\So you were...\This talkative...\But for someone like me...\It's probably impossible.\You are...\Not the person I know so well.\In my private world... response:	You were...
context: So you were...\This talkative...\But for someone like me...\It's probably impossible.\You are...\Not the person I know so well.\In my private world...\You were... response:	Without any decoration,
context: This talkative...\But for someone like me...\It's probably impossible.\You are...\Not the person I know so well.\In my private world...\You were...\Without any decoration, response:	smiling like a flower.
context: But for someone like me...\It's probably impossible.\You are...\Not the person I know so well.\In my private world...\You were...\Without any decoration,\smiling like a flower. response:	Shin-chan?
context: It's probably impossible.\You are...\Not the person I know so well.\In my private world...\You were...\Without any decoration,\smiling like a flower.\Shin-chan? response:	Are you going out?
context: You are...\Not the person I know so well.\In my private world...\You were...\Without any decoration,\smiling like a flower.\Shin-chan?\Are you going out? response:	Good morning.
context: Not the person I know so well.\In my private world...\You were...\Without any decoration,\smiling like a flower.\Shin-chan?\Are you going out?\Good morning. response:	Oh... mornin'!
context: In my private world...\You were...\Without any decoration,\smiling like a flower.\Shin-chan?\Are you going out?\Good morning.\Oh... mornin'! response:	Have a safe trip!
context: You were...\Without any decoration,\smiling like a flower.\Shin-chan?\Are you going out?\Good morning.\Oh... mornin'!\Have a safe trip! response:	Ah... I'm leaving.
context: Without any decoration,\smiling like a flower.\Shin-chan?\Are you going out?\Good morning.\Oh... mornin'!\Have a safe trip!\Ah... I'm leaving. response:	What are you doing?
context: smiling like a flower.\Shin-chan?\Are you going out?\Good morning.\Oh... mornin'!\Have a safe trip!\Ah... I'm leaving.\What are you doing? response:	The old man that often comes to our store hurt his leg.
context: Shin-chan?\Are you going out?\Good morning.\Oh... mornin'!\Have a safe trip!\Ah... I'm leaving.\What are you doing?\The old man that often comes to our store hurt his leg. response:	Oh.
context: Are you going out?\Good morning.\Oh... mornin'!\Have a safe trip!\Ah... I'm leaving.\What are you doing?\The old man that often comes to our store hurt his leg.\Oh. response:	I was delivering; one serving of red bean paste and two of cream.
context: Good morning.\Oh... mornin'!\Have a safe trip!\Ah... I'm leaving.\What are you doing?\The old man that often comes to our store hurt his leg.\Oh.\I was delivering; one serving of red bean paste and two of cream. response:	Oh...
context: Oh... mornin'!\Have a safe trip!\Ah... I'm leaving.\What are you doing?\The old man that often comes to our store hurt his leg.\Oh.\I was delivering; one serving of red bean paste and two of cream.\Oh... response:	What's wrong?
context: Have a safe trip!\Ah... I'm leaving.\What are you doing?\The old man that often comes to our store hurt his leg.\Oh.\I was delivering; one serving of red bean paste and two of cream.\Oh...\What's wrong? response:	It's all Ai-chan's fault.
context: Ah... I'm leaving.\What are you doing?\The old man that often comes to our store hurt his leg.\Oh.\I was delivering; one serving of red bean paste and two of cream.\Oh...\What's wrong?\It's all Ai-chan's fault. response:	What is?
context: What are you doing?\The old man that often comes to our store hurt his leg.\Oh.\I was delivering; one serving of red bean paste and two of cream.\Oh...\What's wrong?\It's all Ai-chan's fault.\What is? response:	It's because you surprised me.
context: The old man that often comes to our store hurt his leg.\Oh.\I was delivering; one serving of red bean paste and two of cream.\Oh...\What's wrong?\It's all Ai-chan's fault.\What is?\It's because you surprised me. response:	Hey!
context: Oh.\I was delivering; one serving of red bean paste and two of cream.\Oh...\What's wrong?\It's all Ai-chan's fault.\What is?\It's because you surprised me.\Hey! response:	Come shopping with me!
context: I was delivering; one serving of red bean paste and two of cream.\Oh...\What's wrong?\It's all Ai-chan's fault.\What is?\It's because you surprised me.\Hey!\Come shopping with me! response:	Eh? I don't feel like it.
context: Oh...\What's wrong?\It's all Ai-chan's fault.\What is?\It's because you surprised me.\Hey!\Come shopping with me!\Eh? I don't feel like it. response:	Come on, it'll help you relax!
context: What's wrong?\It's all Ai-chan's fault.\What is?\It's because you surprised me.\Hey!\Come shopping with me!\Eh? I don't feel like it.\Come on, it'll help you relax! response:	Let's go! let's go!
context: It's all Ai-chan's fault.\What is?\It's because you surprised me.\Hey!\Come shopping with me!\Eh? I don't feel like it.\Come on, it'll help you relax!\Let's go! let's go! response:	Okay, okay!
context: What is?\It's because you surprised me.\Hey!\Come shopping with me!\Eh? I don't feel like it.\Come on, it'll help you relax!\Let's go! let's go!\Okay, okay! response:	I guess you're right...
context: It's because you surprised me.\Hey!\Come shopping with me!\Eh? I don't feel like it.\Come on, it'll help you relax!\Let's go! let's go!\Okay, okay!\I guess you're right... response:	At a time like this it would be nice to see Miyokichi's stupid face...
context: Hey!\Come shopping with me!\Eh? I don't feel like it.\Come on, it'll help you relax!\Let's go! let's go!\Okay, okay!\I guess you're right...\At a time like this it would be nice to see Miyokichi's stupid face... response:	You're not calling him?
context: Come shopping with me!\Eh? I don't feel like it.\Come on, it'll help you relax!\Let's go! let's go!\Okay, okay!\I guess you're right...\At a time like this it would be nice to see Miyokichi's stupid face...\You're not calling him? response:	Ah! He told me he had something to do today! Sub starts too late if you want to include the Ah! in the sub.
context: Eh? I don't feel like it.\Come on, it'll help you relax!\Let's go! let's go!\Okay, okay!\I guess you're right...\At a time like this it would be nice to see Miyokichi's stupid face...\You're not calling him?\Ah! He told me he had something to do today! Sub starts too late if you want to include the Ah! in the sub. response:	That's right!
context: Come on, it'll help you relax!\Let's go! let's go!\Okay, okay!\I guess you're right...\At a time like this it would be nice to see Miyokichi's stupid face...\You're not calling him?\Ah! He told me he had something to do today! Sub starts too late if you want to include the Ah! in the sub.\That's right! response:	In that case...
context: Let's go! let's go!\Okay, okay!\I guess you're right...\At a time like this it would be nice to see Miyokichi's stupid face...\You're not calling him?\Ah! He told me he had something to do today! Sub starts too late if you want to include the Ah! in the sub.\That's right!\In that case... response:	Let's go!
context: Okay, okay!\I guess you're right...\At a time like this it would be nice to see Miyokichi's stupid face...\You're not calling him?\Ah! He told me he had something to do today! Sub starts too late if you want to include the Ah! in the sub.\That's right!\In that case...\Let's go! response:	Come on, let's go! let's go!
context: I guess you're right...\At a time like this it would be nice to see Miyokichi's stupid face...\You're not calling him?\Ah! He told me he had something to do today! Sub starts too late if you want to include the Ah! in the sub.\That's right!\In that case...\Let's go!\Come on, let's go! let's go! response:	Hey-
context: At a time like this it would be nice to see Miyokichi's stupid face...\You're not calling him?\Ah! He told me he had something to do today! Sub starts too late if you want to include the Ah! in the sub.\That's right!\In that case...\Let's go!\Come on, let's go! let's go!\Hey- response:	Ai-chan!
context: You're not calling him?\Ah! He told me he had something to do today! Sub starts too late if you want to include the Ah! in the sub.\That's right!\In that case...\Let's go!\Come on, let's go! let's go!\Hey-\Ai-chan! response:	Hurry, hurry!
context: Ah! He told me he had something to do today! Sub starts too late if you want to include the Ah! in the sub.\That's right!\In that case...\Let's go!\Come on, let's go! let's go!\Hey-\Ai-chan!\Hurry, hurry! response:	Hey, what about this one?
context: That's right!\In that case...\Let's go!\Come on, let's go! let's go!\Hey-\Ai-chan!\Hurry, hurry!\Hey, what about this one? response:	Ah, looks nice.
context: In that case...\Let's go!\Come on, let's go! let's go!\Hey-\Ai-chan!\Hurry, hurry!\Hey, what about this one?\Ah, looks nice. response:	And this...?
context: Let's go!\Come on, let's go! let's go!\Hey-\Ai-chan!\Hurry, hurry!\Hey, what about this one?\Ah, looks nice.\And this...? response:	Fits you.
context: Come on, let's go! let's go!\Hey-\Ai-chan!\Hurry, hurry!\Hey, what about this one?\Ah, looks nice.\And this...?\Fits you. response:	And this one?
